Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",23.71,23.86,23.33,23.78,23.78,277057
"Apr 02, 2020",23.71,23.85,23.25,23.81,23.81,220632
"Apr 01, 2020",23.96,24.00,23.63,23.94,23.94,408016
"Mar 31, 2020",23.68,24.39,23.68,24.30,24.30,246691
"Mar 30, 2020",23.60,23.74,23.01,23.65,23.65,189059
"Mar 27, 2020",23.67,23.74,23.00,23.42,23.42,423226
"Mar 26, 2020",24.00,24.49,23.61,23.96,23.96,255041
"Mar 25, 2020",21.55,24.50,21.54,23.76,23.76,288102
"Mar 24, 2020",21.00,21.65,20.46,21.55,21.55,214035
"Mar 23, 2020",20.35,21.15,18.15,19.60,19.60,207296
"Mar 20, 2020",21.50,22.00,20.12,20.47,20.47,312233
"Mar 19, 2020",19.96,22.48,17.46,20.66,20.66,369333
"Mar 18, 2020",21.35,22.06,18.35,19.67,19.67,201288
"Mar 17, 2020",22.73,23.29,22.41,22.86,22.86,242106
"Mar 16, 2020",23.46,23.67,22.05,22.56,22.56,252088
"Mar 13, 2020",24.00,24.50,23.39,24.48,24.48,195287
"Mar 12, 2020",24.40,24.90,23.18,23.73,23.73,306231
"Mar 11, 2020",25.38,25.38,25.15,25.30,25.30,114572
"Mar 10, 2020",25.35,25.58,25.15,25.58,25.58,111129
"Mar 09, 2020",25.20,25.47,25.07,25.22,25.22,198587
"Mar 06, 2020",25.65,25.80,25.60,25.73,25.73,244441
"Mar 05, 2020",25.62,25.90,25.62,25.78,25.78,99336
"Mar 04, 2020",25.91,25.99,25.80,25.95,25.95,66401
"Mar 03, 2020",25.64,25.99,25.60,25.70,25.70,79423
"Mar 02, 2020",25.25,25.64,25.22,25.62,25.62,150947
"Feb 28, 2020",25.27,25.56,25.18,25.20,25.20,298237
"Feb 27, 2020",25.68,25.80,25.65,25.68,25.68,169352
"Feb 27, 2020",0.34375 Dividend,0.34375 Dividend,0.34375 Dividend,0.34375 Dividend,0.34375 Dividend,0.34375 Dividend
"Feb 26, 2020",26.08,26.17,26.06,26.06,25.72,158936
"Feb 25, 2020",26.13,26.15,26.07,26.08,25.74,448891
"Feb 24, 2020",26.09,26.18,26.09,26.11,25.77,45141
"Feb 21, 2020",26.28,26.32,26.22,26.25,25.90,53845
"Feb 20, 2020",26.18,26.29,26.16,26.22,25.88,64421
"Feb 19, 2020",26.33,26.33,26.18,26.18,25.83,134497
"Feb 18, 2020",26.32,26.33,26.25,26.33,25.98,54646
"Feb 14, 2020",26.26,26.33,26.26,26.29,25.94,58498
"Feb 13, 2020",26.28,26.33,26.18,26.30,25.95,178498
"Feb 12, 2020",26.28,26.35,26.20,26.28,25.93,363373
"Feb 11, 2020",26.24,26.30,26.21,26.30,25.95,58207
"Feb 10, 2020",26.23,26.24,26.17,26.22,25.87,48093
"Feb 07, 2020",26.17,26.22,26.12,26.21,25.86,38901
"Feb 06, 2020",26.13,26.17,26.11,26.16,25.81,46617
"Feb 05, 2020",26.13,26.17,26.05,26.14,25.80,105004
"Feb 04, 2020",26.12,26.14,26.05,26.12,25.78,78343
"Feb 03, 2020",26.05,26.12,26.02,26.10,25.76,100476
"Jan 31, 2020",25.98,26.07,25.97,26.00,25.66,478574
"Jan 30, 2020",25.97,26.03,25.95,26.03,25.69,204196
"Jan 29, 2020",25.99,26.00,25.97,26.00,25.66,104815
"Jan 28, 2020",26.00,26.05,25.96,25.97,25.63,73657
"Jan 27, 2020",25.92,26.07,25.92,25.97,25.63,67742
"Jan 24, 2020",25.99,26.10,25.98,26.09,25.75,40205
