Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.20,24.31,23.95,24.22,24.22,234133
"Apr 02, 2020",24.15,24.43,23.88,24.25,24.25,197510
"Apr 01, 2020",24.15,24.38,24.09,24.29,24.29,295281
"Mar 31, 2020",24.39,24.74,24.11,24.63,24.63,199792
"Mar 30, 2020",24.23,24.43,23.53,24.15,24.15,227355
"Mar 27, 2020",23.65,24.46,23.65,24.00,24.00,101823
"Mar 26, 2020",23.55,24.90,23.55,24.70,24.70,145750
"Mar 25, 2020",22.25,24.93,21.92,23.53,23.53,251333
"Mar 24, 2020",21.50,22.30,21.36,21.88,21.88,121906
"Mar 23, 2020",21.22,21.22,19.46,20.35,20.35,463522
"Mar 20, 2020",21.20,22.79,21.01,21.28,21.28,230180
"Mar 19, 2020",19.45,21.98,17.28,21.20,21.20,977653
"Mar 18, 2020",22.60,22.60,18.65,19.32,19.32,203792
"Mar 17, 2020",23.11,23.25,22.65,23.08,23.08,136112
"Mar 16, 2020",23.83,23.83,21.50,23.04,23.04,154429
"Mar 13, 2020",24.06,24.60,23.76,24.50,24.50,126357
"Mar 12, 2020",24.85,24.85,22.50,23.41,23.41,154540
"Mar 11, 2020",25.41,25.57,25.31,25.36,25.36,63202
"Mar 10, 2020",25.45,25.69,25.36,25.67,25.67,121802
"Mar 09, 2020",25.45,25.50,24.24,25.29,25.29,154376
"Mar 06, 2020",25.86,25.98,25.65,25.85,25.85,43138
"Mar 05, 2020",26.04,26.20,25.95,26.08,26.08,37415
"Mar 04, 2020",25.93,26.25,25.93,26.25,26.25,59824
"Mar 03, 2020",25.77,26.38,25.75,25.87,25.87,67341
"Mar 02, 2020",25.53,25.82,25.45,25.80,25.80,39745
"Feb 28, 2020",25.64,25.64,25.40,25.45,25.45,128882
"Feb 27, 2020",25.80,25.93,25.65,25.73,25.73,72370
"Feb 27, 2020",0.35156 Dividend,0.35156 Dividend,0.35156 Dividend,0.35156 Dividend,0.35156 Dividend,0.35156 Dividend
"Feb 26, 2020",26.28,26.39,26.25,26.31,25.96,46187
"Feb 25, 2020",26.48,26.54,26.28,26.28,25.93,45188
"Feb 24, 2020",26.50,26.64,26.45,26.45,26.10,59039
"Feb 21, 2020",26.68,26.70,26.61,26.63,26.27,24265
"Feb 20, 2020",26.70,26.71,26.65,26.70,26.34,27841
"Feb 19, 2020",26.76,26.78,26.66,26.66,26.30,38008
"Feb 18, 2020",26.75,26.82,26.74,26.79,26.43,22355
"Feb 14, 2020",26.74,26.79,26.74,26.78,26.42,21394
"Feb 13, 2020",26.73,26.84,26.73,26.77,26.42,31122
"Feb 12, 2020",26.76,26.85,26.75,26.75,26.39,31842
"Feb 11, 2020",26.77,26.85,26.75,26.84,26.48,26202
"Feb 10, 2020",26.66,26.74,26.66,26.74,26.38,20323
"Feb 07, 2020",26.72,26.73,26.63,26.72,26.36,34893
"Feb 06, 2020",26.61,26.72,26.61,26.70,26.34,38626
"Feb 05, 2020",26.62,26.65,26.60,26.65,26.29,40919
"Feb 04, 2020",26.57,26.63,26.55,26.63,26.27,39910
"Feb 03, 2020",26.53,26.57,26.50,26.57,26.21,24042
"Jan 31, 2020",26.46,26.57,26.44,26.50,26.15,225804
"Jan 30, 2020",26.52,26.55,26.45,26.46,26.11,104855
"Jan 29, 2020",26.55,26.57,26.53,26.56,26.21,45855
"Jan 28, 2020",26.53,26.60,26.52,26.56,26.20,32071
"Jan 27, 2020",26.52,26.60,26.51,26.55,26.20,37745
"Jan 24, 2020",26.56,26.63,26.52,26.63,26.27,20911
"Jan 23, 2020",26.56,26.62,26.53,26.62,26.26,11814
"Jan 22, 2020",26.55,26.64,26.53,26.63,26.27,37828
"Jan 21, 2020",26.52,26.59,26.50,26.59,26.23,22814
"Jan 17, 2020",26.47,26.58,26.47,26.58,26.22,18849
"Jan 16, 2020",26.55,26.56,26.42,26.55,26.20,92284
