Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",74.65,75.44,72.55,73.37,73.37,8059100
"Apr 02, 2020",72.78,75.50,71.46,75.13,75.13,8077800
"Apr 01, 2020",72.12,73.99,71.43,73.42,73.42,12948000
"Mar 31, 2020",75.40,77.92,74.44,76.19,76.19,20474400
"Mar 30, 2020",73.52,76.24,73.47,75.24,75.24,10671600
"Mar 27, 2020",71.63,75.06,70.71,72.67,72.67,12293300
"Mar 26, 2020",68.82,74.31,68.76,73.83,73.83,15979400
"Mar 25, 2020",67.92,70.68,65.55,67.91,67.91,20017300
"Mar 24, 2020",68.16,71.82,67.09,67.49,67.49,18376300
"Mar 23, 2020",67.38,67.75,62.55,64.50,64.50,19219000
"Mar 20, 2020",73.00,73.00,66.81,68.82,68.82,18844500
"Mar 19, 2020",69.10,74.85,65.33,71.06,71.06,19739900
"Mar 18, 2020",70.00,71.39,64.69,71.03,71.03,23712800
"Mar 17, 2020",75.71,77.71,69.99,73.02,73.02,23205000
"Mar 16, 2020",79.00,82.18,73.58,74.27,74.27,20916000
"Mar 13, 2020",83.36,86.32,80.69,85.37,85.37,21867700
"Mar 12, 2020",78.85,81.29,77.06,78.61,78.61,19935700
"Mar 11, 2020",85.80,86.64,83.57,84.85,84.85,10382200
"Mar 10, 2020",88.19,88.22,83.76,87.53,87.53,12965800
"Mar 09, 2020",84.00,87.34,82.43,85.27,85.27,15806200
"Mar 06, 2020",88.73,89.76,87.26,88.82,88.82,12664600
"Mar 05, 2020",90.06,91.71,89.43,90.61,90.61,9688400
"Mar 04, 2020",89.27,91.86,88.95,91.75,91.75,16590400
"Mar 03, 2020",89.44,90.90,85.66,87.57,87.57,12660900
"Mar 02, 2020",86.00,88.78,83.55,88.69,88.69,12171100
"Feb 28, 2020",82.79,85.71,81.58,85.71,85.71,18460300
"Feb 27, 2020",86.19,89.45,84.20,85.42,85.42,14184100
"Feb 26, 2020",88.62,91.18,88.19,88.41,88.41,9786900
"Feb 25, 2020",93.32,93.46,88.11,89.18,89.18,11366400
"Feb 24, 2020",92.17,93.87,92.15,93.14,93.14,10705100
"Feb 21, 2020",93.96,95.52,93.38,94.96,94.96,6676000
"Feb 20, 2020",93.93,94.39,92.59,94.23,94.23,5446200
"Feb 19, 2020",93.77,94.79,93.02,94.14,94.14,6349100
"Feb 18, 2020",93.67,94.50,93.26,93.61,93.61,9406300
"Feb 14, 2020",95.23,95.30,93.77,94.05,94.05,11175800
"Feb 13, 2020",96.85,97.36,95.23,95.35,95.35,10613000
"Feb 12, 2020",95.98,97.86,95.71,97.79,97.79,10591000
"Feb 11, 2020",95.26,97.08,95.01,96.00,96.00,10682800
"Feb 10, 2020",92.36,95.50,92.11,94.75,94.75,13998300
"Feb 07, 2020",89.74,92.98,88.88,92.29,92.29,19090300
"Feb 06, 2020",87.89,87.96,86.22,87.18,87.18,7769700
"Feb 05, 2020",85.06,87.14,84.88,86.63,86.63,10020600
"Feb 04, 2020",83.59,84.71,83.59,84.36,84.36,8251500
