Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.79,79.99,78.18,79.45,79.45,9129500
"Apr 02, 2020",76.12,79.66,76.00,79.44,79.44,10167900
"Apr 01, 2020",77.00,77.38,75.35,76.57,76.57,12208300
"Mar 31, 2020",81.43,81.49,78.56,78.91,78.91,23792300
"Mar 30, 2020",82.83,84.40,78.47,79.34,79.34,47540200
"Mar 27, 2020",77.50,77.50,73.61,74.56,74.56,8360600
"Mar 26, 2020",71.08,75.97,71.00,75.81,75.81,10530500
"Mar 25, 2020",68.95,72.63,68.15,70.75,70.75,9351000
"Mar 24, 2020",64.91,69.97,64.50,69.69,69.69,10903700
"Mar 23, 2020",67.07,67.49,61.61,62.82,62.82,13037100
"Mar 20, 2020",74.05,74.86,67.95,68.00,68.00,15131400
"Mar 19, 2020",81.36,81.81,73.55,74.50,74.50,14476000
"Mar 18, 2020",74.98,81.99,74.39,79.26,79.26,17541100
"Mar 17, 2020",75.52,79.79,73.34,79.49,79.49,13315300
"Mar 16, 2020",70.65,79.25,70.00,73.66,73.66,14358900
"Mar 13, 2020",77.91,82.67,74.83,81.65,81.65,18316900
"Mar 12, 2020",73.28,78.15,72.01,74.74,74.74,13876300
"Mar 11, 2020",78.53,79.07,76.35,78.09,78.09,11534200
"Mar 10, 2020",79.23,81.00,75.93,80.88,80.88,9417400
"Mar 09, 2020",76.61,79.34,75.10,77.02,77.02,10285000
"Mar 06, 2020",78.60,82.30,78.09,81.74,81.74,10647600
"Mar 05, 2020",80.29,81.47,79.13,80.52,80.52,9288700
"Mar 04, 2020",80.66,82.33,79.46,82.09,82.09,8660000
"Mar 03, 2020",81.58,83.50,77.26,77.99,77.99,9510600
"Mar 02, 2020",77.88,81.68,77.25,81.61,81.61,11483600
"Feb 28, 2020",77.12,78.16,74.02,77.03,77.03,16673000
"Feb 27, 2020",80.40,82.03,79.16,79.19,79.19,8657200
"Feb 26, 2020",82.13,82.88,81.11,81.36,81.36,7380100
"Feb 25, 2020",84.93,85.37,80.78,81.13,81.13,7021800
"Feb 24, 2020",85.45,85.67,84.07,84.63,84.63,5667200
"Feb 21, 2020",88.04,88.25,87.16,87.45,87.45,5570900
"Feb 20, 2020",89.10,89.56,88.04,88.46,88.46,3657500
"Feb 19, 2020",88.83,89.93,88.69,89.36,89.36,3464900
"Feb 18, 2020",89.42,89.49,88.31,88.88,88.88,4492300
"Feb 14, 2020",88.87,89.71,88.31,89.66,89.66,3919800
"Feb 13, 2020",88.50,89.04,87.70,88.68,88.68,4448800
"Feb 12, 2020",89.56,89.59,88.58,88.79,88.79,3389400
"Feb 11, 2020",88.64,89.41,88.53,89.17,89.17,2661900
"Feb 10, 2020",87.21,88.30,87.21,88.30,88.30,4219400
"Feb 07, 2020",89.23,89.51,87.68,87.87,87.87,4472300
"Feb 06, 2020",90.00,90.08,89.25,89.47,89.47,4270700
"Feb 05, 2020",88.87,89.61,88.55,89.56,89.56,3565700
"Feb 04, 2020",88.15,89.25,88.15,88.23,88.23,3904600
"Feb 03, 2020",87.78,88.40,86.75,87.06,87.06,4675900
"Jan 31, 2020",89.13,89.23,86.90,87.14,87.14,5914100
"Jan 30, 2020",88.29,89.21,87.97,89.16,89.16,5248100
"Jan 29, 2020",89.61,90.23,89.07,89.14,89.14,3914300
"Jan 28, 2020",89.70,90.03,89.39,89.54,89.54,4983700
"Jan 27, 2020",89.11,90.00,88.89,89.59,89.59,4482200
"Jan 24, 2020",90.85,91.53,90.21,90.40,90.40,4218700
"Jan 23, 2020",91.81,91.85,90.16,90.73,90.73,7418400
"Jan 22, 2020",90.78,92.45,90.03,91.86,91.86,9841200
"Jan 21, 2020",88.86,90.04,88.61,89.73,89.73,7458100
"Jan 17, 2020",88.45,89.20,88.31,89.00,89.00,5879700
"Jan 16, 2020",87.94,88.31,87.42,88.28,88.28,5023300
"Jan 15, 2020",86.11,87.85,86.11,87.38,87.38,5389700
"Jan 14, 2020",84.13,86.00,84.01,85.74,85.74,8751400
"Jan 14, 2020",0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend
"Jan 13, 2020",85.50,85.73,84.74,85.12,84.76,5571500
"Jan 10, 2020",86.79,86.99,85.17,85.36,85.00,4680400
"Jan 09, 2020",86.30,86.68,85.75,86.44,86.07,6432500
"Jan 08, 2020",86.24,86.66,85.93,86.21,85.85,5693900
"Jan 07, 2020",85.77,86.30,85.54,85.86,85.50,3408100
"Jan 06, 2020",85.62,86.36,85.21,86.34,85.97,5631700
"Jan 03, 2020",85.75,86.67,85.59,85.89,85.53,4747000
"Jan 02, 2020",86.06,86.96,85.80,86.95,86.58,4969000
"Dec 31, 2019",86.50,86.99,86.27,86.86,86.49,3261100
"Dec 30, 2019",87.52,87.79,86.61,86.80,86.43,2706100
"Dec 27, 2019",87.49,87.75,87.02,87.40,87.03,2508100
"Dec 26, 2019",87.21,87.52,86.88,87.28,86.91,2033100
"Dec 24, 2019",87.37,87.48,86.98,87.28,86.91,1067700
"Dec 23, 2019",86.31,87.46,86.28,87.35,86.98,4067800
"Dec 20, 2019",88.99,89.24,86.63,86.66,86.29,11606500
"Dec 19, 2019",86.74,87.35,86.49,87.35,86.98,4643700
"Dec 18, 2019",87.08,87.27,86.61,86.93,86.56,5831100
"Dec 17, 2019",86.58,87.30,86.00,87.06,86.69,5368500
"Dec 16, 2019",86.95,87.10,86.30,86.40,86.03,3843700
"Dec 13, 2019",85.78,86.71,85.78,86.35,85.98,3872000
"Dec 12, 2019",84.78,86.28,84.64,85.97,85.61,4155200
"Dec 11, 2019",84.62,85.04,84.21,84.91,84.55,2937500
"Dec 10, 2019",83.88,84.63,83.76,84.56,84.20,3904900
"Dec 09, 2019",85.12,85.42,83.83,83.87,83.52,4227000
"Dec 06, 2019",85.67,85.91,85.38,85.48,85.12,4104600
"Dec 05, 2019",85.12,85.42,84.33,85.24,84.88,3279900
"Dec 04, 2019",84.50,85.34,84.44,85.18,84.82,3953400
"Dec 03, 2019",83.59,84.42,83.27,84.36,84.00,2912400
"Dec 02, 2019",85.57,85.72,83.98,84.51,84.15,3801100
"Nov 29, 2019",85.30,85.65,84.84,85.45,85.09,2410900
"Nov 27, 2019",85.97,85.97,85.16,85.42,85.06,2865400
"Nov 26, 2019",84.65,85.57,84.32,85.42,85.06,8764100
"Nov 25, 2019",83.91,84.81,83.88,84.49,84.13,5704000
"Nov 22, 2019",83.95,84.02,82.79,83.74,83.39,3964600
"Nov 21, 2019",83.72,83.80,82.36,83.68,83.33,5211400
"Nov 20, 2019",84.34,84.73,83.20,83.89,83.54,5416200
