Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",177.02,178.41,174.57,175.71,175.71,2927500
"Apr 02, 2020",174.00,178.63,173.34,177.54,177.54,2868100
"Apr 01, 2020",173.49,175.95,173.04,174.90,174.90,3293100
"Mar 31, 2020",175.86,179.02,175.15,177.10,177.10,4576300
"Mar 30, 2020",174.64,177.33,174.31,176.31,176.31,2498100
"Mar 27, 2020",170.96,176.59,170.96,173.00,173.00,3421400
"Mar 26, 2020",170.13,175.93,170.04,175.54,175.54,5473100
"Mar 25, 2020",169.72,172.52,168.30,169.00,169.00,5966600
"Mar 24, 2020",172.68,174.99,170.59,170.85,170.85,3690700
"Mar 23, 2020",167.79,172.53,164.73,167.70,167.70,4942100
"Mar 20, 2020",173.22,174.46,168.11,170.88,170.88,5989500
"Mar 19, 2020",167.19,175.28,164.14,171.26,171.26,6022600
"Mar 18, 2020",171.00,172.20,158.67,169.23,169.23,7096900
"Mar 17, 2020",167.22,174.19,159.07,171.84,171.84,7408200
"Mar 16, 2020",173.75,175.99,164.46,164.70,164.70,7849500
"Mar 13, 2020",179.94,184.78,178.36,183.85,183.85,4884300
"Mar 12, 2020",178.66,180.73,172.88,174.57,174.57,8800800
"Mar 11, 2020",186.53,188.23,184.04,185.50,185.50,4701900
"Mar 10, 2020",188.27,189.95,184.95,189.21,189.21,5107600
"Mar 09, 2020",185.20,189.21,184.00,185.46,185.46,5194500
"Mar 06, 2020",189.27,192.38,188.80,191.95,191.95,4726100
"Mar 05, 2020",193.95,195.25,192.04,192.89,192.89,3348600
"Mar 04, 2020",193.69,195.98,193.27,195.94,195.94,2927700
"Mar 03, 2020",193.98,195.60,190.14,191.94,191.94,5338800
"Mar 02, 2020",190.67,193.84,188.46,193.84,193.84,3775600
"Feb 28, 2020",185.81,190.68,185.41,190.67,190.67,4951900
"Feb 27, 2020",191.40,194.00,188.04,189.52,189.52,4765100
"Feb 26, 2020",194.14,195.74,193.01,193.19,193.19,2014000
"Feb 25, 2020",198.43,198.43,193.13,193.73,193.73,3266800
"Feb 24, 2020",197.55,198.80,197.30,198.17,198.17,3327200
"Feb 21, 2020",198.15,200.40,198.00,200.15,200.15,2710500
"Feb 20, 2020",198.45,198.93,197.31,198.74,198.74,1840100
"Feb 19, 2020",198.05,199.17,197.54,198.81,198.81,2238400
"Feb 18, 2020",197.82,198.98,197.24,198.00,198.00,1737500
"Feb 14, 2020",199.40,199.40,197.94,198.32,198.32,3059000
"Feb 13, 2020",200.80,201.40,199.14,199.26,199.26,2450500
"Feb 13, 2020",0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend
"Feb 12, 2020",200.85,202.22,200.58,202.10,201.36,2590900
"Feb 11, 2020",200.00,201.71,199.77,200.99,200.25,2421900
"Feb 10, 2020",197.12,200.29,197.03,199.65,198.92,3858000
"Feb 07, 2020",194.28,197.76,193.79,197.05,196.33,4255900
"Feb 06, 2020",192.83,193.17,191.86,192.88,192.17,2761300
"Feb 05, 2020",190.80,192.51,190.77,192.10,191.40,2509400
"Feb 04, 2020",189.67,190.64,189.49,190.16,189.46,1909600
"Feb 03, 2020",186.67,188.57,186.67,188.44,187.75,2443300
"Jan 31, 2020",187.22,187.55,186.50,186.64,185.96,1808600
"Jan 30, 2020",188.00,188.49,187.03,187.61,186.92,2684600
"Jan 29, 2020",189.28,189.57,188.80,188.80,188.11,1319500
"Jan 28, 2020",189.76,189.94,189.14,189.25,188.56,2038500
"Jan 27, 2020",190.00,190.90,189.00,189.00,188.31,5606100
"Jan 24, 2020",190.00,190.39,187.82,188.19,187.50,3446900
"Jan 23, 2020",191.29,191.43,189.90,190.60,189.90,3021300
"Jan 22, 2020",192.33,192.73,191.53,191.66,190.96,2048200
"Jan 21, 2020",192.04,193.16,192.02,192.58,191.87,3079800
"Jan 17, 2020",193.48,193.76,192.34,192.68,191.97,2091800
"Jan 16, 2020",193.85,194.43,193.38,193.83,193.12,2235100
"Jan 15, 2020",192.59,194.61,192.52,193.85,193.14,2643900
"Jan 14, 2020",191.15,192.71,190.77,192.54,191.83,2682500
"Jan 13, 2020",192.29,192.29,190.85,191.38,190.68,2252000
"Jan 10, 2020",192.76,193.42,191.74,191.83,191.13,3130800
"Jan 09, 2020",191.38,192.66,191.21,192.65,191.94,2684300
"Jan 08, 2020",191.50,192.29,191.10,191.15,190.45,3434400
"Jan 07, 2020",191.50,191.85,190.47,190.47,189.77,4456200
"Jan 06, 2020",190.95,191.94,190.60,191.50,190.80,5029700
"Jan 03, 2020",190.26,192.00,190.25,191.08,190.38,2088600
"Jan 02, 2020",191.84,192.24,190.99,192.24,191.54,1553900
"Dec 31, 2019",190.30,191.32,190.07,191.17,190.47,1311500
"Dec 30, 2019",191.15,191.77,190.34,190.57,189.87,890100
"Dec 27, 2019",192.18,192.18,190.94,191.40,190.70,1286300
"Dec 26, 2019",191.65,192.27,191.28,191.58,190.88,1188100
"Dec 24, 2019",191.53,191.76,191.00,191.42,190.72,550500
"Dec 23, 2019",190.49,191.72,190.46,191.53,190.83,3241600
"Dec 20, 2019",190.80,192.26,190.30,190.30,189.60,2990500
"Dec 19, 2019",190.21,190.53,189.57,189.61,188.92,3078400
"Dec 18, 2019",190.50,190.93,189.87,190.34,189.64,2774300
"Dec 17, 2019",190.20,190.90,189.90,190.63,189.93,2301300
"Dec 16, 2019",189.71,190.36,189.01,190.12,189.42,1725300
"Dec 13, 2019",188.30,190.41,187.95,188.34,187.65,2992800
"Dec 12, 2019",186.85,188.37,186.64,188.27,187.58,1408200
"Dec 11, 2019",185.92,186.87,185.69,186.64,185.96,1689400
"Dec 10, 2019",185.40,186.18,185.21,185.61,184.93,1485900
"Dec 09, 2019",186.12,186.88,185.22,185.27,184.59,2605200
"Dec 06, 2019",186.40,186.91,186.23,186.37,185.69,1463500
"Dec 05, 2019",186.59,186.90,185.95,186.08,185.40,1273000
"Dec 04, 2019",185.05,186.84,185.05,186.66,185.98,1422500
"Dec 03, 2019",184.75,185.70,184.05,185.09,184.41,2717000
"Dec 02, 2019",185.10,185.78,184.28,184.34,183.67,2637500
"Nov 29, 2019",185.41,185.41,184.56,184.94,184.26,610300
"Nov 27, 2019",184.84,185.77,184.74,185.38,184.70,1105800
"Nov 26, 2019",185.27,185.82,184.28,184.92,184.24,2489200
"Nov 25, 2019",184.30,185.36,184.02,185.00,184.32,1571000
"Nov 22, 2019",184.53,185.00,183.40,183.79,183.12,1741000
"Nov 21, 2019",184.60,184.83,183.40,184.54,183.86,1825400
"Nov 20, 2019",185.20,185.20,183.77,184.96,184.28,2464100
"Nov 19, 2019",184.54,186.08,184.48,185.22,184.54,2220400
"Nov 18, 2019",183.45,184.92,183.22,184.50,183.82,2890800
"Nov 15, 2019",182.73,183.77,182.39,183.61,182.94,3212100
"Nov 14, 2019",181.12,182.50,180.76,182.47,181.80,2454100
"Nov 13, 2019",181.79,182.66,181.14,181.60,180.94,2938400
"Nov 12, 2019",181.01,183.79,180.70,181.96,181.29,2414500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
