Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",207.43,209.75,203.03,205.41,205.41,2281400
"Apr 02, 2020",194.41,209.53,194.21,208.88,208.88,3867300
"Apr 01, 2020",197.56,201.38,194.99,197.81,197.81,2747900
"Mar 31, 2020",203.49,207.25,200.70,202.73,202.73,2929000
"Mar 30, 2020",200.05,209.45,200.05,208.48,208.48,3219000
"Mar 27, 2020",194.42,205.87,194.01,198.27,198.27,4119600
"Mar 26, 2020",193.12,199.72,190.50,198.49,198.49,5162200
"Mar 25, 2020",197.77,201.36,190.01,193.14,193.14,5301000
"Mar 24, 2020",191.47,202.85,190.01,202.34,202.34,5288200
"Mar 23, 2020",188.89,191.96,177.05,185.93,185.93,4396600
"Mar 20, 2020",198.89,201.97,186.00,188.25,188.25,5726800
"Mar 19, 2020",201.00,208.75,195.27,198.76,198.76,4796500
"Mar 18, 2020",198.56,210.90,196.74,204.88,204.88,5597900
"Mar 17, 2020",192.21,210.91,191.65,207.80,207.80,5912800
"Mar 16, 2020",184.67,204.72,182.96,188.68,188.68,4932400
"Mar 13, 2020",189.76,203.17,188.52,202.10,202.10,6903900
"Mar 12, 2020",184.63,196.26,181.77,182.24,182.24,4902600
"Mar 11, 2020",201.00,203.92,195.81,198.65,198.65,3777000
"Mar 10, 2020",203.36,207.10,194.67,206.80,206.80,3928700
"Mar 09, 2020",197.74,203.62,190.75,198.37,198.37,4065600
"Mar 06, 2020",203.97,211.61,203.82,210.65,210.65,3100500
"Mar 05, 2020",207.66,216.39,207.58,212.12,212.12,3185400
"Mar 04, 2020",209.53,215.29,207.62,215.11,215.11,3880200
"Mar 03, 2020",210.34,216.16,202.66,204.42,204.42,3975100
"Mar 02, 2020",199.90,212.37,198.71,212.20,212.20,4245700
"Feb 28, 2020",198.05,203.00,195.18,199.73,199.73,5316100
"Feb 27, 2020",214.92,215.28,203.22,203.50,203.50,4071100
"Feb 26, 2020",216.18,216.70,212.02,214.54,214.54,3314000
"Feb 25, 2020",218.08,219.56,209.82,210.38,210.38,3915500
"Feb 24, 2020",219.88,223.99,215.76,217.88,217.88,3049600
"Feb 21, 2020",222.24,223.80,220.99,222.79,222.79,2047500
"Feb 20, 2020",223.20,223.48,218.51,222.14,222.14,1638000
"Feb 19, 2020",222.94,224.05,222.05,222.96,222.96,1322900
"Feb 18, 2020",224.15,224.35,220.92,221.69,221.69,1936400
"Feb 14, 2020",222.93,223.49,221.34,223.48,223.48,1611900
"Feb 13, 2020",224.99,226.52,222.82,223.04,223.04,1946500
"Feb 13, 2020",1.6 Dividend,1.6 Dividend,1.6 Dividend,1.6 Dividend,1.6 Dividend,1.6 Dividend
"Feb 12, 2020",229.47,230.23,225.88,227.00,225.40,2501300
"Feb 11, 2020",227.70,229.47,226.80,228.96,227.35,1934500
"Feb 10, 2020",228.15,228.96,226.26,227.42,225.82,2144700
"Feb 07, 2020",231.41,232.18,227.67,229.33,227.71,2295100
"Feb 06, 2020",233.72,233.89,229.34,231.45,229.82,2007500
"Feb 05, 2020",223.74,234.64,223.74,231.94,230.31,3669500
"Feb 04, 2020",220.77,223.85,220.48,221.81,220.25,2765300
"Feb 03, 2020",216.39,219.62,215.56,216.88,215.35,2565400
"Jan 31, 2020",218.76,219.08,210.01,216.05,214.53,5968900
"Jan 30, 2020",226.00,226.97,223.31,226.15,224.56,2581600
"Jan 29, 2020",225.50,228.93,225.00,227.15,225.55,2001100
"Jan 28, 2020",223.57,226.70,222.85,224.84,223.26,2103900
"Jan 27, 2020",223.68,224.93,221.17,222.95,221.38,2843600
"Jan 24, 2020",235.80,235.88,224.50,225.59,224.00,5019900
"Jan 23, 2020",237.06,237.06,233.07,235.04,233.38,2088700
"Jan 22, 2020",238.75,239.70,235.76,236.75,235.08,1998200
"Jan 21, 2020",240.97,242.01,237.26,237.60,235.93,3094200
"Jan 17, 2020",242.11,242.14,239.27,241.49,239.79,2582800
"Jan 16, 2020",242.18,243.85,239.85,240.50,238.80,2085700
"Jan 15, 2020",240.67,242.60,240.05,241.70,240.00,1920700
"Jan 14, 2020",235.80,240.68,235.17,240.00,238.31,2239100
"Jan 13, 2020",238.26,238.33,234.79,236.92,235.25,2004400
"Jan 10, 2020",238.68,240.93,237.61,238.26,236.58,1777600
"Jan 09, 2020",239.69,239.69,237.97,238.93,237.25,1629000
"Jan 08, 2020",237.93,239.58,236.61,238.22,236.54,2214700
"Jan 07, 2020",239.31,240.00,237.59,238.04,236.36,1518900
"Jan 06, 2020",237.20,240.45,236.56,240.30,238.61,1802800
"Jan 03, 2020",237.16,240.26,236.24,238.47,236.79,1879000
"Jan 02, 2020",243.00,243.19,238.98,240.10,238.41,2088000
"Dec 31, 2019",240.28,241.46,238.50,241.07,239.37,1748300
"Dec 30, 2019",241.40,242.98,239.40,240.27,238.58,1454400
"Dec 27, 2019",242.24,242.99,240.16,241.53,239.83,1085000
"Dec 26, 2019",242.72,243.64,241.32,241.90,240.19,1098300
"Dec 24, 2019",242.82,243.10,241.72,242.33,240.62,612800
