Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",231.01,232.86,222.79,226.73,226.73,1263700
"Apr 02, 2020",225.06,233.61,224.42,233.28,233.28,1557500
"Apr 01, 2020",221.71,229.77,220.00,225.40,225.40,2003200
"Mar 31, 2020",222.06,231.05,219.00,229.77,229.77,2696200
"Mar 30, 2020",220.05,223.71,217.33,222.87,222.87,1925900
"Mar 27, 2020",212.57,221.51,211.44,216.58,216.58,2251500
"Mar 26, 2020",204.80,219.55,204.37,219.35,219.35,2663000
"Mar 25, 2020",205.54,209.27,199.15,203.60,203.60,3489300
"Mar 24, 2020",209.41,211.77,199.50,202.85,202.85,3490600
"Mar 23, 2020",219.26,223.39,197.75,200.58,200.58,4464400
"Mar 20, 2020",217.81,224.72,216.22,220.12,220.12,3699600
"Mar 19, 2020",236.50,237.66,220.56,220.96,220.96,2641800
"Mar 18, 2020",239.10,251.97,228.00,234.72,234.72,3687900
"Mar 17, 2020",230.54,248.94,223.34,248.52,248.52,3872900
"Mar 16, 2020",216.00,234.54,208.65,223.14,223.14,2908600
"Mar 13, 2020",227.99,239.02,216.09,236.50,236.50,3459200
"Mar 12, 2020",223.30,234.88,220.54,220.57,220.57,3731500
"Mar 11, 2020",231.17,234.40,229.16,231.91,231.91,1983200
"Mar 10, 2020",236.77,239.12,229.93,237.31,237.31,2627600
"Mar 09, 2020",225.55,234.66,223.00,230.78,230.78,2589800
"Mar 09, 2020",0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend,0.79 Dividend
"Mar 06, 2020",237.40,239.89,230.59,239.12,238.33,4224000
"Mar 05, 2020",241.64,244.82,239.77,244.14,243.33,2274700
"Mar 04, 2020",244.30,247.88,243.20,247.11,246.29,1954900
"Mar 03, 2020",245.84,249.36,235.35,239.50,238.71,1948600
"Mar 02, 2020",237.84,245.32,234.05,245.32,244.51,2234200
"Feb 28, 2020",237.01,238.89,231.62,237.82,237.03,3588300
"Feb 27, 2020",244.62,250.41,242.41,242.69,241.89,2637600
"Feb 26, 2020",247.35,249.82,245.11,246.15,245.34,2056000
"Feb 25, 2020",251.31,252.20,243.15,245.43,244.62,2223500
"Feb 24, 2020",250.62,252.86,249.31,250.53,249.70,1637800
"Feb 21, 2020",252.56,258.79,252.38,257.35,256.50,1867700
"Feb 20, 2020",255.31,257.75,252.03,253.46,252.62,1132000
"Feb 19, 2020",257.20,258.41,255.62,256.07,255.22,1540200
"Feb 18, 2020",260.75,261.79,255.67,256.00,255.15,1842100
"Feb 14, 2020",255.03,260.34,253.63,260.22,259.36,2320500
"Feb 13, 2020",252.06,256.44,250.86,254.35,253.51,1897100
"Feb 12, 2020",256.76,257.38,250.07,252.23,251.40,2383400
"Feb 11, 2020",253.66,259.25,253.08,256.41,255.56,2605000
"Feb 10, 2020",247.22,252.86,246.54,252.00,251.17,2603600
"Feb 07, 2020",251.60,251.72,246.48,246.91,246.09,3712600
"Feb 06, 2020",253.00,262.70,241.75,252.25,251.42,10053900
"Feb 05, 2020",286.33,286.72,283.55,285.99,285.05,1401900
"Feb 04, 2020",283.28,286.41,282.49,284.45,283.51,1268600
"Feb 03, 2020",277.23,281.75,276.86,279.31,278.39,1782100
