Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",54.99,56.47,54.90,55.53,55.53,14653300
"Apr 02, 2020",54.84,55.32,53.58,55.21,55.21,12929400
"Apr 02, 2020",0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend
"Apr 01, 2020",53.62,55.70,53.52,54.82,54.37,13441300
"Mar 31, 2020",54.30,56.24,54.24,55.74,55.28,28455600
"Mar 30, 2020",53.20,55.08,53.20,54.39,53.94,18013500
"Mar 27, 2020",51.11,53.78,50.87,52.79,52.36,14498400
"Mar 26, 2020",50.46,53.32,50.31,52.25,51.82,21600200
"Mar 25, 2020",49.03,51.95,48.17,49.35,48.94,20921300
"Mar 24, 2020",48.18,49.50,47.39,49.24,48.84,16484800
"Mar 23, 2020",47.19,48.40,45.76,46.40,46.02,21237000
"Mar 20, 2020",49.05,50.64,47.25,48.40,48.00,20370800
"Mar 19, 2020",50.11,50.72,48.13,48.79,48.39,20058300
"Mar 18, 2020",51.63,52.39,48.02,50.24,49.83,27384200
"Mar 17, 2020",51.83,54.10,51.20,54.09,53.65,17519600
"Mar 16, 2020",50.13,53.76,48.01,51.11,50.69,20582800
"Mar 13, 2020",54.89,55.50,51.78,54.99,54.54,23503600
"Mar 12, 2020",52.33,54.90,50.62,52.75,52.32,22963000
"Mar 11, 2020",56.78,57.96,55.81,56.51,56.05,19768800
"Mar 10, 2020",58.82,58.95,55.91,57.93,57.45,24831000
"Mar 09, 2020",56.01,59.14,56.00,57.66,57.19,22385900
"Mar 06, 2020",58.88,60.42,58.76,60.31,59.81,14833900
"Mar 05, 2020",60.70,61.24,59.84,60.50,60.00,15119400
"Mar 04, 2020",60.20,61.68,59.69,61.48,60.98,18228300
"Mar 03, 2020",60.86,61.85,58.34,59.20,58.71,18250100
"Mar 02, 2020",59.57,60.78,58.68,60.34,59.84,19500300
"Feb 28, 2020",57.76,59.21,56.37,59.06,58.58,28294900
"Feb 27, 2020",61.00,61.58,59.56,59.58,59.09,20624800
"Feb 26, 2020",61.75,63.39,61.61,62.04,61.53,11264600
"Feb 25, 2020",63.89,63.91,61.60,62.14,61.63,15706000
"Feb 24, 2020",64.08,65.06,63.69,63.97,63.44,12105000
"Feb 21, 2020",64.87,65.87,64.80,65.63,65.09,10134800
"Feb 20, 2020",65.63,65.98,64.89,65.17,64.64,11360500
"Feb 19, 2020",66.00,66.05,65.36,65.71,65.17,9905400
"Feb 18, 2020",66.51,66.97,65.44,66.07,65.53,13831900
"Feb 14, 2020",66.25,66.83,65.98,66.38,65.84,7530700
"Feb 13, 2020",66.72,66.95,66.04,66.08,65.54,9149500
"Feb 12, 2020",67.09,67.50,66.57,67.00,66.45,11213700
"Feb 11, 2020",67.35,67.55,66.97,66.99,66.44,7261400
"Feb 10, 2020",65.88,67.12,65.80,66.91,66.36,13218500
"Feb 07, 2020",66.68,67.01,65.84,66.25,65.71,13093400
"Feb 06, 2020",67.00,67.80,66.39,67.10,66.55,16488500
"Feb 05, 2020",64.92,65.85,64.85,65.59,65.05,14991600
"Feb 04, 2020",64.07,64.94,64.05,64.29,63.76,11740200
"Feb 03, 2020",63.10,64.24,63.05,63.58,63.06,15987100
"Jan 31, 2020",63.63,63.69,62.51,62.95,62.43,12898000
"Jan 30, 2020",63.80,64.31,63.39,63.81,63.29,10783700
"Jan 29, 2020",65.02,65.09,64.13,64.14,63.61,10763200
"Jan 28, 2020",64.13,65.36,63.90,64.81,64.28,12761900
"Jan 27, 2020",63.26,64.63,63.09,63.70,63.18,20951100
"Jan 24, 2020",66.39,66.74,63.61,64.16,63.63,22453000
"Jan 23, 2020",67.13,67.25,66.03,66.87,66.32,13183300
"Jan 22, 2020",67.91,68.34,67.22,67.43,66.88,15186700
"Jan 21, 2020",66.70,67.62,66.53,67.43,66.88,12519400
"Jan 17, 2020",66.75,67.21,66.70,66.72,66.17,14375000
"Jan 16, 2020",66.63,66.97,66.51,66.78,66.23,8435800
"Jan 15, 2020",66.43,67.09,66.43,66.58,66.03,10937400
"Jan 14, 2020",65.81,66.53,65.57,66.44,65.89,30560500
"Jan 13, 2020",65.43,66.99,65.37,66.15,65.61,19243300
"Jan 10, 2020",65.45,65.97,65.04,65.23,64.69,11698000
"Jan 09, 2020",64.14,65.78,64.12,65.45,64.91,16169300
"Jan 08, 2020",64.05,64.61,63.86,63.86,63.34,18527000
"Jan 07, 2020",62.84,64.18,62.77,63.93,63.41,15551700
"Jan 06, 2020",62.90,63.24,62.67,62.98,62.46,11311400
"Jan 03, 2020",62.61,63.33,62.55,62.78,62.26,12984600
"Jan 02, 2020",63.85,64.00,63.14,63.34,62.82,13163700
"Jan 02, 2020",0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend,0.45 Dividend
"Dec 31, 2019",63.59,64.21,63.51,64.19,63.22,9378400
"Dec 30, 2019",64.09,64.46,63.64,63.73,62.76,7862300
"Dec 27, 2019",64.17,64.30,63.83,64.14,63.17,7684400
"Dec 26, 2019",63.23,64.04,63.18,63.96,62.99,8187700
"Dec 24, 2019",63.02,63.43,63.01,63.16,62.20,2890400
"Dec 23, 2019",63.55,63.80,63.08,63.21,62.25,12914900
"Dec 20, 2019",63.58,63.59,62.92,63.51,62.55,24137000
"Dec 19, 2019",63.18,63.46,62.74,62.85,61.90,12928200
"Dec 18, 2019",63.87,64.28,62.97,63.15,62.19,14824300
"Dec 17, 2019",63.80,64.55,63.54,64.11,63.14,16207100
"Dec 16, 2019",63.10,64.27,63.01,63.50,62.54,23018200
"Dec 13, 2019",64.04,64.75,63.79,63.82,62.85,14526400
"Dec 12, 2019",62.42,64.22,62.42,63.94,62.97,17353600
"Dec 11, 2019",62.87,62.98,61.96,62.41,61.46,18262900
"Dec 10, 2019",61.03,62.37,60.93,62.09,61.15,19224800
"Dec 09, 2019",60.59,61.58,60.40,61.28,60.35,16110700
"Dec 06, 2019",59.88,60.86,59.82,59.95,59.04,17765400
"Dec 05, 2019",58.86,59.67,58.80,59.48,58.58,17149700
"Dec 04, 2019",57.83,58.98,57.55,58.90,58.01,22257200
"Dec 03, 2019",57.00,57.81,56.68,57.75,56.87,16233300
"Dec 02, 2019",57.34,58.10,57.28,57.41,56.54,24715100
"Nov 29, 2019",57.23,57.37,56.85,56.94,56.08,11292400
"Nov 27, 2019",56.94,57.85,56.90,57.60,56.73,25908300
"Nov 26, 2019",56.33,56.90,56.08,56.73,55.87,21781800
"Nov 25, 2019",56.92,57.10,55.94,56.17,55.32,23231400
"Nov 22, 2019",56.65,57.12,55.92,56.45,55.59,21515600
"Nov 21, 2019",57.13,57.46,56.46,56.85,55.99,22932700
"Nov 20, 2019",56.16,56.50,55.30,56.41,55.55,185413200
"Nov 19, 2019",57.84,57.85,56.26,56.48,55.62,39248100
"Nov 18, 2019",58.19,58.53,57.29,57.65,56.78,28506700
"Nov 15, 2019",58.54,58.79,58.40,58.59,57.70,9723800
"Nov 14, 2019",58.61,58.85,57.92,58.51,57.62,10931900
"Nov 13, 2019",58.24,59.18,57.90,58.79,57.90,12857500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
