Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",167.33,169.77,159.39,163.84,163.84,2271700
"Apr 02, 2020",168.44,172.93,164.29,168.81,168.81,2501400
"Apr 01, 2020",169.72,174.27,167.39,173.07,173.07,2993300
"Mar 31, 2020",176.98,181.98,173.50,177.18,177.18,4427600
"Mar 30, 2020",162.74,178.94,162.74,178.26,178.26,3677400
"Mar 27, 2020",160.74,167.79,159.80,161.29,161.29,3563000
"Mar 26, 2020",158.31,170.85,154.41,169.54,169.54,4059400
"Mar 25, 2020",145.00,165.54,143.00,156.82,156.82,4232900
"Mar 24, 2020",141.94,147.65,136.55,147.20,147.20,5464300
"Mar 23, 2020",140.25,140.46,126.00,130.06,130.06,4226400
"Mar 20, 2020",149.32,150.64,139.82,142.09,142.09,4711700
"Mar 19, 2020",141.60,149.57,134.10,146.52,146.52,3987400
"Mar 18, 2020",145.00,146.00,118.50,142.91,142.91,4199600
"Mar 17, 2020",154.21,162.75,148.28,155.09,155.09,3765400
"Mar 16, 2020",150.00,162.39,145.24,150.69,150.69,3340800
"Mar 13, 2020",172.69,180.00,164.23,179.87,179.87,5081600
"Mar 12, 2020",175.16,181.44,163.58,164.27,164.27,4830200
"Mar 11, 2020",191.24,196.54,183.54,187.23,187.23,4106600
"Mar 10, 2020",187.79,198.70,186.03,197.77,197.77,4188200
"Mar 09, 2020",181.26,186.35,173.90,181.60,181.60,3897800
"Mar 09, 2020",0.04 Dividend,0.04 Dividend,0.04 Dividend,0.04 Dividend,0.04 Dividend,0.04 Dividend
"Mar 06, 2020",194.21,196.55,188.00,195.52,195.48,3447900
"Mar 05, 2020",203.03,206.35,198.63,200.93,200.89,3106900
"Mar 04, 2020",208.04,211.94,205.35,209.54,209.50,6127800
"Mar 03, 2020",194.34,203.88,186.90,189.25,189.21,3570000
"Mar 02, 2020",183.41,194.54,180.41,194.34,194.30,3901200
"Feb 28, 2020",176.25,184.59,174.22,182.94,182.90,5468800
"Feb 27, 2020",184.49,189.79,181.72,181.93,181.89,3101300
"Feb 26, 2020",193.72,195.50,188.54,188.92,188.88,2869700
"Feb 25, 2020",203.34,203.94,189.36,191.76,191.72,2824100
"Feb 24, 2020",207.87,210.12,200.05,200.36,200.32,3114500
"Feb 21, 2020",218.57,219.82,216.77,217.19,217.15,1469800
"Feb 20, 2020",219.31,221.74,216.21,220.41,220.36,2206200
"Feb 19, 2020",221.50,223.58,219.50,221.44,221.39,1615200
"Feb 18, 2020",220.34,224.57,219.43,221.95,221.90,1956100
"Feb 14, 2020",221.64,222.28,218.93,220.34,220.29,2077300
"Feb 13, 2020",220.33,224.25,220.33,221.89,221.84,2115900
"Feb 12, 2020",217.82,224.64,217.00,222.56,222.51,2720700
"Feb 11, 2020",212.35,215.33,210.40,215.18,215.14,1815100
"Feb 10, 2020",208.03,211.90,207.51,210.32,210.28,2041400
"Feb 07, 2020",210.67,212.79,208.01,208.92,208.88,2046800
"Feb 06, 2020",210.25,216.18,207.83,211.86,211.82,3006200
"Feb 05, 2020",200.09,207.50,200.09,206.48,206.44,2122600
"Feb 04, 2020",194.16,198.71,193.90,196.86,196.82,1955700
"Feb 03, 2020",193.82,196.08,191.18,191.77,191.73,2356200
"Jan 31, 2020",195.38,195.82,191.09,192.38,192.34,1816000
"Jan 30, 2020",200.51,201.53,194.87,196.99,196.95,3180000
"Jan 29, 2020",204.86,206.42,201.72,202.54,202.50,1849500
"Jan 28, 2020",201.35,206.12,200.63,205.33,205.29,1603400
"Jan 27, 2020",202.20,202.61,196.65,199.95,199.91,1498300
"Jan 24, 2020",212.71,212.99,204.74,206.01,205.97,1882200
"Jan 23, 2020",211.04,213.38,209.83,212.70,212.66,1511600
"Jan 22, 2020",213.30,213.80,210.37,211.26,211.22,1468700
"Jan 21, 2020",211.68,214.44,210.40,213.00,212.96,2192200
"Jan 17, 2020",210.96,212.64,209.23,212.52,212.48,1680000
"Jan 16, 2020",209.41,211.26,208.50,210.95,210.91,1387500
"Jan 15, 2020",205.19,210.42,205.19,208.23,208.19,1799700
"Jan 14, 2020",203.26,206.95,203.02,205.19,205.15,1499100
"Jan 13, 2020",208.51,209.00,201.96,203.51,203.47,2376600
"Jan 10, 2020",212.11,212.35,209.70,210.28,210.24,1034800
"Jan 09, 2020",210.03,212.23,209.00,210.85,210.81,2018200
"Jan 08, 2020",207.93,211.72,207.19,211.41,211.37,1483600
"Jan 07, 2020",206.18,208.78,205.28,207.93,207.89,1354600
"Jan 06, 2020",202.00,207.16,201.95,206.92,206.88,1243000
"Jan 03, 2020",202.01,204.39,200.80,203.18,203.14,1387300
"Jan 02, 2020",205.39,205.85,202.09,204.94,204.90,1372600
"Dec 31, 2019",202.88,204.71,202.01,204.49,204.45,1483600
"Dec 30, 2019",203.70,204.59,202.38,202.97,202.93,954800
"Dec 27, 2019",204.44,204.95,203.59,204.00,203.96,1053600
"Dec 26, 2019",204.51,205.35,203.98,204.38,204.34,743100
"Dec 24, 2019",206.53,206.93,204.00,204.01,203.97,531000
"Dec 23, 2019",203.97,207.28,203.37,206.47,206.43,1901000
"Dec 20, 2019",201.56,206.24,201.56,204.59,204.55,4943200
"Dec 19, 2019",198.21,199.99,197.81,198.72,198.68,1683500
"Dec 18, 2019",195.00,199.80,194.59,198.20,198.16,2439600
"Dec 17, 2019",194.58,196.33,192.08,193.52,193.48,1701700
"Dec 16, 2019",191.81,197.23,191.00,195.13,195.09,1867500
"Dec 13, 2019",193.91,194.96,188.80,189.87,189.83,2090900
"Dec 12, 2019",192.33,194.90,191.11,193.56,193.52,2013100
"Dec 11, 2019",191.49,193.50,189.83,191.75,191.71,1971100
"Dec 10, 2019",195.68,195.68,189.52,191.71,191.67,3335200
"Dec 09, 2019",198.08,198.84,195.85,195.95,195.91,1376600
"Dec 06, 2019",197.51,199.94,197.09,198.93,198.89,1658000
"Dec 05, 2019",196.70,196.82,193.58,195.59,195.55,1526300
"Dec 04, 2019",196.41,197.99,195.29,196.74,196.70,1820300
"Dec 03, 2019",193.94,195.98,192.54,195.33,195.29,1975900
"Dec 02, 2019",199.92,200.39,196.84,196.94,196.90,1498900
"Nov 29, 2019",200.03,200.79,198.50,199.92,199.88,812000
"Nov 27, 2019",200.50,202.59,198.50,200.03,199.99,2042000
"Nov 26, 2019",204.39,204.39,199.39,200.37,200.33,2201100
"Nov 25, 2019",202.00,205.24,201.84,203.87,203.83,2419700
"Nov 22, 2019",202.00,202.88,200.32,201.85,201.81,1492300
"Nov 21, 2019",200.27,201.43,198.10,201.21,201.17,1359100
"Nov 20, 2019",199.00,200.60,197.17,199.91,199.87,1633000
"Nov 19, 2019",198.73,200.39,196.33,200.02,199.98,1666100
"Nov 18, 2019",197.38,202.85,195.75,198.38,198.34,2818800
"Nov 15, 2019",190.39,198.64,188.28,196.01,195.97,3056600
"Nov 14, 2019",190.34,191.71,189.01,189.70,189.66,1534900
"Nov 13, 2019",187.95,191.74,187.22,190.25,190.21,1463000
"Nov 12, 2019",186.47,190.54,186.25,188.97,188.93,1831900
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
