Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",55.22,56.60,54.35,55.72,55.72,8785300
"Apr 02, 2020",56.77,56.98,54.07,55.41,55.41,16796400
"Apr 01, 2020",57.75,58.87,57.20,58.34,58.34,11474400
"Mar 31, 2020",59.18,59.84,58.18,59.33,59.33,11018700
"Mar 30, 2020",58.92,60.40,57.78,59.68,59.68,12939200
"Mar 27, 2020",56.75,59.78,55.82,58.60,58.60,15034000
"Mar 26, 2020",53.65,58.45,52.28,58.31,58.31,23189500
"Mar 25, 2020",54.40,57.53,52.71,53.64,53.64,19601500
"Mar 24, 2020",55.13,55.64,52.86,54.35,54.35,19331500
"Mar 23, 2020",53.86,54.97,52.04,53.09,53.09,16336800
"Mar 20, 2020",55.81,56.78,53.53,54.70,54.70,15682300
"Mar 19, 2020",56.80,59.11,54.14,55.38,55.38,16247100
"Mar 18, 2020",54.35,59.64,53.06,57.18,57.18,17953700
"Mar 17, 2020",53.63,59.25,52.64,58.00,58.00,15473700
"Mar 16, 2020",53.68,56.89,52.21,52.30,52.30,13566000
"Mar 13, 2020",57.46,59.80,54.46,59.64,59.64,15473500
"Mar 12, 2020",57.13,57.98,53.50,54.60,54.60,16856700
"Mar 11, 2020",61.22,63.00,59.98,61.31,61.31,12099100
"Mar 10, 2020",62.76,63.36,59.06,62.60,62.60,13274300
"Mar 09, 2020",59.75,63.15,59.60,61.30,61.30,13484500
"Mar 06, 2020",62.57,65.09,62.20,64.15,64.15,11683300
"Mar 05, 2020",63.94,65.44,63.63,64.36,64.36,8581800
"Mar 04, 2020",66.60,66.98,64.83,66.04,66.04,14690700
"Mar 03, 2020",64.57,65.65,61.36,62.54,62.54,14989700
"Mar 02, 2020",60.67,64.07,59.86,64.03,64.03,15909500
"Feb 28, 2020",57.29,59.34,57.10,59.18,59.18,23729500
"Feb 27, 2020",61.50,61.50,59.33,59.33,59.33,22059900
"Feb 26, 2020",64.65,65.20,62.55,62.65,62.65,16872600
"Feb 25, 2020",68.24,68.37,64.09,64.33,64.33,15062300
"Feb 24, 2020",69.43,69.94,67.72,67.92,67.92,9637600
"Feb 21, 2020",71.55,71.80,71.01,71.51,71.51,5186200
"Feb 20, 2020",71.50,72.23,70.56,71.94,71.94,5719300
"Feb 19, 2020",72.31,72.56,71.66,71.78,71.78,4831600
"Feb 18, 2020",71.19,72.00,70.90,72.00,72.00,4844000
"Feb 14, 2020",71.98,72.03,70.27,71.37,71.37,7655100
"Feb 13, 2020",73.45,74.10,71.94,72.00,72.00,8553900
"Feb 12, 2020",74.68,75.25,72.64,73.75,73.75,13500800
"Feb 11, 2020",73.81,74.13,73.43,73.85,73.85,7933600
"Feb 10, 2020",71.55,73.33,71.26,73.25,73.25,8760200
"Feb 07, 2020",71.05,72.09,71.00,71.56,71.56,6611300
"Feb 06, 2020",71.00,71.59,70.41,70.84,70.84,6514400
"Feb 05, 2020",68.78,70.78,68.56,70.54,70.54,6609800
"Feb 04, 2020",67.31,68.46,67.30,67.88,67.88,7525100
"Feb 03, 2020",68.40,68.61,66.79,66.93,66.93,7696000
"Jan 31, 2020",69.35,69.35,67.40,67.82,67.82,9869700
