Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",1020.25,1038.39,1020.25,1020.69,1020.69,37108
"Apr 02, 2020",995.58,1026.83,995.58,1026.83,1026.83,582
"Apr 01, 2020",1007.60,1007.60,1003.15,1003.15,1003.15,2990
"Mar 31, 2020",1050.16,1050.16,1033.15,1033.15,1033.15,16090
"Mar 30, 2020",1052.11,1077.61,1051.26,1075.46,1075.46,38290
"Mar 30, 2020",11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend
"Mar 27, 2020",1070.98,1083.05,1059.00,1064.13,1052.26,11241
"Mar 26, 2020",1050.68,1067.68,1050.68,1064.55,1052.67,173456
"Mar 25, 2020",1004.70,1020.51,992.01,992.01,980.94,1409
"Mar 24, 2020",1000.96,1018.75,1000.96,1004.31,993.10,4493
"Mar 23, 2020",1037.57,1037.57,960.01,960.01,949.30,5479
"Mar 20, 2020",982.51,985.06,951.84,951.84,941.22,24672
"Mar 19, 2020",954.52,972.26,950.00,950.00,939.40,28744
"Mar 18, 2020",949.08,981.83,948.55,980.09,969.15,12477
"Mar 17, 2020",991.68,1027.16,991.68,996.54,985.42,5739
"Mar 16, 2020",1012.07,1030.22,1005.97,1030.22,1018.72,5865
"Mar 13, 2020",1034.75,1034.75,988.38,994.95,983.85,9079
"Mar 12, 2020",1018.65,1025.93,950.00,950.00,939.40,12998
"Mar 11, 2020",1082.71,1086.79,1044.00,1044.00,1032.35,154585
"Mar 10, 2020",1095.10,1098.08,1085.01,1085.01,1072.90,30572
"Mar 09, 2020",1093.50,1093.50,1086.00,1086.00,1073.88,7343
"Mar 06, 2020",1125.51,1140.31,1116.59,1133.83,1121.18,7307
"Mar 05, 2020",1126.00,1135.46,1125.60,1130.49,1117.87,183562
"Mar 04, 2020",1147.14,1147.14,1147.14,1147.14,1134.34,30968
"Mar 03, 2020",1139.83,1139.83,1113.44,1113.44,1101.01,13386
"Mar 02, 2020",1099.45,1099.45,1099.45,1099.45,1087.18,-
"Feb 28, 2020",1095.50,1099.53,1089.93,1099.45,1087.18,87893
"Feb 27, 2020",1152.95,1169.39,1133.48,1133.48,1120.83,63767
"Feb 26, 2020",1183.58,1184.73,1169.00,1169.00,1155.95,68849
"Feb 25, 2020",1185.40,1185.40,1166.48,1166.48,1153.46,56114
"Feb 24, 2020",1214.72,1214.72,1198.01,1198.01,1184.64,7775
"Feb 21, 2020",1222.49,1222.49,1222.49,1222.49,1208.85,-
"Feb 20, 2020",1215.00,1222.49,1215.00,1222.49,1208.85,2886
"Feb 19, 2020",1241.58,1242.90,1235.64,1235.64,1221.85,11045
"Feb 18, 2020",1239.73,1244.35,1239.73,1244.35,1230.46,1735
"Feb 14, 2020",1251.38,1254.40,1251.38,1254.05,1240.06,2119
"Feb 13, 2020",1240.63,1240.63,1240.63,1240.63,1226.79,-
"Feb 12, 2020",1240.63,1240.63,1240.63,1240.63,1226.79,-
"Feb 11, 2020",1240.63,1240.63,1240.63,1240.63,1226.79,987
"Feb 10, 2020",1235.65,1239.34,1235.65,1239.34,1225.51,544
"Feb 07, 2020",1228.00,1239.57,1228.00,1239.57,1225.74,6724
"Feb 06, 2020",1239.11,1239.11,1239.11,1239.11,1225.28,10591
"Feb 05, 2020",1234.59,1234.59,1233.19,1233.19,1219.43,4028
"Feb 04, 2020",1231.09,1231.09,1222.16,1229.59,1215.87,24278
"Feb 03, 2020",1225.96,1225.96,1214.83,1214.83,1201.27,17197
"Jan 31, 2020",1220.36,1221.25,1220.36,1221.14,1207.51,3439
"Jan 30, 2020",1248.29,1265.65,1248.19,1265.65,1251.53,16308
"Jan 29, 2020",1240.10,1246.26,1240.10,1246.26,1232.35,7725
"Jan 28, 2020",1233.64,1234.19,1233.10,1233.10,1219.34,2787
"Jan 27, 2020",1225.40,1234.16,1225.40,1234.16,1220.39,1786
"Jan 24, 2020",1232.56,1232.56,1231.05,1231.05,1217.31,1314
"Jan 23, 2020",1238.07,1238.07,1228.83,1228.83,1215.12,1688
"Jan 22, 2020",1242.01,1244.00,1236.84,1236.84,1223.04,8210
"Jan 21, 2020",1241.85,1241.85,1241.50,1241.84,1227.98,2925
"Jan 17, 2020",1237.97,1239.65,1235.61,1235.61,1221.82,4387
"Jan 16, 2020",1230.45,1234.91,1230.45,1230.93,1217.19,2704
"Jan 15, 2020",1230.23,1236.00,1227.28,1227.28,1213.58,1451
"Jan 14, 2020",1215.00,1215.00,1215.00,1215.00,1201.44,-
"Jan 13, 2020",1215.00,1215.00,1215.00,1215.00,1201.44,2847
"Jan 10, 2020",1216.31,1217.27,1213.11,1213.11,1199.57,1633
"Jan 09, 2020",1207.93,1217.51,1207.57,1209.93,1196.43,5746
"Jan 08, 2020",1203.96,1209.87,1203.96,1209.87,1196.37,10913
"Jan 07, 2020",1197.45,1197.45,1197.45,1197.45,1184.09,799
"Jan 06, 2020",1185.75,1191.38,1185.75,1191.38,1178.08,1546
"Jan 03, 2020",1185.45,1185.45,1185.45,1185.45,1172.22,-
"Jan 02, 2020",1185.45,1185.45,1185.45,1185.45,1172.22,2487
"Dec 31, 2019",1180.84,1181.69,1179.04,1179.04,1165.88,2169
"Dec 30, 2019",1178.33,1180.35,1163.18,1180.35,1167.18,2737
"Dec 30, 2019",11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend,11.875 Dividend
"Dec 27, 2019",1186.45,1191.91,1186.45,1191.91,1166.87,1752
"Dec 26, 2019",1205.00,1205.00,1205.00,1205.00,1179.68,1150
"Dec 24, 2019",1186.64,1186.64,1186.64,1186.64,1161.71,-
"Dec 23, 2019",1186.64,1186.64,1186.64,1186.64,1161.71,551
"Dec 20, 2019",1185.41,1188.00,1181.27,1181.27,1156.45,3456
"Dec 19, 2019",1177.26,1177.26,1177.26,1177.26,1152.52,736
"Dec 18, 2019",1170.00,1170.00,1169.14,1169.76,1145.18,52076
"Dec 17, 2019",1168.00,1168.00,1168.00,1168.00,1143.46,-
"Dec 16, 2019",1168.00,1168.00,1168.00,1168.00,1143.46,-
"Dec 13, 2019",1168.80,1171.50,1168.00,1168.00,1143.46,13794
"Dec 12, 2019",1170.84,1172.25,1170.84,1171.90,1147.28,30286
"Dec 11, 2019",1154.40,1154.40,1154.40,1154.40,1130.14,-
"Dec 10, 2019",1154.40,1154.40,1154.40,1154.40,1130.14,-
"Dec 09, 2019",1153.00,1154.40,1153.00,1154.40,1130.14,10798
"Dec 06, 2019",1157.88,1157.88,1157.88,1157.88,1133.55,3734
"Dec 05, 2019",1145.21,1146.66,1145.21,1146.66,1122.57,4828
"Dec 04, 2019",1144.53,1144.53,1144.53,1144.53,1120.48,-
"Dec 03, 2019",1142.54,1144.53,1142.54,1144.53,1120.48,1911
"Dec 02, 2019",1145.99,1145.99,1143.75,1145.99,1121.91,1446
"Nov 29, 2019",1150.00,1150.00,1140.70,1140.74,1116.77,6207
"Nov 27, 2019",1143.85,1149.00,1143.84,1148.82,1124.68,3777
"Nov 26, 2019",1142.61,1142.61,1142.61,1142.61,1118.60,1023
"Nov 25, 2019",1138.39,1138.39,1133.16,1133.16,1109.35,18752
"Nov 22, 2019",1127.91,1127.91,1127.91,1127.91,1104.21,-
"Nov 21, 2019",1121.25,1127.91,1121.25,1127.91,1104.21,21107
"Nov 20, 2019",1125.82,1125.82,1125.82,1125.82,1102.17,5289
"Nov 19, 2019",1121.53,1127.69,1115.00,1127.69,1104.00,11908
"Nov 18, 2019",1124.05,1124.05,1109.70,1110.44,1087.11,15108
"Nov 15, 2019",1107.10,1126.96,1107.10,1126.96,1103.28,70428
"Nov 14, 2019",1086.23,1091.84,1086.23,1091.84,1068.90,22029
"Nov 13, 2019",1097.00,1106.43,1088.52,1101.72,1078.57,323243
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
