Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",135.49,137.80,134.00,135.15,135.15,2448800
"Apr 02, 2020",127.82,136.63,127.70,136.43,136.43,5152900
"Apr 01, 2020",133.36,135.57,128.03,128.70,128.70,3723700
"Mar 31, 2020",140.76,140.89,137.18,138.41,138.41,5470400
"Mar 30, 2020",137.54,141.61,134.49,140.82,140.82,4769700
"Mar 27, 2020",134.13,141.83,133.68,138.58,138.58,5256500
"Mar 26, 2020",131.85,139.58,130.22,138.66,138.66,5268600
"Mar 26, 2020",0.18 Dividend,0.18 Dividend,0.18 Dividend,0.18 Dividend,0.18 Dividend,0.18 Dividend
"Mar 25, 2020",126.66,132.94,123.78,129.32,129.14,5737300
"Mar 24, 2020",125.75,132.00,125.13,129.15,128.97,5257200
"Mar 23, 2020",135.95,137.17,119.60,121.39,121.22,8979300
"Mar 20, 2020",125.88,130.00,121.62,123.81,123.64,6373800
"Mar 19, 2020",127.68,129.48,122.00,124.19,124.02,5753900
"Mar 18, 2020",124.20,130.45,121.07,128.14,127.96,4908300
"Mar 17, 2020",129.63,135.73,126.12,131.78,131.60,4852300
"Mar 16, 2020",129.94,136.25,123.53,127.64,127.46,4893700
"Mar 13, 2020",136.47,142.08,127.23,141.39,141.19,5745600
"Mar 12, 2020",129.85,135.69,127.88,128.89,128.71,5854900
"Mar 11, 2020",141.51,142.08,137.37,139.37,139.18,4783200
"Mar 10, 2020",146.48,147.25,139.04,144.31,144.11,4064900
"Mar 09, 2020",140.50,143.56,138.14,141.59,141.39,4252800
"Mar 06, 2020",145.23,148.96,143.37,148.43,148.22,3156400
"Mar 05, 2020",152.98,153.12,147.41,149.47,149.26,4494200
"Mar 04, 2020",150.58,156.14,149.30,155.98,155.76,3463300
"Mar 03, 2020",151.84,155.93,146.09,147.54,147.33,3105400
"Mar 02, 2020",145.31,150.72,143.02,150.69,150.48,4682700
"Feb 28, 2020",142.16,146.80,141.22,144.58,144.38,7942800
"Feb 27, 2020",149.85,153.13,147.04,147.05,146.85,4238500
"Feb 26, 2020",151.41,155.51,150.50,152.19,151.98,3203100
"Feb 25, 2020",157.73,158.00,150.75,151.65,151.44,3187700
"Feb 24, 2020",155.30,159.11,155.30,156.82,156.60,2467100
"Feb 21, 2020",159.31,162.08,158.93,161.88,161.65,1945800
"Feb 20, 2020",163.48,163.80,158.73,160.26,160.04,2428800
"Feb 19, 2020",164.44,164.80,162.69,163.91,163.68,2642400
"Feb 18, 2020",166.29,166.40,163.33,164.00,163.77,1916700
"Feb 14, 2020",163.43,165.96,163.02,165.95,165.72,1633800
"Feb 13, 2020",163.25,163.79,161.95,163.42,163.19,2734000
"Feb 12, 2020",163.56,164.87,163.18,163.83,163.60,1653400
