Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",77.41,79.47,76.36,78.21,78.21,19411900
"Apr 02, 2020",71.81,77.48,71.38,76.98,76.98,20482100
"Apr 01, 2020",74.32,74.39,72.00,72.51,72.51,12177600
"Mar 31, 2020",75.95,76.33,73.79,74.76,74.76,12111900
"Mar 30, 2020",75.35,76.42,73.89,75.93,75.93,15929400
"Mar 27, 2020",73.71,75.39,71.91,72.85,72.85,16521600
"Mar 26, 2020",69.90,73.91,69.75,73.86,73.86,18351900
"Mar 25, 2020",73.87,74.49,69.34,69.66,69.66,24138100
"Mar 24, 2020",75.13,75.83,72.11,73.96,73.96,20608100
"Mar 23, 2020",75.30,75.30,68.86,72.61,72.61,19875200
"Mar 20, 2020",79.50,81.60,72.17,73.26,73.26,35110200
"Mar 19, 2020",80.98,85.97,78.29,78.55,78.55,46268200
"Mar 18, 2020",73.61,80.00,72.97,79.42,79.42,34965900
"Mar 17, 2020",70.00,76.08,69.00,74.52,74.52,28823700
"Mar 16, 2020",67.24,72.80,64.41,68.90,68.90,26764600
"Mar 13, 2020",71.93,72.00,67.50,70.75,70.75,30116100
"Mar 12, 2020",70.44,72.86,67.88,68.58,68.58,26364600
"Mar 12, 2020",0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend
"Mar 11, 2020",73.90,75.38,72.78,73.70,73.02,32018600
"Mar 10, 2020",75.51,75.56,68.78,72.34,71.67,27660000
"Mar 09, 2020",77.92,78.19,73.09,73.52,72.84,32839400
"Mar 06, 2020",75.32,80.40,75.10,80.22,79.48,31704700
"Mar 05, 2020",75.00,77.50,74.53,76.13,75.43,22727600
"Mar 04, 2020",74.90,76.01,72.59,76.01,75.31,23741700
"Mar 03, 2020",74.27,74.82,71.51,74.21,73.53,24482000
"Mar 02, 2020",70.32,75.41,70.08,75.40,74.70,31113000
"Feb 28, 2020",70.17,71.08,66.63,69.36,68.72,33804800
"Feb 27, 2020",78.31,78.88,72.26,72.66,71.99,51482500
"Feb 26, 2020",71.32,75.47,70.72,74.70,74.01,35000500
"Feb 25, 2020",73.73,73.85,69.02,70.10,69.45,39199200
"Feb 24, 2020",73.89,74.52,71.59,72.90,72.23,42905000
"Feb 21, 2020",67.18,69.78,66.81,69.70,69.06,22478200
"Feb 20, 2020",67.26,67.36,66.10,67.00,66.38,8697200
"Feb 19, 2020",67.20,67.54,66.82,67.35,66.73,7754000
"Feb 18, 2020",67.56,67.80,66.71,67.01,66.39,9904700
"Feb 14, 2020",67.41,67.66,67.04,67.56,66.94,9109100
"Feb 13, 2020",67.13,67.77,66.52,66.80,66.18,8031000
"Feb 12, 2020",67.50,67.82,66.32,66.95,66.33,13927100
"Feb 11, 2020",68.93,68.99,67.50,67.76,67.13,12858700
"Feb 10, 2020",69.32,69.40,67.61,68.99,68.35,24347800
"Feb 07, 2020",69.98,71.19,68.39,68.87,68.23,27320100
"Feb 06, 2020",67.29,69.90,66.05,68.21,67.58,28805500
"Feb 05, 2020",66.22,66.55,64.07,65.87,65.26,21184500
"Feb 04, 2020",68.00,68.01,66.88,67.40,66.78,15904100
"Feb 03, 2020",67.74,68.68,65.49,66.36,65.75,35562000
"Jan 31, 2020",63.80,63.93,62.60,63.20,62.62,11416800
"Jan 30, 2020",63.90,64.10,63.03,64.03,63.44,8771800
"Jan 29, 2020",64.42,65.14,64.22,64.30,63.71,7071000
"Jan 28, 2020",64.25,64.88,64.09,64.36,63.77,10241100
"Jan 27, 2020",63.00,64.28,62.80,63.83,63.24,10421600
"Jan 24, 2020",64.07,64.20,62.84,63.15,62.57,18685100
"Jan 23, 2020",63.25,64.06,62.74,63.94,63.35,14648700
"Jan 22, 2020",62.80,63.43,62.60,63.40,62.82,7906100
"Jan 21, 2020",62.91,62.92,62.23,62.63,62.05,12261100
"Jan 17, 2020",63.50,63.50,62.57,62.98,62.40,13457600
"Jan 16, 2020",64.29,64.38,63.12,63.20,62.62,10633900
"Jan 15, 2020",64.07,64.93,63.98,64.10,63.51,7080600
"Jan 14, 2020",64.41,64.56,63.91,64.20,63.61,9929700
"Jan 13, 2020",65.05,65.26,64.08,64.31,63.72,6868900
"Jan 10, 2020",66.00,66.09,64.98,65.03,64.43,5153900
"Jan 09, 2020",65.81,66.07,65.30,65.84,65.23,5942300
"Jan 08, 2020",65.11,66.24,64.81,65.80,65.19,6607300
"Jan 07, 2020",65.26,65.29,64.17,65.12,64.52,8082600
"Jan 06, 2020",64.67,65.83,64.66,65.65,65.04,8248700
"Jan 03, 2020",64.63,65.37,64.56,65.07,64.47,4689700
"Jan 02, 2020",65.53,65.74,65.04,65.23,64.63,5038200
"Dec 31, 2019",64.66,65.06,64.35,64.98,64.38,6984700
"Dec 30, 2019",65.73,66.10,64.81,64.93,64.33,5864300
"Dec 27, 2019",66.38,66.49,65.71,65.95,65.34,4463900
"Dec 26, 2019",66.71,66.91,66.15,66.39,65.78,3527400
"Dec 24, 2019",66.81,66.94,66.29,66.72,66.10,1965800
"Dec 23, 2019",66.70,67.40,66.54,66.75,66.13,7038200
