Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",37.00,37.38,36.73,37.14,37.14,4358400
"Apr 02, 2020",37.03,37.81,36.67,37.70,37.70,3544800
"Apr 01, 2020",37.06,37.76,37.04,37.22,37.22,3653900
"Mar 31, 2020",37.45,38.42,37.34,37.89,37.89,5203200
"Mar 30, 2020",36.83,37.64,36.73,37.60,37.60,5506600
"Mar 27, 2020",35.66,37.16,35.38,36.44,36.44,6089700
"Mar 26, 2020",35.42,37.39,35.42,37.25,37.25,5785900
"Mar 25, 2020",34.42,35.86,34.09,35.42,35.42,7050900
"Mar 24, 2020",33.55,34.07,32.88,34.00,34.00,7154600
"Mar 23, 2020",32.73,33.12,31.43,31.85,31.85,7672900
"Mar 20, 2020",34.31,34.79,33.25,33.34,33.34,7013400
"Mar 19, 2020",33.29,34.98,32.82,33.66,33.66,9060300
"Mar 18, 2020",33.71,35.38,33.33,34.28,34.28,7556000
"Mar 17, 2020",34.61,37.00,34.36,36.85,36.85,6324800
"Mar 16, 2020",33.65,35.42,33.32,33.67,33.67,9431100
"Mar 13, 2020",36.82,37.85,34.88,37.85,37.85,8672200
"Mar 12, 2020",36.78,37.20,35.62,36.51,36.51,10242900
"Mar 11, 2020",40.16,40.47,39.58,39.87,39.87,8864100
"Mar 10, 2020",40.95,41.33,39.60,41.02,41.02,8875700
"Mar 09, 2020",41.00,41.87,40.58,40.72,40.72,7119200
"Mar 06, 2020",41.64,42.47,41.49,42.38,42.38,5125500
"Mar 05, 2020",42.17,42.87,42.16,42.59,42.59,5202800
"Mar 04, 2020",42.27,43.39,42.08,43.35,43.35,5179800
"Mar 03, 2020",42.31,42.52,41.04,41.30,41.30,8499400
"Mar 02, 2020",41.08,42.56,41.00,42.55,42.55,10632600
"Feb 28, 2020",40.09,40.55,39.39,40.53,40.53,11109300
"Feb 27, 2020",41.89,42.38,41.53,41.59,41.59,5460800
"Feb 26, 2020",41.79,42.38,41.73,41.90,41.90,3025400
"Feb 25, 2020",42.08,42.08,41.40,41.48,41.48,4105100
"Feb 24, 2020",42.20,42.56,41.88,41.92,41.92,4794100
"Feb 21, 2020",42.82,43.20,42.76,43.08,43.08,3832900
"Feb 20, 2020",42.69,42.96,42.51,42.76,42.76,4878600
"Feb 20, 2020",0.59938 Dividend,0.59938 Dividend,0.59938 Dividend,0.59938 Dividend,0.59938 Dividend,0.59938 Dividend
"Feb 19, 2020",43.55,43.79,43.48,43.49,42.89,3540400
"Feb 18, 2020",43.32,43.69,43.31,43.55,42.95,5464100
"Feb 14, 2020",43.53,43.82,43.45,43.74,43.14,3229300
"Feb 13, 2020",43.60,44.03,43.48,43.78,43.18,2885100
"Feb 12, 2020",44.19,44.23,43.95,44.23,43.62,3180200
"Feb 11, 2020",44.43,44.47,44.21,44.42,43.81,3783800
"Feb 10, 2020",44.25,44.65,44.20,44.61,44.00,2296000
"Feb 07, 2020",43.99,44.12,43.90,43.95,43.34,4307800
"Feb 06, 2020",44.07,44.22,43.54,44.14,43.53,6782500
"Feb 05, 2020",46.01,46.36,44.96,45.07,44.45,9638500
"Feb 04, 2020",47.12,47.36,47.10,47.12,46.47,2584800
"Feb 03, 2020",46.89,47.11,46.71,46.73,46.09,2517700
"Jan 31, 2020",47.20,47.23,46.68,46.80,46.15,3258300
"Jan 30, 2020",46.94,47.05,46.83,46.98,46.33,2180900
"Jan 29, 2020",47.08,47.23,46.97,47.19,46.54,2207800
"Jan 28, 2020",46.42,46.82,46.39,46.80,46.15,2989600
"Jan 27, 2020",46.46,46.75,46.36,46.48,45.84,3583200
"Jan 24, 2020",48.23,48.25,47.23,47.23,46.58,6967900
"Jan 23, 2020",47.93,47.95,47.55,47.82,47.16,3319800
"Jan 22, 2020",47.83,47.84,47.60,47.79,47.13,2608500
"Jan 21, 2020",47.66,47.92,47.47,47.50,46.85,3622400
"Jan 17, 2020",48.15,48.22,47.80,47.89,47.23,3286700
"Jan 16, 2020",47.06,47.35,46.93,47.16,46.51,3086300
"Jan 15, 2020",47.48,47.79,47.46,47.61,46.95,2196700
"Jan 14, 2020",46.78,47.09,46.70,47.04,46.39,1767700
"Jan 13, 2020",46.83,47.03,46.71,46.95,46.30,1858000
