Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",132.38,134.79,131.58,134.17,134.17,10068200
"Apr 02, 2020",129.12,134.00,127.22,133.15,133.15,11594500
"Apr 01, 2020",127.70,130.23,125.50,128.81,128.81,12606100
"Mar 31, 2020",134.99,135.71,130.05,131.13,131.13,15746100
"Mar 30, 2020",128.46,133.99,127.50,133.01,133.01,21754000
"Mar 27, 2020",121.65,127.62,120.58,123.16,123.16,12133200
"Mar 26, 2020",120.57,127.10,120.38,126.57,126.57,15066800
"Mar 25, 2020",118.91,123.96,116.70,119.40,119.40,13986100
"Mar 24, 2020",118.76,119.65,113.86,119.18,119.18,17604800
"Mar 23, 2020",117.00,118.56,109.16,111.14,111.14,20815200
"Mar 20, 2020",126.83,127.44,118.13,119.89,119.89,19785100
"Mar 19, 2020",134.99,134.99,126.15,127.05,127.05,18482300
"Mar 18, 2020",131.02,135.67,128.71,134.96,134.96,17521100
"Mar 17, 2020",128.55,136.77,127.81,136.59,136.59,18911800
"Mar 16, 2020",123.57,133.76,122.43,127.13,127.13,18877900
"Mar 13, 2020",129.32,134.92,124.65,134.29,134.29,20084200
"Mar 12, 2020",127.31,133.76,124.50,125.41,125.41,21539200
"Mar 11, 2020",138.09,138.75,131.50,131.80,131.80,17763400
"Mar 10, 2020",139.97,141.95,134.23,141.64,141.64,12698100
"Mar 09, 2020",136.33,139.68,134.90,136.44,136.44,13848600
"Mar 06, 2020",138.48,143.01,137.41,142.03,142.03,12239100
"Mar 05, 2020",140.80,142.68,139.84,142.01,142.01,11339200
"Mar 04, 2020",137.68,143.64,137.14,143.48,143.48,10560500
"Mar 03, 2020",140.00,140.99,133.10,135.59,135.59,13662500
"Mar 02, 2020",134.78,140.13,134.01,140.02,140.02,11508200
"Feb 28, 2020",135.36,137.29,130.82,134.48,134.48,19825500
"Feb 27, 2020",142.56,144.77,138.95,139.12,139.12,12566700
"Feb 26, 2020",145.35,146.22,143.59,143.68,143.68,10093800
"Feb 25, 2020",145.99,146.75,143.83,144.65,144.65,10529000
"Feb 24, 2020",146.50,149.00,145.25,145.91,145.91,10588900
"Feb 24, 2020",0.95 Dividend,0.95 Dividend,0.95 Dividend,0.95 Dividend,0.95 Dividend,0.95 Dividend
"Feb 21, 2020",148.09,150.24,147.54,149.93,148.98,7776800
"Feb 20, 2020",148.61,149.38,147.40,148.37,147.43,7464700
"Feb 19, 2020",149.21,149.76,148.58,148.94,148.00,6115200
"Feb 18, 2020",150.47,150.74,149.06,149.14,148.20,7230700
"Feb 14, 2020",150.56,150.64,149.15,150.13,149.18,5716300
"Feb 13, 2020",150.16,151.04,149.88,150.09,149.14,5480200
"Feb 12, 2020",151.87,152.15,150.92,151.09,150.13,5166800
"Feb 11, 2020",152.29,152.38,151.54,151.99,151.03,3715300
"Feb 10, 2020",151.68,151.91,150.89,151.86,150.90,4835600
"Feb 07, 2020",153.34,153.46,151.55,151.89,150.93,5700300
"Feb 06, 2020",154.25,154.50,152.74,153.53,152.56,6201200
"Feb 05, 2020",151.72,154.02,151.31,153.99,153.01,5979900
"Feb 04, 2020",151.49,152.75,151.20,151.60,150.64,6541400
"Feb 03, 2020",149.42,150.49,149.24,150.17,149.22,5765200
"Jan 31, 2020",149.75,150.00,148.64,148.87,147.93,8651700
"Jan 30, 2020",150.03,150.51,149.05,150.36,149.41,6470600
"Jan 29, 2020",149.45,151.19,149.13,150.54,149.59,6288600
"Jan 28, 2020",148.46,150.57,148.15,149.50,148.55,7336600
"Jan 27, 2020",147.52,149.46,147.00,148.75,147.81,7587100
"Jan 24, 2020",148.58,148.95,147.93,148.32,147.38,9051900
"Jan 23, 2020",148.04,148.77,146.76,148.53,147.59,8671900
"Jan 22, 2020",146.70,149.18,146.00,148.25,147.31,10305300
"Jan 21, 2020",148.58,150.17,148.50,149.27,148.32,9543900
"Jan 17, 2020",148.41,149.41,147.93,149.17,148.22,9083600
"Jan 16, 2020",147.42,148.84,146.20,148.20,147.26,6476000
"Jan 15, 2020",146.40,147.40,146.24,147.01,146.08,4960300
"Jan 14, 2020",145.05,146.61,144.73,146.52,145.59,7037500
"Jan 13, 2020",145.48,145.79,144.72,145.70,144.78,4593200
"Jan 10, 2020",145.75,146.18,144.90,145.06,144.14,5042600
"Jan 09, 2020",145.76,146.03,144.99,145.39,144.47,6112700
"Jan 08, 2020",144.87,145.98,143.70,144.96,144.04,6605800
"Jan 07, 2020",144.01,145.45,141.38,144.98,144.06,7382900
"Jan 06, 2020",144.00,144.20,142.85,144.10,143.19,7731300
"Jan 03, 2020",143.50,145.37,143.00,144.28,143.37,5752400
"Jan 02, 2020",145.87,146.02,145.08,145.97,145.05,5777000
"Dec 31, 2019",145.10,146.01,144.78,145.87,144.95,4435000
"Dec 30, 2019",145.78,146.20,145.03,145.30,144.38,2923300
"Dec 27, 2019",146.20,146.55,145.54,145.75,144.83,3432700
"Dec 26, 2019",145.97,146.18,145.16,145.83,144.91,3019300
"Dec 24, 2019",146.00,146.01,145.26,145.93,145.01,4238900
