Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",140.92,144.60,138.46,139.66,139.66,4013200
"Apr 02, 2020",135.35,142.80,133.03,142.18,142.18,4725000
"Apr 01, 2020",134.00,137.19,132.98,136.42,136.42,3297900
"Mar 31, 2020",136.96,142.02,134.52,138.72,138.72,7560100
"Mar 30, 2020",133.87,141.77,133.51,138.44,138.44,5057400
"Mar 27, 2020",130.65,137.61,130.20,134.11,134.11,4717400
"Mar 26, 2020",123.29,135.74,121.94,134.35,134.35,6723600
"Mar 25, 2020",120.12,126.14,119.21,121.94,121.94,6472100
"Mar 24, 2020",123.24,124.60,117.41,122.89,122.89,6827300
"Mar 23, 2020",120.95,126.88,117.06,119.05,119.05,7299300
"Mar 20, 2020",132.16,132.25,120.23,122.40,122.40,9113500
"Mar 19, 2020",142.49,142.98,131.12,133.09,133.09,6554800
"Mar 18, 2020",136.34,144.00,134.08,143.09,143.09,6734600
"Mar 17, 2020",133.21,143.59,131.10,143.20,143.20,8909200
"Mar 16, 2020",131.00,138.68,128.25,129.38,129.38,6619700
"Mar 13, 2020",132.95,139.37,128.51,139.37,139.37,6841700
"Mar 12, 2020",130.79,136.50,125.93,126.02,126.02,7836300
"Mar 11, 2020",139.46,141.84,137.39,140.02,140.02,7211800
"Mar 10, 2020",139.23,141.93,134.72,141.19,141.19,5961200
"Mar 09, 2020",134.02,140.93,133.31,135.72,135.72,5351300
"Mar 06, 2020",136.12,142.36,135.55,141.46,141.46,8010700
"Mar 05, 2020",138.38,141.91,137.53,140.15,140.15,6882100
"Mar 04, 2020",133.03,140.86,133.00,140.38,140.38,5301900
"Mar 03, 2020",133.28,135.65,128.69,130.31,130.31,6936600
"Mar 02, 2020",127.74,133.00,126.21,132.84,132.84,7355700
"Feb 28, 2020",126.38,126.80,121.51,126.13,126.13,7898300
"Feb 27, 2020",133.33,134.67,129.05,129.19,129.19,4292800
"Feb 26, 2020",136.03,137.02,133.31,133.53,133.53,4659000
"Feb 25, 2020",138.94,139.23,134.62,135.41,135.41,3401600
"Feb 24, 2020",139.28,141.59,137.87,138.15,138.15,4727400
"Feb 21, 2020",141.34,142.65,140.33,142.04,142.04,2900900
"Feb 20, 2020",141.63,142.81,141.20,142.00,142.00,3417000
"Feb 19, 2020",141.62,141.84,140.36,140.83,140.83,3082800
"Feb 18, 2020",141.02,141.96,140.53,141.01,141.01,2858200
"Feb 14, 2020",142.25,142.32,140.57,141.12,141.12,2273700
"Feb 13, 2020",142.86,143.74,141.79,141.80,141.80,3455500
"Feb 13, 2020",0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend,0.74 Dividend
"Feb 12, 2020",144.67,144.90,143.49,143.51,142.77,3953200
"Feb 11, 2020",145.73,145.86,143.18,144.25,143.51,2976400
"Feb 10, 2020",141.50,145.55,141.12,145.51,144.76,4892100
"Feb 07, 2020",147.22,147.22,145.38,146.41,145.66,2670400
