Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",86.03,87.49,84.78,86.27,86.27,5624600
"Apr 02, 2020",82.79,86.50,81.33,86.15,86.15,7152600
"Apr 01, 2020",87.11,87.69,82.98,84.11,84.11,8110000
"Mar 31, 2020",91.68,92.51,89.52,90.18,90.18,14088100
"Mar 30, 2020",90.75,93.12,90.50,92.05,92.05,8248200
"Mar 27, 2020",88.56,92.41,88.00,89.89,89.89,10665800
"Mar 26, 2020",89.04,93.77,89.04,91.94,91.94,12537800
"Mar 26, 2020",0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend
"Mar 25, 2020",82.00,90.04,80.62,86.82,86.28,16273700
"Mar 24, 2020",77.37,82.22,76.56,80.35,79.85,9955900
"Mar 23, 2020",75.68,77.12,72.16,72.92,72.47,11494600
"Mar 20, 2020",80.97,81.66,75.79,77.46,76.98,11355200
"Mar 19, 2020",78.04,80.50,73.30,79.22,78.73,11112000
"Mar 18, 2020",77.00,78.41,72.13,74.54,74.08,10468300
"Mar 17, 2020",79.07,81.45,76.58,80.21,79.71,11584600
"Mar 16, 2020",80.53,83.44,76.30,77.43,76.95,10210000
"Mar 13, 2020",88.93,89.88,81.46,88.82,88.27,13456400
"Mar 12, 2020",88.30,90.40,83.85,84.40,83.88,11417400
"Mar 11, 2020",93.69,94.58,90.85,92.44,91.87,7893800
"Mar 10, 2020",95.20,96.37,91.39,96.36,95.76,9725800
"Mar 09, 2020",94.02,95.47,91.71,92.40,91.83,9053800
"Mar 06, 2020",97.28,99.43,96.79,99.06,98.44,6843100
"Mar 05, 2020",102.78,102.83,99.04,100.18,99.56,5881600
"Mar 04, 2020",102.55,103.98,100.95,103.59,102.95,8935200
"Mar 03, 2020",103.19,104.67,98.79,100.40,99.78,8371600
"Mar 02, 2020",101.63,102.88,99.50,102.62,101.98,8358000
"Feb 28, 2020",98.97,101.00,96.56,100.67,100.04,11689000
"Feb 27, 2020",104.84,105.55,100.94,100.98,100.35,7263500
"Feb 26, 2020",109.43,110.09,106.03,106.15,105.49,5426300
"Feb 25, 2020",111.60,111.91,108.26,108.53,107.85,7074400
"Feb 24, 2020",111.90,112.87,110.70,111.35,110.66,5334300
"Feb 21, 2020",113.59,113.86,112.68,113.28,112.58,5493800
"Feb 20, 2020",115.03,115.41,113.22,113.86,113.15,4914900
"Feb 19, 2020",113.90,114.94,113.20,113.77,113.06,5198400
"Feb 18, 2020",114.23,115.00,111.95,112.66,111.96,12050300
"Feb 14, 2020",116.85,117.53,116.00,117.33,116.60,3815600
"Feb 13, 2020",115.00,117.51,114.00,116.83,116.10,5639900
"Feb 12, 2020",118.89,118.89,116.29,116.49,115.77,7629200
"Feb 11, 2020",119.93,120.18,118.43,118.95,118.21,3959300
"Feb 10, 2020",118.32,119.49,118.21,119.38,118.64,4056800
"Feb 07, 2020",120.63,120.91,118.76,118.95,118.21,3946900
"Feb 06, 2020",120.63,121.36,119.81,121.30,120.55,3763700
"Feb 05, 2020",120.63,121.41,120.12,120.62,119.87,3811000
"Feb 04, 2020",119.45,120.47,119.17,119.99,119.24,4000300
"Feb 03, 2020",115.95,118.33,115.89,117.99,117.26,5618400
"Jan 31, 2020",117.76,118.15,115.00,115.44,114.72,6067800
"Jan 30, 2020",117.43,118.50,116.69,118.15,117.42,5056200
"Jan 29, 2020",119.75,120.15,118.32,118.37,117.63,3019500
"Jan 28, 2020",119.21,120.05,119.16,119.18,118.44,3422700
"Jan 27, 2020",118.50,120.06,118.21,119.23,118.49,4192100
"Jan 24, 2020",120.89,121.03,118.87,119.26,118.52,3382500
"Jan 23, 2020",120.74,121.29,119.64,120.97,120.22,4125900
"Jan 22, 2020",121.59,122.15,120.36,121.09,120.34,4169400
"Jan 21, 2020",119.00,120.51,118.81,120.32,119.57,5596900
"Jan 17, 2020",118.95,119.84,118.56,119.03,118.29,4906100
"Jan 16, 2020",118.12,119.30,117.78,118.86,118.12,4019400
"Jan 15, 2020",117.17,118.41,116.96,117.33,116.60,3683200
"Jan 14, 2020",117.38,117.67,116.16,117.04,116.31,5694200
"Jan 13, 2020",118.31,118.73,117.16,118.01,117.28,3367100
"Jan 10, 2020",118.71,118.96,117.92,118.64,117.90,3180900
"Jan 09, 2020",117.05,118.67,116.95,118.39,117.65,5120900
"Jan 08, 2020",115.31,116.89,115.25,116.50,115.78,5482800
"Jan 07, 2020",114.34,115.30,114.14,114.49,113.78,4443800
"Jan 06, 2020",113.27,114.95,113.10,114.89,114.18,3332000
"Jan 03, 2020",113.16,114.41,113.05,113.88,113.17,2764600
"Jan 02, 2020",114.46,114.91,113.10,114.56,113.85,3917000
"Dec 31, 2019",113.00,113.46,112.20,113.45,112.74,2806400
"Dec 30, 2019",113.77,113.89,112.54,112.93,112.23,2112800
"Dec 27, 2019",112.90,113.59,112.48,113.35,112.64,2458900
"Dec 26, 2019",113.21,113.34,112.15,112.58,111.88,2942500
"Dec 26, 2019",0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend,0.54 Dividend
"Dec 24, 2019",114.07,114.30,113.48,113.77,112.53,1281400
"Dec 23, 2019",113.78,114.14,113.39,113.89,112.64,3726500
"Dec 20, 2019",115.25,115.94,113.36,113.74,112.50,10323900
"Dec 19, 2019",113.90,114.30,112.77,113.49,112.25,5116600
"Dec 18, 2019",114.11,114.55,113.70,113.80,112.56,4895100
"Dec 17, 2019",114.97,115.65,114.14,114.35,113.10,3864300
"Dec 16, 2019",114.07,114.97,114.01,114.54,113.29,4304000
"Dec 13, 2019",112.06,113.89,111.84,113.52,112.28,4180300
"Dec 12, 2019",111.43,113.08,111.22,112.38,111.15,3741400
"Dec 11, 2019",111.54,111.84,111.17,111.72,110.50,2897200
"Dec 10, 2019",111.36,111.89,110.90,111.04,109.83,3850700
"Dec 09, 2019",112.83,112.98,111.01,111.13,109.91,3403400
"Dec 06, 2019",112.50,113.62,112.08,113.09,111.85,3623000
"Dec 05, 2019",111.94,112.31,111.22,112.20,110.97,3205700
"Dec 04, 2019",111.15,112.14,110.99,111.94,110.72,3003400
"Dec 03, 2019",110.05,111.53,110.01,110.99,109.78,3573500
"Dec 02, 2019",111.20,111.62,109.69,110.91,109.70,3429800
"Nov 29, 2019",112.24,112.38,110.90,111.39,110.17,2786600
"Nov 27, 2019",111.38,112.71,111.23,112.47,111.24,3367200
