Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",76.28,77.44,75.32,76.25,76.25,9579400
"Apr 02, 2020",75.98,77.12,74.03,76.87,76.87,12255100
"Apr 01, 2020",74.66,75.47,72.99,73.80,73.80,11131000
"Mar 31, 2020",76.25,77.60,75.52,76.94,76.94,14389000
"Mar 30, 2020",73.62,77.59,72.88,76.95,76.95,15079500
"Mar 27, 2020",71.80,73.43,71.25,71.73,71.73,11896200
"Mar 26, 2020",68.14,74.18,68.10,73.53,73.53,17226000
"Mar 25, 2020",68.41,70.38,66.75,68.22,68.22,17472800
"Mar 24, 2020",68.99,69.75,67.19,69.05,69.05,18990400
"Mar 23, 2020",70.27,71.61,65.25,66.40,66.40,17533400
"Mar 20, 2020",69.55,72.50,68.50,71.36,71.36,22019000
"Mar 19, 2020",71.35,72.86,68.91,70.73,70.73,18386200
"Mar 18, 2020",71.45,74.66,68.83,71.63,71.63,17708500
"Mar 17, 2020",71.65,76.07,71.38,74.48,74.48,23612400
"Mar 16, 2020",70.77,76.09,67.12,69.92,69.92,19855300
"Mar 13, 2020",76.22,77.23,72.26,76.75,76.75,24672800
"Mar 13, 2020",0.61 Dividend,0.61 Dividend,0.61 Dividend,0.61 Dividend,0.61 Dividend,0.61 Dividend
"Mar 12, 2020",74.40,78.06,73.26,74.45,73.84,21626700
"Mar 11, 2020",79.83,80.16,78.03,79.25,78.60,13620400
"Mar 10, 2020",80.48,82.18,77.50,82.02,81.35,16724700
"Mar 09, 2020",78.00,80.72,76.99,78.96,78.31,18075200
"Mar 06, 2020",79.97,82.62,79.43,82.20,81.53,13557800
"Mar 05, 2020",81.53,82.77,80.94,81.58,80.91,14330000
"Mar 04, 2020",81.50,83.07,79.88,82.97,82.29,19297900
"Mar 03, 2020",81.40,82.40,77.91,79.13,78.48,16597900
"Mar 02, 2020",77.13,81.55,77.08,81.37,80.70,17977600
"Feb 28, 2020",76.68,77.49,74.18,76.56,75.93,27922000
"Feb 27, 2020",80.71,81.75,78.00,78.08,77.44,15013600
"Feb 26, 2020",80.66,81.63,79.77,79.94,79.29,11393400
"Feb 25, 2020",81.53,81.94,79.85,80.27,79.61,12568400
"Feb 24, 2020",80.61,82.59,80.57,81.33,80.66,13105100
"Feb 21, 2020",82.19,82.63,81.71,82.34,81.67,8870200
"Feb 20, 2020",82.22,82.83,81.72,82.49,81.81,10440200
"Feb 19, 2020",83.08,83.11,81.57,82.00,81.33,11202500
"Feb 18, 2020",82.88,83.11,82.26,82.46,81.78,9558500
"Feb 14, 2020",82.23,82.80,81.67,82.65,81.97,8343000
"Feb 13, 2020",82.93,82.93,81.45,81.97,81.30,18500700
"Feb 12, 2020",85.04,85.23,82.90,83.25,82.57,18731800
"Feb 11, 2020",85.86,86.00,84.95,85.25,84.55,9783100
"Feb 10, 2020",85.08,85.98,84.94,85.66,84.96,10105900
"Feb 07, 2020",85.89,85.94,84.83,85.08,84.38,10896400
