Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",59.59,60.39,59.25,59.84,59.84,1975800
"Apr 02, 2020",58.54,59.55,58.02,59.31,59.31,1511700
"Apr 01, 2020",59.30,60.75,59.11,59.75,59.75,2536100
"Mar 31, 2020",60.09,60.77,59.54,60.20,60.20,4306700
"Mar 30, 2020",58.76,60.21,58.76,60.18,60.18,2913800
"Mar 27, 2020",55.42,57.63,55.01,56.73,56.73,2381200
"Mar 27, 2020",0.78739 Dividend,0.78739 Dividend,0.78739 Dividend,0.78739 Dividend,0.78739 Dividend,0.78739 Dividend
"Mar 26, 2020",54.75,56.99,54.44,56.76,55.97,2814500
"Mar 25, 2020",52.67,53.76,51.69,53.02,52.28,4443500
"Mar 24, 2020",51.91,52.04,50.05,50.54,49.84,3001900
"Mar 23, 2020",50.49,51.91,49.78,50.41,49.71,3324500
"Mar 20, 2020",52.15,52.43,49.24,49.46,48.77,3758500
"Mar 19, 2020",52.75,53.50,51.59,51.70,50.98,2395300
"Mar 18, 2020",52.46,53.64,49.67,52.50,51.77,3198100
"Mar 17, 2020",52.08,55.38,51.30,55.19,54.42,2582700
"Mar 16, 2020",50.21,55.13,49.67,52.59,51.86,2916800
"Mar 13, 2020",56.82,56.89,53.35,56.72,55.93,2992800
"Mar 12, 2020",55.73,56.10,53.29,53.42,52.68,3198000
"Mar 11, 2020",59.06,59.62,57.28,57.89,57.09,2717300
"Mar 10, 2020",60.64,61.17,58.87,61.04,60.19,2434000
"Mar 09, 2020",60.27,61.29,58.96,59.45,58.63,2624200
"Mar 06, 2020",61.56,62.67,61.25,62.55,61.68,2959500
"Mar 05, 2020",63.32,63.91,62.48,62.95,62.08,1886700
"Mar 04, 2020",63.28,64.82,62.84,64.78,63.88,2720900
"Mar 03, 2020",62.37,62.82,60.75,61.50,60.65,2857900
"Mar 02, 2020",60.11,61.16,59.06,61.12,60.27,4291400
"Feb 28, 2020",58.14,58.85,57.27,58.13,57.32,3741300
"Feb 27, 2020",60.79,61.20,59.48,59.49,58.66,1581300
"Feb 26, 2020",61.04,61.41,60.77,61.10,60.25,1553200
"Feb 25, 2020",61.12,61.35,60.30,60.62,59.78,1112000
"Feb 24, 2020",61.74,62.36,61.18,61.28,60.43,1463300
"Feb 21, 2020",63.74,64.05,63.52,63.85,62.96,873500
"Feb 20, 2020",64.12,64.34,63.24,63.51,62.63,1116600
"Feb 19, 2020",64.08,64.26,63.96,64.14,63.25,698400
"Feb 18, 2020",63.84,64.36,63.84,64.09,63.20,728400
"Feb 14, 2020",63.29,63.49,63.06,63.45,62.57,807300
"Feb 13, 2020",62.58,62.95,62.52,62.74,61.87,999000
"Feb 12, 2020",63.33,63.41,62.96,63.34,62.46,1083200
"Feb 11, 2020",63.70,63.71,62.93,63.09,62.21,1211600
"Feb 10, 2020",63.04,63.68,63.01,63.64,62.76,986000
"Feb 07, 2020",63.54,63.72,63.19,63.25,62.37,1347900
"Feb 06, 2020",63.84,64.82,63.59,64.67,63.77,1358500
"Feb 05, 2020",63.71,64.61,63.37,64.41,63.52,3251200
"Feb 04, 2020",61.01,61.95,60.92,61.59,60.74,1766200
"Feb 03, 2020",60.80,61.25,60.71,60.96,60.11,1140700
"Jan 31, 2020",61.37,61.37,60.63,60.83,59.99,1403300
"Jan 30, 2020",60.98,60.98,60.58,60.87,60.03,1196100
"Jan 29, 2020",60.88,61.06,60.65,60.67,59.83,1302100
"Jan 28, 2020",60.03,60.34,59.79,60.33,59.49,1122600
"Jan 27, 2020",60.13,60.27,59.91,59.96,59.13,1058500
"Jan 24, 2020",62.06,62.33,60.89,61.08,60.23,2028400
"Jan 23, 2020",61.32,61.66,61.06,61.59,60.74,875400
"Jan 22, 2020",61.08,61.65,61.08,61.32,60.47,1215000
"Jan 21, 2020",61.36,61.48,61.08,61.14,60.29,1149000
"Jan 17, 2020",61.46,61.54,61.22,61.31,60.46,1253400
"Jan 16, 2020",61.60,61.87,60.77,61.31,60.46,2265700
"Jan 15, 2020",61.48,62.69,61.46,62.39,61.52,2984500
"Jan 14, 2020",58.78,59.70,58.77,59.58,58.75,1253100
"Jan 13, 2020",59.19,59.27,58.76,58.97,58.15,1190200
"Jan 10, 2020",58.49,59.07,58.37,58.68,57.87,1471500
"Jan 09, 2020",57.35,57.73,57.32,57.44,56.64,921000
"Jan 08, 2020",56.91,57.19,56.67,56.85,56.06,913100
"Jan 07, 2020",57.00,57.00,56.56,56.95,56.16,1040300
"Jan 06, 2020",56.99,57.18,56.87,57.01,56.22,1247500
"Jan 03, 2020",56.91,57.40,56.86,57.11,56.32,1245600
"Jan 02, 2020",58.31,58.40,58.01,58.36,57.55,1112400
"Dec 31, 2019",57.68,57.89,57.58,57.88,57.08,797600
"Dec 30, 2019",58.42,58.45,57.68,57.73,56.93,593500
"Dec 27, 2019",58.62,58.63,58.23,58.26,57.45,802300
"Dec 26, 2019",57.96,58.17,57.84,58.09,57.28,565100
"Dec 24, 2019",57.73,58.14,57.63,57.97,57.17,500200
"Dec 23, 2019",58.02,58.02,57.64,57.66,56.86,903000
"Dec 20, 2019",58.02,58.30,57.86,58.00,57.20,2103900
"Dec 19, 2019",57.20,57.74,57.12,57.69,56.89,1929300
"Dec 18, 2019",57.50,57.54,56.70,56.85,56.06,2215600
"Dec 17, 2019",58.09,58.48,57.95,58.17,57.36,2448700
"Dec 16, 2019",58.38,58.47,57.95,58.13,57.32,1572900
"Dec 13, 2019",57.05,57.66,56.85,57.25,56.46,1199800
"Dec 12, 2019",56.75,56.99,56.38,56.50,55.72,1970300
"Dec 11, 2019",56.61,56.92,56.58,56.86,56.07,931800
"Dec 10, 2019",56.90,57.13,56.72,56.94,56.15,859400
"Dec 09, 2019",56.78,57.50,56.67,56.69,55.90,1209400
"Dec 06, 2019",57.12,57.12,56.48,56.74,55.95,2235400
"Dec 05, 2019",57.23,57.28,56.93,57.07,56.28,1319800
"Dec 04, 2019",57.26,57.40,57.01,57.37,56.57,1491900
"Dec 03, 2019",56.33,56.58,56.26,56.52,55.74,1692700
"Dec 02, 2019",56.02,56.16,55.69,56.02,55.24,831300
"Nov 29, 2019",56.47,56.52,56.04,56.15,55.37,547100
"Nov 27, 2019",56.04,56.51,56.03,56.36,55.58,1779600
"Nov 26, 2019",56.08,56.43,55.97,56.25,55.47,983000
"Nov 25, 2019",55.94,56.27,55.66,56.25,55.47,1869300
"Nov 22, 2019",54.98,54.99,54.29,54.46,53.70,1492000
"Nov 21, 2019",53.79,54.16,53.69,54.04,53.29,2375700
"Nov 20, 2019",55.42,55.50,54.08,54.46,53.70,3644700
"Nov 19, 2019",57.30,57.38,56.84,57.04,56.25,1182700
"Nov 18, 2019",56.96,57.19,56.58,57.07,56.28,1992700
"Nov 15, 2019",57.54,57.75,57.25,57.28,56.49,2669800
"Nov 14, 2019",57.29,58.01,57.23,57.89,57.09,1592400
"Nov 13, 2019",57.61,57.89,57.38,57.64,56.84,1128700
"Nov 12, 2019",57.15,57.42,57.04,57.09,56.30,946400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
