Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",83.70,84.27,82.77,83.64,83.64,1598500
"Apr 02, 2020",81.98,83.62,81.49,83.60,83.60,1882700
"Apr 01, 2020",81.01,82.43,80.42,80.93,80.93,1979500
"Mar 31, 2020",81.29,83.21,80.60,82.45,82.45,2764300
"Mar 30, 2020",80.56,82.18,80.43,81.90,81.90,2864800
"Mar 27, 2020",77.54,81.04,77.16,79.28,79.28,2653700
"Mar 26, 2020",76.89,79.93,76.86,79.74,79.74,2677600
"Mar 25, 2020",75.54,78.06,74.27,76.89,76.89,3623600
"Mar 24, 2020",73.90,74.30,72.03,73.56,73.56,2877700
"Mar 23, 2020",73.73,74.49,70.23,70.67,70.67,3714400
"Mar 20, 2020",75.95,76.76,72.17,72.42,72.42,3552700
"Mar 19, 2020",75.14,77.76,74.38,75.56,75.56,4822900
"Mar 18, 2020",73.70,75.75,71.57,74.96,74.96,4221600
"Mar 17, 2020",73.81,77.51,73.00,76.95,76.95,3689700
"Mar 16, 2020",70.07,76.16,69.18,73.14,73.14,5888200
"Mar 13, 2020",79.21,79.69,73.81,79.61,79.61,4352400
"Mar 12, 2020",76.19,77.97,72.16,74.07,74.07,5738000
"Mar 11, 2020",83.28,83.64,81.56,82.14,82.14,2626200
"Mar 10, 2020",84.96,85.56,82.27,84.95,84.95,5580300
"Mar 09, 2020",82.95,83.77,80.53,81.46,81.46,5811000
"Mar 06, 2020",84.33,85.83,83.97,85.72,85.72,5624700
"Mar 05, 2020",85.43,86.35,85.05,85.81,85.81,2388900
"Mar 04, 2020",86.70,87.87,85.78,87.65,87.65,2416500
"Mar 03, 2020",85.74,86.65,83.21,83.62,83.62,2425900
"Mar 03, 2020",3.042 Dividend,3.042 Dividend,3.042 Dividend,3.042 Dividend,3.042 Dividend,3.042 Dividend
"Mar 02, 2020",85.60,87.16,84.53,86.87,83.83,3202300
"Feb 28, 2020",83.93,84.81,83.05,83.96,81.02,4826900
"Feb 27, 2020",86.75,88.38,85.97,86.02,83.01,4530900
"Feb 26, 2020",88.59,89.37,86.86,87.11,84.06,5514300
"Feb 25, 2020",90.57,90.63,87.46,87.95,84.87,7630900
"Feb 24, 2020",92.72,93.67,89.97,90.08,86.93,4167900
"Feb 21, 2020",96.19,96.96,95.97,96.76,93.37,1452600
"Feb 20, 2020",97.05,97.09,95.88,96.29,92.92,1283400
"Feb 19, 2020",97.36,97.66,97.19,97.22,93.82,1331600
"Feb 18, 2020",96.97,97.47,96.94,97.20,93.80,1130800
"Feb 14, 2020",97.71,97.82,97.27,97.63,94.21,1058200
"Feb 13, 2020",97.89,98.27,97.73,97.77,94.35,1676100
"Feb 12, 2020",98.34,99.84,97.74,99.01,95.54,3000200
"Feb 11, 2020",97.82,98.29,97.78,98.23,94.79,1862300
"Feb 10, 2020",96.17,97.45,96.11,97.42,94.01,1455000
"Feb 07, 2020",96.64,96.84,95.74,95.83,92.47,1586700
"Feb 06, 2020",96.25,97.00,96.03,96.96,93.56,2116800
"Feb 05, 2020",96.63,96.64,96.03,96.37,93.00,2897100
"Feb 04, 2020",94.46,95.34,94.41,95.10,91.77,1312800
"Feb 03, 2020",94.34,94.84,94.15,94.25,90.95,1615100
"Jan 31, 2020",95.15,95.33,94.21,94.51,91.20,2067100
"Jan 30, 2020",95.61,95.92,95.04,95.92,92.56,1849800
"Jan 29, 2020",96.23,96.78,95.64,95.74,92.39,3156700
"Jan 28, 2020",94.49,95.72,94.39,95.54,92.19,2442200
"Jan 27, 2020",93.05,94.04,92.96,93.70,90.42,1410100
"Jan 24, 2020",95.00,95.21,93.65,93.87,90.58,5575300
