Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",43.46,45.20,43.34,44.83,44.83,4351900
"Apr 02, 2020",42.42,43.66,42.08,43.51,43.51,2740700
"Apr 01, 2020",42.50,43.46,42.32,42.91,42.91,2294700
"Mar 31, 2020",44.14,44.50,43.10,43.72,43.72,3158500
"Mar 30, 2020",43.53,45.37,43.52,44.69,44.69,5088100
"Mar 27, 2020",42.31,43.36,41.66,42.44,42.44,3852900
"Mar 26, 2020",41.61,43.00,41.61,42.95,42.95,5019400
"Mar 25, 2020",40.68,42.37,40.05,41.37,41.37,5104600
"Mar 24, 2020",40.69,40.69,39.27,40.19,40.19,4765900
"Mar 23, 2020",38.53,39.65,37.62,38.57,38.57,2652500
"Mar 20, 2020",39.79,40.60,38.02,38.02,38.02,5369900
"Mar 19, 2020",40.00,44.49,39.60,40.61,40.61,8156100
"Mar 18, 2020",40.07,42.44,39.62,41.65,41.65,2427400
"Mar 17, 2020",41.68,43.88,41.10,43.61,43.61,2770400
"Mar 16, 2020",38.35,43.21,37.75,41.52,41.52,2933800
"Mar 13, 2020",42.40,43.72,39.72,43.72,43.72,3319200
"Mar 12, 2020",41.55,42.50,40.05,40.87,40.87,4060100
"Mar 11, 2020",45.21,45.81,44.51,44.79,44.79,2914800
"Mar 10, 2020",46.01,46.26,44.32,46.16,46.16,4715500
"Mar 09, 2020",45.56,46.53,44.97,45.22,45.22,3296100
"Mar 06, 2020",48.56,48.64,47.03,48.44,48.44,2835300
"Mar 05, 2020",49.68,50.33,49.51,49.94,49.94,1558800
"Mar 04, 2020",49.26,50.56,48.93,50.54,50.54,1552400
"Mar 03, 2020",48.49,49.24,47.37,47.71,47.71,2582900
"Mar 02, 2020",47.43,48.75,47.12,48.74,48.74,3404500
"Feb 28, 2020",46.21,46.55,45.32,46.25,46.25,4550000
"Feb 27, 2020",48.43,49.14,48.09,48.16,48.16,4529300
"Feb 26, 2020",48.82,49.60,48.81,49.45,49.45,2359200
"Feb 25, 2020",49.89,49.90,48.93,49.01,49.01,2475400
"Feb 24, 2020",49.01,50.02,49.00,49.84,49.84,2526400
"Feb 21, 2020",50.29,50.88,50.11,50.85,50.85,1722700
"Feb 20, 2020",50.80,51.10,50.40,50.75,50.75,2074100
"Feb 19, 2020",50.87,50.96,50.62,50.71,50.71,2436000
"Feb 18, 2020",50.35,51.14,50.33,51.14,51.14,3314500
"Feb 14, 2020",50.04,50.12,49.83,49.93,49.93,1498800
"Feb 13, 2020",49.93,50.20,49.71,50.00,50.00,914000
"Feb 12, 2020",50.88,50.88,50.49,50.62,50.62,3608700
"Feb 11, 2020",51.00,51.31,50.97,51.23,51.23,1371400
"Feb 10, 2020",50.79,51.23,50.68,51.22,51.22,889600
"Feb 07, 2020",51.44,51.51,50.92,51.03,51.03,1404200
"Feb 06, 2020",51.03,51.72,50.84,51.66,51.66,2816300
"Feb 05, 2020",49.39,49.60,49.13,49.32,49.32,1736200
"Feb 04, 2020",48.64,48.88,48.54,48.64,48.64,776200
"Feb 03, 2020",48.63,48.88,48.31,48.38,48.38,860200
"Jan 31, 2020",48.55,48.59,48.04,48.27,48.27,1205400
"Jan 30, 2020",48.44,48.65,48.30,48.61,48.61,890300
"Jan 29, 2020",48.75,48.99,48.55,48.81,48.81,1067900
"Jan 28, 2020",48.27,48.47,48.11,48.27,48.27,868500
"Jan 27, 2020",47.98,48.16,47.72,47.77,47.77,1493600
"Jan 24, 2020",49.54,49.64,48.72,48.73,48.73,2324100
"Jan 23, 2020",49.49,49.71,49.21,49.60,49.60,1754900
"Jan 22, 2020",49.78,49.81,49.22,49.40,49.40,1578500
"Jan 21, 2020",50.64,50.86,50.20,50.21,50.21,2338500
"Jan 17, 2020",51.28,51.43,51.03,51.24,51.24,1015600
"Jan 16, 2020",51.11,51.19,50.88,51.19,51.19,650500
"Jan 15, 2020",51.05,51.33,51.03,51.25,51.25,1816800
"Jan 14, 2020",50.57,51.10,50.44,50.98,50.98,1472100
"Jan 13, 2020",51.14,51.50,51.04,51.41,51.41,1312100
"Jan 10, 2020",51.52,51.84,51.51,51.62,51.62,1583000
"Jan 09, 2020",51.20,51.33,50.94,51.16,51.16,1807700
"Jan 08, 2020",50.61,51.21,50.59,50.98,50.98,1123000
"Jan 07, 2020",50.77,50.95,50.68,50.74,50.74,884500
"Jan 06, 2020",50.87,51.26,50.85,51.25,51.25,1510500
"Jan 03, 2020",50.30,50.88,50.30,50.76,50.76,1104100
"Jan 02, 2020",50.58,50.76,50.38,50.68,50.68,1271800
"Dec 31, 2019",50.22,50.36,49.97,50.20,50.20,499300
"Dec 30, 2019",50.62,50.67,50.15,50.19,50.19,947900
"Dec 27, 2019",50.75,50.90,50.60,50.86,50.86,1016800
"Dec 26, 2019",50.51,50.51,50.25,50.30,50.30,967900
"Dec 24, 2019",50.40,50.42,50.13,50.41,50.41,453000
"Dec 23, 2019",50.35,50.43,50.14,50.31,50.31,1443000
"Dec 20, 2019",50.28,50.79,50.18,50.55,50.55,4263100
"Dec 19, 2019",49.98,50.57,49.98,50.43,50.43,2787200
"Dec 18, 2019",50.00,50.43,49.97,50.37,50.37,3663300
