Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",149.39,151.83,146.55,148.07,148.07,2061500
"Apr 02, 2020",142.62,150.50,142.00,149.58,149.58,2140100
"Apr 01, 2020",153.50,155.46,143.75,144.67,144.67,3238100
"Mar 31, 2020",162.78,170.95,162.51,166.49,166.49,2876200
"Mar 30, 2020",161.23,163.53,154.43,162.96,162.96,2325900
"Mar 30, 2020",0.575 Dividend,0.575 Dividend,0.575 Dividend,0.575 Dividend,0.575 Dividend,0.575 Dividend
"Mar 27, 2020",156.20,164.12,153.69,159.22,158.65,3398900
"Mar 26, 2020",155.13,165.88,153.05,163.33,162.74,3278200
"Mar 25, 2020",145.75,158.22,141.59,153.05,152.50,3657400
"Mar 24, 2020",136.00,144.70,131.66,143.44,142.92,3529500
"Mar 23, 2020",136.17,136.60,124.54,126.50,126.04,5261800
"Mar 20, 2020",153.26,156.88,139.08,139.38,138.88,5222000
"Mar 19, 2020",136.76,153.40,131.01,149.50,148.96,3485700
"Mar 18, 2020",133.28,139.25,126.05,139.00,138.50,5096300
"Mar 17, 2020",146.71,146.83,137.00,140.16,139.65,3902400
"Mar 16, 2020",147.87,150.82,138.24,143.83,143.31,5757500
"Mar 13, 2020",165.00,165.95,152.00,164.30,163.71,4716900
"Mar 12, 2020",166.00,170.55,153.92,154.25,153.69,4075100
"Mar 11, 2020",178.72,179.22,171.81,175.62,174.99,2881100
"Mar 10, 2020",179.73,183.79,173.33,183.56,182.90,2987200
"Mar 09, 2020",175.32,177.84,171.33,172.63,172.01,3095900
"Mar 06, 2020",185.65,187.70,183.98,185.88,185.21,2798600
"Mar 05, 2020",197.19,197.19,185.88,189.60,188.92,2797800
"Mar 04, 2020",194.58,198.50,189.97,198.40,197.68,2532600
"Mar 03, 2020",198.70,201.51,185.66,188.83,188.15,3061000
"Mar 02, 2020",192.44,197.25,190.57,197.22,196.51,2503900
"Feb 28, 2020",188.14,191.96,185.03,190.59,189.90,3098100
"Feb 27, 2020",198.42,202.16,194.85,194.85,194.15,2090700
"Feb 26, 2020",207.55,210.99,201.60,201.66,200.93,1993400
"Feb 25, 2020",215.56,216.27,205.25,206.31,205.56,1995300
"Feb 24, 2020",219.10,219.90,214.23,215.55,214.77,1617000
"Feb 21, 2020",223.38,224.49,222.28,224.30,223.49,1733000
"Feb 20, 2020",225.10,225.95,222.28,224.47,223.66,1006300
"Feb 19, 2020",222.57,226.30,222.05,225.10,224.29,1243700
"Feb 18, 2020",221.00,221.95,218.78,221.93,221.13,1533300
"Feb 14, 2020",217.79,221.62,216.52,221.54,220.74,1447400
"Feb 13, 2020",216.36,218.23,215.36,217.41,216.62,1055200
"Feb 12, 2020",218.53,219.27,216.04,216.08,215.30,871500
"Feb 11, 2020",218.06,218.99,216.70,218.14,217.35,834500
"Feb 10, 2020",214.87,217.48,214.82,217.23,216.45,650200
"Feb 07, 2020",218.19,219.00,214.60,214.81,214.03,942200
"Feb 06, 2020",218.71,219.35,217.17,218.24,217.45,790200
"Feb 05, 2020",217.64,218.78,216.45,217.73,216.94,1160200
"Feb 04, 2020",214.60,217.71,213.90,216.35,215.57,1248900
"Feb 03, 2020",210.57,212.99,210.57,211.64,210.88,1148500
"Jan 31, 2020",213.45,214.00,209.36,210.70,209.94,1511200
"Jan 30, 2020",210.00,214.15,209.35,213.83,213.06,2130700
"Jan 29, 2020",216.39,216.39,208.16,210.68,209.92,2871100
