Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",282.95,287.50,278.79,282.21,282.21,1320400
"Apr 02, 2020",272.04,287.99,272.03,287.55,287.55,1666600
"Apr 01, 2020",276.51,282.99,270.40,275.20,275.20,1927400
"Mar 31, 2020",283.81,286.33,280.31,283.60,283.60,3275100
"Mar 30, 2020",278.29,286.18,276.44,284.96,284.96,1990000
"Mar 27, 2020",273.63,283.17,272.10,274.34,274.34,2314600
"Mar 26, 2020",274.76,285.11,270.30,283.15,283.15,2856100
"Mar 25, 2020",278.01,285.75,270.13,271.68,271.68,3075700
"Mar 24, 2020",263.55,284.00,261.30,282.03,282.03,2691600
"Mar 23, 2020",272.24,275.00,250.21,255.30,255.30,3477200
"Mar 20, 2020",277.46,285.45,268.15,278.37,278.37,3715600
"Mar 19, 2020",298.02,299.98,277.73,280.84,280.84,3511100
"Mar 18, 2020",284.36,303.00,280.26,302.98,302.98,4570700
"Mar 17, 2020",297.98,314.16,286.58,296.31,296.31,5253500
"Mar 16, 2020",271.53,293.49,265.24,279.35,279.35,3766500
"Mar 13, 2020",297.65,301.15,272.21,300.12,300.12,4534400
"Mar 13, 2020",0.22 Dividend,0.22 Dividend,0.22 Dividend,0.22 Dividend,0.22 Dividend,0.22 Dividend
"Mar 12, 2020",274.27,295.78,268.55,284.32,284.10,4519200
"Mar 11, 2020",299.41,300.23,285.26,289.38,289.16,2566400
"Mar 10, 2020",305.76,307.97,293.08,307.70,307.46,2707500
"Mar 09, 2020",293.88,298.43,288.03,295.35,295.12,2520100
"Mar 06, 2020",305.06,312.72,302.73,311.17,310.93,1922800
"Mar 05, 2020",318.67,323.69,310.10,312.89,312.65,2192400
"Mar 04, 2020",318.54,327.89,314.83,326.64,326.39,3043500
"Mar 03, 2020",315.63,324.99,307.45,310.36,310.12,3895900
"Mar 02, 2020",291.03,304.96,288.86,304.96,304.72,2741000
"Feb 28, 2020",288.61,295.80,284.83,290.80,290.57,3961600
"Feb 27, 2020",304.00,311.71,297.01,297.08,296.85,2231900
"Feb 26, 2020",308.74,318.64,308.31,309.16,308.92,1944800
"Feb 25, 2020",324.78,326.99,307.37,309.63,309.39,2378300
"Feb 24, 2020",324.26,326.17,320.52,323.15,322.90,2638300
"Feb 21, 2020",333.91,335.60,333.10,334.94,334.68,1540100
"Feb 20, 2020",340.00,341.35,333.20,336.06,335.80,1505700
"Feb 19, 2020",338.09,340.29,335.31,339.74,339.48,1189400
"Feb 18, 2020",338.13,338.35,334.51,337.37,337.11,1462400
"Feb 14, 2020",336.56,339.40,335.05,339.19,338.93,1467700
