Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",238.32,239.34,227.27,229.49,229.49,4649500
"Apr 02, 2020",235.30,242.00,226.03,240.44,240.44,4636800
"Apr 01, 2020",238.69,246.61,235.44,237.32,237.32,4548800
"Mar 31, 2020",243.48,254.53,243.00,249.38,249.38,5450000
"Mar 30, 2020",242.64,254.09,242.64,251.28,251.28,5329000
"Mar 27, 2020",242.94,251.60,238.24,242.45,242.45,4879500
"Mar 26, 2020",234.03,257.96,232.30,255.39,255.39,7517600
"Mar 25, 2020",219.09,247.51,216.00,234.49,234.49,10014000
"Mar 24, 2020",202.14,220.27,199.00,219.80,219.80,8894400
"Mar 23, 2020",202.04,205.75,187.72,194.86,194.86,10654500
"Mar 20, 2020",223.18,232.64,203.46,206.59,206.59,9364100
"Mar 19, 2020",216.98,226.12,208.94,219.80,219.80,8065200
"Mar 18, 2020",225.75,231.45,200.19,217.06,217.06,12917500
"Mar 17, 2020",230.82,248.76,228.29,244.22,244.22,9642200
"Mar 16, 2020",243.92,245.68,223.95,225.04,225.04,10303500
"Mar 13, 2020",260.99,273.22,242.27,272.04,272.04,9308400
"Mar 13, 2020",1.08 Dividend,1.08 Dividend,1.08 Dividend,1.08 Dividend,1.08 Dividend,1.08 Dividend
"Mar 12, 2020",260.00,272.23,250.00,250.41,249.33,10496600
"Mar 11, 2020",274.76,285.24,273.26,277.78,276.58,7744600
"Mar 10, 2020",279.72,283.90,272.50,280.00,278.79,7366000
"Mar 09, 2020",264.46,281.44,259.24,273.44,272.26,8070700
"Mar 06, 2020",275.42,284.97,271.90,283.87,282.65,5361900
"Mar 05, 2020",281.60,289.42,279.94,282.96,281.74,5908400
"Mar 04, 2020",290.00,295.84,282.21,289.42,288.17,14533000
"Mar 03, 2020",275.35,280.35,259.23,261.40,260.27,9188100
"Mar 02, 2020",257.34,273.24,250.32,273.11,271.93,8866300
"Feb 28, 2020",246.20,257.10,245.30,254.96,253.86,9964000
"Feb 27, 2020",258.42,262.15,252.07,253.92,252.82,7604300
"Feb 26, 2020",264.72,269.83,258.71,263.00,261.87,6806600
"Feb 25, 2020",280.15,281.98,262.01,263.39,262.25,8171200
"Feb 24, 2020",286.89,288.99,277.64,277.79,276.59,8790600
"Feb 21, 2020",300.47,302.51,298.61,301.43,300.13,2987100
"Feb 20, 2020",303.20,304.16,297.89,302.13,300.83,2885500
"Feb 19, 2020",303.37,306.71,302.73,305.31,303.99,3021100
"Feb 18, 2020",299.67,303.35,299.00,302.14,300.84,3241700
"Feb 14, 2020",302.21,303.97,297.31,298.78,297.49,2485600
"Feb 13, 2020",300.14,305.90,300.14,302.20,300.90,3565500
"Feb 12, 2020",295.00,305.00,294.01,303.48,302.17,6701900
"Feb 11, 2020",286.85,291.57,285.90,290.79,289.54,2992200
"Feb 10, 2020",286.23,289.29,285.45,287.03,285.79,3147400
"Feb 07, 2020",292.87,293.39,288.91,289.22,287.97,3425900
"Feb 06, 2020",297.00,297.27,290.00,292.46,291.20,3044000
"Feb 05, 2020",285.60,297.00,285.44,295.73,294.45,5761000
"Feb 04, 2020",277.28,283.50,276.88,280.84,279.63,4290200
"Feb 03, 2020",275.13,276.85,270.82,274.02,272.84,5646800
"Jan 31, 2020",278.17,278.78,271.18,272.45,271.27,5532600
"Jan 30, 2020",281.84,281.84,275.92,280.98,279.77,4211800
"Jan 29, 2020",284.00,286.19,280.89,282.90,281.68,3963800
"Jan 28, 2020",283.91,288.37,283.30,285.87,284.64,4341000
"Jan 27, 2020",288.00,288.08,280.07,284.09,282.86,4399400
"Jan 24, 2020",298.34,299.93,291.56,292.81,291.55,3678500
"Jan 23, 2020",300.01,300.58,296.65,299.46,298.17,3169600
"Jan 22, 2020",301.99,302.13,297.35,300.59,299.29,3117600
"Jan 21, 2020",296.89,302.54,296.01,300.53,299.23,4962800
"Jan 17, 2020",300.01,300.70,295.88,298.47,297.18,4632200
"Jan 16, 2020",298.00,300.99,295.93,300.74,299.44,3710300
"Jan 15, 2020",289.02,299.64,289.00,296.41,295.13,6081300
"Jan 14, 2020",285.60,288.24,284.25,288.24,287.00,6056300
"Jan 13, 2020",294.37,294.45,285.02,285.85,284.62,6994900
"Jan 10, 2020",296.07,296.07,292.21,295.13,293.86,2477900
"Jan 09, 2020",294.29,297.20,293.72,294.22,292.95,2838200
"Jan 08, 2020",291.50,297.38,290.04,295.90,294.62,3379200
"Jan 07, 2020",290.70,291.49,287.58,289.79,288.54,2492900
"Jan 06, 2020",288.00,291.66,287.22,291.55,290.29,3079100
"Jan 03, 2020",287.27,291.88,284.36,289.54,288.29,2711400
"Jan 02, 2020",293.98,295.70,289.79,292.50,291.24,2543400
"Dec 31, 2019",293.66,294.09,291.15,293.98,292.71,2224200
"Dec 30, 2019",296.05,296.54,293.45,293.85,292.58,1511700
"Dec 27, 2019",296.01,296.54,295.01,295.97,294.69,1547100
"Dec 26, 2019",295.30,296.26,294.54,295.65,294.37,1050600
"Dec 24, 2019",295.26,295.83,293.56,294.54,293.27,714000
"Dec 23, 2019",293.43,295.85,292.81,295.09,293.82,2098900
"Dec 20, 2019",298.90,300.00,292.51,292.59,291.33,6608300
"Dec 19, 2019",295.00,297.20,293.62,294.62,293.35,2905900
"Dec 18, 2019",291.00,294.86,290.99,292.90,291.64,3621600
