Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",241.38,247.45,234.35,238.31,238.31,1989800
"Apr 02, 2020",222.77,242.96,222.39,242.16,242.16,2503900
"Apr 01, 2020",232.12,234.98,223.45,225.48,225.48,1482300
"Mar 31, 2020",228.95,240.00,228.02,237.95,237.95,3300700
"Mar 30, 2020",221.34,233.77,220.00,231.92,231.92,2138900
"Mar 27, 2020",219.43,224.18,215.57,217.24,217.24,1712700
"Mar 26, 2020",209.80,225.62,209.43,224.49,224.49,1752500
"Mar 25, 2020",219.88,224.00,209.51,210.09,210.09,2066600
"Mar 24, 2020",207.84,224.98,207.84,223.13,223.13,2830400
"Mar 23, 2020",210.50,218.10,199.52,202.21,202.21,2802000
"Mar 20, 2020",217.70,227.43,204.16,206.00,206.00,2764700
"Mar 19, 2020",215.15,223.93,202.01,215.69,215.69,3118600
"Mar 18, 2020",200.60,224.99,197.47,212.98,212.98,3406400
"Mar 17, 2020",203.97,230.06,202.50,210.44,210.44,4447500
"Mar 16, 2020",201.60,219.00,199.16,199.77,199.77,2521300
"Mar 13, 2020",218.23,221.47,200.76,220.86,220.86,3813400
"Mar 12, 2020",206.59,215.36,201.50,204.06,204.06,3757900
"Mar 11, 2020",225.63,230.83,218.70,220.34,220.34,1733800
"Mar 10, 2020",226.21,231.41,216.47,230.51,230.51,2024200
"Mar 09, 2020",218.07,227.61,214.08,219.65,219.65,2034500
"Mar 06, 2020",227.65,234.48,226.61,233.50,233.50,1872600
"Mar 05, 2020",239.24,242.18,235.29,237.31,237.31,1518300
"Mar 04, 2020",232.29,246.06,230.90,245.32,245.32,1971800
"Mar 03, 2020",230.27,237.55,226.67,228.26,228.26,2092900
"Mar 02, 2020",224.43,232.98,223.14,232.29,232.29,2406400
"Feb 28, 2020",215.57,224.54,215.50,224.03,224.03,2491500
"Feb 27, 2020",228.48,231.63,218.01,223.30,223.30,1973000
"Feb 26, 2020",232.41,237.37,229.49,232.04,232.04,1578500
"Feb 25, 2020",238.18,239.99,228.50,230.00,230.00,1581100
"Feb 24, 2020",241.44,242.76,235.70,237.01,237.01,1659300
"Feb 21, 2020",247.30,247.50,243.27,246.29,246.29,1365100
"Feb 20, 2020",247.29,247.70,242.59,245.10,245.10,1524800
"Feb 19, 2020",249.85,249.85,245.24,247.78,247.78,947700
"Feb 18, 2020",244.92,246.00,241.09,245.93,245.93,1305400
"Feb 14, 2020",241.24,244.45,238.55,243.82,243.82,1354000
"Feb 13, 2020",241.41,245.39,239.73,240.09,240.09,1329200
"Feb 12, 2020",247.61,248.80,240.70,242.21,242.21,1805700
"Feb 11, 2020",245.00,249.00,242.78,247.81,247.81,2280000
"Feb 10, 2020",239.22,244.89,237.00,244.75,244.75,1273000
"Feb 07, 2020",237.66,240.34,234.10,240.06,240.06,1443100
"Feb 06, 2020",242.13,244.65,238.01,239.12,239.12,1320300
"Feb 05, 2020",241.61,244.41,240.00,240.76,240.76,1951600
"Feb 04, 2020",233.35,241.23,233.29,239.66,239.66,1485900
"Feb 03, 2020",230.76,233.78,225.01,230.51,230.51,1988000
"Jan 31, 2020",238.65,239.40,223.01,227.05,227.05,3373500
"Jan 30, 2020",230.84,231.75,228.68,230.31,230.31,1169500
"Jan 29, 2020",231.72,233.59,230.57,232.41,232.41,893500
"Jan 28, 2020",228.53,232.30,227.57,231.97,231.97,861800
"Jan 27, 2020",226.51,228.79,226.07,227.37,227.37,802000
"Jan 24, 2020",234.07,235.18,228.42,229.06,229.06,904300
"Jan 23, 2020",235.00,235.63,231.38,233.91,233.91,978000
"Jan 22, 2020",234.94,237.47,234.40,234.61,234.61,1134000
"Jan 21, 2020",235.84,237.20,233.13,233.99,233.99,1399800
"Jan 17, 2020",236.51,236.51,232.82,235.83,235.83,1599300
"Jan 16, 2020",234.27,235.78,233.27,235.50,235.50,2124000
"Jan 15, 2020",229.88,234.33,228.78,234.15,234.15,1741500
"Jan 14, 2020",226.44,229.80,225.53,229.75,229.75,1042000
"Jan 13, 2020",229.38,230.00,224.56,226.49,226.49,1031500
"Jan 10, 2020",231.69,231.69,228.07,228.95,228.95,1017300
"Jan 09, 2020",233.08,233.26,227.27,230.26,230.26,1435400
"Jan 08, 2020",225.89,232.70,224.91,231.09,231.09,1802600
"Jan 07, 2020",224.26,225.92,222.14,223.79,223.79,1027700
"Jan 06, 2020",217.73,224.35,216.91,224.03,224.03,1436600
"Jan 03, 2020",216.16,219.89,214.55,217.98,217.98,943400
"Jan 02, 2020",220.24,220.65,216.95,219.45,219.45,1334300
"Dec 31, 2019",218.60,219.81,216.70,218.95,218.95,1036400
"Dec 30, 2019",220.38,221.95,217.33,218.97,218.97,774300
"Dec 27, 2019",220.59,221.48,218.12,220.97,220.97,904600
