Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",16.69,16.79,16.23,16.47,16.47,2906900
"Apr 02, 2020",16.65,17.14,16.61,16.88,16.88,3219100
"Apr 01, 2020",16.80,16.94,16.46,16.59,16.59,3682600
"Mar 31, 2020",17.25,17.62,17.07,17.26,17.26,4238500
"Mar 30, 2020",17.22,17.40,17.04,17.35,17.35,2708300
"Mar 30, 2020",0.774 Dividend,0.774 Dividend,0.774 Dividend,0.774 Dividend,0.774 Dividend,0.774 Dividend
"Mar 27, 2020",18.14,18.64,17.85,18.22,17.45,2872700
"Mar 26, 2020",18.29,19.07,18.22,18.96,18.15,3440500
"Mar 25, 2020",17.33,18.15,16.88,17.65,16.90,4518900
"Mar 24, 2020",16.27,16.88,16.11,16.83,16.12,3176900
"Mar 23, 2020",15.47,15.62,14.71,14.85,14.22,5972500
"Mar 20, 2020",16.56,16.82,15.93,15.96,15.28,4926800
"Mar 19, 2020",15.45,16.26,15.20,16.01,15.33,3094100
"Mar 18, 2020",15.31,15.77,14.91,15.62,14.96,3601100
"Mar 17, 2020",15.58,16.28,15.23,16.23,15.54,2642900
"Mar 16, 2020",15.35,16.25,15.35,15.47,14.81,3485600
"Mar 13, 2020",17.67,17.67,16.41,17.62,16.87,3183900
"Mar 12, 2020",17.24,17.50,16.40,16.83,16.12,3997700
"Mar 11, 2020",19.46,19.58,18.65,18.83,18.03,2947200
"Mar 10, 2020",19.96,20.00,19.16,19.96,19.11,3627700
"Mar 09, 2020",19.34,19.90,18.99,19.02,18.21,3424500
"Mar 06, 2020",20.90,21.20,20.75,21.02,20.13,2586700
"Mar 05, 2020",21.41,21.64,21.18,21.36,20.45,2843000
"Mar 04, 2020",21.90,22.29,21.70,22.27,21.32,2049000
"Mar 03, 2020",22.15,22.44,21.51,21.63,20.71,3143900
"Mar 02, 2020",21.69,22.01,21.32,22.01,21.07,3205700
"Feb 28, 2020",21.37,21.79,21.17,21.64,20.72,5913100
"Feb 27, 2020",22.10,22.55,21.88,21.95,21.02,3876200
"Feb 26, 2020",22.66,22.85,22.38,22.42,21.47,2665400
"Feb 25, 2020",22.82,22.83,22.27,22.32,21.37,2770500
"Feb 24, 2020",22.71,22.97,22.66,22.80,21.83,2321400
"Feb 21, 2020",24.06,24.08,23.90,23.99,22.97,1423900
"Feb 20, 2020",24.40,24.54,24.15,24.30,23.27,1131400
"Feb 19, 2020",24.34,24.43,24.30,24.43,23.39,1306400
"Feb 18, 2020",24.17,24.24,24.10,24.16,23.13,1138700
"Feb 14, 2020",24.24,24.28,24.12,24.19,23.16,1330700
"Feb 13, 2020",24.51,24.54,24.31,24.32,23.29,1652300
"Feb 12, 2020",24.73,24.78,24.66,24.74,23.69,1508800
"Feb 11, 2020",24.56,24.75,24.51,24.64,23.59,1696400
"Feb 10, 2020",24.23,24.41,24.19,24.40,23.36,1674900
"Feb 07, 2020",24.48,24.48,24.25,24.27,23.24,1734300
"Feb 06, 2020",24.90,24.96,24.69,24.74,23.69,3137400
"Feb 05, 2020",25.11,25.30,24.96,25.16,24.09,4416100
"Feb 04, 2020",23.81,24.13,23.81,24.10,23.08,3037800
"Feb 03, 2020",23.31,23.50,23.24,23.25,22.26,1591200
"Jan 31, 2020",23.45,23.45,23.08,23.17,22.19,1859500
"Jan 30, 2020",23.40,23.62,23.30,23.60,22.60,1567700
"Jan 29, 2020",23.56,23.69,23.46,23.54,22.54,1802700
"Jan 28, 2020",23.05,23.37,23.04,23.34,22.35,2756800
"Jan 27, 2020",23.36,23.47,23.22,23.24,22.25,1936500
"Jan 24, 2020",24.12,24.14,23.79,23.91,22.89,2522000
