Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",125.00,131.29,122.50,124.52,124.52,37249700
"Apr 02, 2020",128.51,136.68,120.02,123.27,123.27,42372400
"Apr 01, 2020",138.91,144.38,130.00,130.70,130.70,41899700
"Mar 31, 2020",155.00,160.64,149.00,149.14,149.14,29954000
"Mar 30, 2020",153.81,153.81,140.68,152.28,152.28,51052500
"Mar 27, 2020",172.00,172.92,155.54,162.00,162.00,47880200
"Mar 26, 2020",172.29,186.48,167.18,180.55,180.55,63267300
"Mar 25, 2020",154.90,174.77,141.00,158.73,158.73,77826000
"Mar 24, 2020",123.68,127.96,116.13,127.68,127.68,43683100
"Mar 23, 2020",98.75,114.49,93.56,105.62,105.62,46140100
"Mar 20, 2020",99.85,107.00,94.28,95.01,95.01,41370700
"Mar 19, 2020",98.80,103.57,90.35,97.71,97.71,40210600
"Mar 18, 2020",99.86,107.85,89.00,101.89,101.89,61943200
"Mar 17, 2020",132.51,134.96,101.25,124.14,124.14,54492200
"Mar 16, 2020",149.42,151.00,128.76,129.61,129.61,26844400
"Mar 13, 2020",174.97,178.28,161.38,170.20,170.20,21168500
"Mar 12, 2020",160.53,189.85,154.81,154.84,154.84,31734400
"Mar 11, 2020",222.99,226.99,187.00,189.08,189.08,28503500
"Mar 10, 2020",237.00,237.83,215.00,231.01,231.01,13059600
"Mar 09, 2020",238.00,241.48,224.37,227.17,227.17,11585500
"Mar 06, 2020",253.70,264.29,249.80,262.33,262.33,12861800
"Mar 05, 2020",275.79,276.31,259.65,260.37,260.37,14669100
"Mar 04, 2020",284.55,285.91,277.01,283.12,283.12,6986100
"Mar 03, 2020",292.00,297.44,278.08,280.62,280.62,7499300
"Mar 02, 2020",279.54,291.71,274.29,289.27,289.27,11012300
"Feb 28, 2020",278.07,282.86,269.60,275.11,275.11,15375100
"Feb 27, 2020",300.37,301.00,284.29,287.76,287.76,10982400
"Feb 26, 2020",307.00,315.22,304.06,305.59,305.59,6987300
"Feb 25, 2020",318.26,320.64,303.63,304.14,304.14,8052500
"Feb 24, 2020",320.00,321.74,316.33,317.90,317.90,6073200
"Feb 21, 2020",334.05,334.66,330.23,330.38,330.38,3709900
"Feb 20, 2020",338.29,341.24,335.39,336.28,336.28,2807500
"Feb 19, 2020",338.12,341.47,335.86,338.30,338.30,4935700
"Feb 18, 2020",338.77,339.99,336.10,338.88,338.88,2904600
