Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",115.50,116.84,112.12,114.67,114.67,5036400
"Apr 02, 2020",111.23,118.52,111.13,116.74,116.74,8106500
"Apr 01, 2020",112.09,116.75,109.50,111.35,111.35,6847000
"Mar 31, 2020",110.73,116.91,110.26,116.04,116.04,8970800
"Mar 30, 2020",106.33,112.84,104.93,111.71,111.71,5725600
"Mar 27, 2020",104.43,109.64,103.40,105.44,105.44,5746500
"Mar 26, 2020",104.85,110.97,102.89,110.50,110.50,6059600
"Mar 25, 2020",101.17,108.50,98.50,104.67,104.67,6578100
"Mar 24, 2020",96.06,102.03,95.17,101.34,101.34,7417100
"Mar 23, 2020",93.90,96.24,90.64,91.85,91.85,6737500
"Mar 20, 2020",103.12,103.99,94.16,95.50,95.50,7650300
"Mar 19, 2020",99.23,104.40,97.25,103.01,103.01,6870800
"Mar 18, 2020",93.99,102.95,93.11,100.12,100.12,6995100
"Mar 17, 2020",96.01,100.44,92.97,100.20,100.20,7206100
"Mar 16, 2020",89.00,105.85,88.50,93.41,93.41,9899000
"Mar 13, 2020",98.39,99.91,90.14,99.64,99.64,8718600
"Mar 12, 2020",93.50,94.28,87.50,92.26,92.26,10285900
"Mar 11, 2020",103.80,104.75,100.07,100.69,100.69,6543600
"Mar 10, 2020",108.64,109.06,99.11,106.49,106.49,8293200
"Mar 09, 2020",112.99,112.99,104.03,104.07,104.07,8636200
"Mar 06, 2020",119.00,121.85,118.83,121.41,121.41,5767900
"Mar 05, 2020",123.15,124.85,121.24,121.97,121.97,6015300
"Mar 04, 2020",126.07,127.44,124.31,127.40,127.40,5074700
"Mar 03, 2020",127.00,129.56,123.78,124.38,124.38,6358100
"Mar 02, 2020",125.05,127.88,123.01,127.60,127.60,6100200
"Feb 28, 2020",119.57,124.24,119.03,124.24,124.24,8301900
"Feb 27, 2020",125.60,128.53,123.22,123.27,123.27,7369000
"Feb 26, 2020",129.65,130.99,127.55,128.25,128.25,3902500
"Feb 25, 2020",132.97,133.14,128.25,129.00,129.00,4840200
"Feb 24, 2020",132.53,133.86,132.05,132.17,132.17,4964800
"Feb 21, 2020",136.50,137.44,135.11,137.21,137.21,2855600
"Feb 20, 2020",136.26,138.89,136.20,136.93,136.93,2678200
"Feb 19, 2020",136.79,137.21,136.06,136.86,136.86,2134900
"Feb 18, 2020",137.46,138.57,135.08,136.58,136.58,3869700
"Feb 14, 2020",139.49,139.62,136.89,137.99,137.99,2813400
"Feb 13, 2020",140.00,140.50,138.43,139.72,139.72,3318800
"Feb 12, 2020",138.40,139.94,138.09,139.59,139.59,3222000
"Feb 11, 2020",135.49,137.23,135.06,136.19,136.19,2381900
"Feb 10, 2020",133.04,134.33,132.78,134.32,134.32,2331600
"Feb 07, 2020",136.04,136.49,133.00,133.37,133.37,3812300
"Feb 06, 2020",138.20,138.33,136.13,137.25,137.25,2283800
"Feb 05, 2020",135.55,137.47,135.44,137.44,137.44,4448100
"Feb 04, 2020",133.00,134.78,132.68,133.51,133.51,3501600
"Feb 03, 2020",131.44,133.16,129.30,129.77,129.77,4385300
"Jan 31, 2020",133.82,134.99,130.54,131.35,131.35,6785700
"Jan 30, 2020",134.76,135.97,132.91,135.37,135.37,3862600
"Jan 29, 2020",137.59,137.76,135.67,135.78,135.78,2620000
"Jan 28, 2020",137.02,137.60,135.62,136.74,136.74,2763800
"Jan 27, 2020",136.90,137.81,135.57,135.73,135.73,2920500
"Jan 24, 2020",142.55,142.70,139.26,140.38,140.38,2526200
