Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",76.51,77.10,74.70,76.08,76.08,644500
"Apr 02, 2020",74.14,76.96,73.18,76.65,76.65,1158400
"Apr 01, 2020",75.34,76.82,74.02,74.84,74.84,1053400
"Mar 31, 2020",76.10,78.02,75.33,77.63,77.63,1374900
"Mar 30, 2020",74.07,76.60,72.77,76.44,76.44,1376700
"Mar 27, 2020",75.35,76.24,73.30,73.93,73.93,1240400
"Mar 26, 2020",75.28,77.69,73.64,77.51,77.51,1599700
"Mar 25, 2020",75.19,79.42,72.73,74.12,74.12,2080000
"Mar 24, 2020",71.34,75.33,70.82,75.23,75.23,1702000
"Mar 23, 2020",67.50,71.87,67.50,67.75,67.75,1672400
"Mar 20, 2020",73.39,76.69,68.02,68.64,68.64,1709100
"Mar 19, 2020",69.45,73.10,67.96,72.49,72.49,1599400
"Mar 18, 2020",67.09,70.54,65.13,69.87,69.87,1826000
"Mar 17, 2020",69.23,73.03,68.45,71.43,71.43,1702100
"Mar 16, 2020",68.73,72.64,66.30,68.43,68.43,1531100
"Mar 13, 2020",73.31,77.26,70.73,77.25,77.25,1662500
"Mar 12, 2020",72.47,72.57,68.25,70.25,70.25,2462600
"Mar 11, 2020",77.58,78.41,75.97,77.36,77.36,1737100
"Mar 10, 2020",78.32,80.01,75.84,80.01,80.01,1659500
"Mar 09, 2020",80.34,81.27,75.51,75.71,75.71,2139700
"Mar 09, 2020",0.429 Dividend,0.429 Dividend,0.429 Dividend,0.429 Dividend,0.429 Dividend,0.429 Dividend
"Mar 06, 2020",83.64,86.36,83.00,86.13,85.70,1655700
"Mar 05, 2020",85.79,86.81,84.84,85.34,84.91,833700
"Mar 04, 2020",86.48,88.08,85.57,88.02,87.58,1006100
"Mar 03, 2020",86.49,87.30,84.86,85.18,84.76,1460000
"Mar 02, 2020",85.00,86.36,83.40,86.29,85.86,1430600
"Feb 28, 2020",84.14,85.56,82.82,84.91,84.49,1674100
"Feb 27, 2020",86.60,87.79,85.25,85.56,85.13,1610800
"Feb 26, 2020",89.03,90.33,88.43,88.46,88.02,775000
"Feb 25, 2020",92.36,92.84,88.90,89.02,88.58,977500
"Feb 24, 2020",90.50,92.65,90.50,91.88,91.42,1201000
"Feb 21, 2020",93.56,94.05,92.97,93.61,93.14,704000
"Feb 20, 2020",92.83,93.66,92.44,93.64,93.17,783600
"Feb 19, 2020",93.17,93.68,92.66,93.12,92.66,673500
"Feb 18, 2020",93.62,93.93,92.38,92.71,92.25,832100
"Feb 14, 2020",93.48,93.98,93.17,93.93,93.46,643000
"Feb 13, 2020",94.27,94.35,93.45,93.88,93.41,556700
"Feb 12, 2020",94.24,94.84,94.04,94.70,94.23,563000
"Feb 11, 2020",94.84,95.30,94.21,94.32,93.85,885200
