Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",56.61,57.66,55.90,56.77,56.77,5271800
"Apr 02, 2020",54.17,57.12,53.63,56.86,56.86,5459100
"Apr 01, 2020",54.10,55.23,53.25,54.85,54.85,4703700
"Mar 31, 2020",57.72,58.15,56.32,57.30,57.30,5590800
"Mar 30, 2020",56.11,58.26,55.74,58.02,58.02,5029300
"Mar 27, 2020",56.27,57.82,55.03,56.29,56.29,5588500
"Mar 26, 2020",57.12,59.13,55.83,58.57,58.57,6366200
"Mar 25, 2020",55.11,60.57,55.01,56.53,56.53,7658200
"Mar 24, 2020",50.98,55.69,49.51,55.50,55.50,7612000
"Mar 23, 2020",49.43,50.79,46.81,47.66,47.66,7631200
"Mar 20, 2020",54.51,55.18,49.60,49.87,49.87,9861800
"Mar 19, 2020",50.53,56.20,48.79,55.01,55.01,6092500
"Mar 18, 2020",50.67,52.48,48.06,50.97,50.97,7879000
"Mar 17, 2020",49.51,54.93,48.17,54.26,54.26,8822100
"Mar 16, 2020",49.02,53.36,47.56,48.93,48.93,11278600
"Mar 13, 2020",56.50,58.79,54.01,57.94,57.94,12272900
"Mar 12, 2020",53.55,56.40,51.88,53.41,53.41,12256700
"Mar 11, 2020",60.89,61.83,58.06,58.31,58.31,10872500
"Mar 10, 2020",62.32,63.16,59.35,62.88,62.88,8232800
"Mar 09, 2020",62.95,63.73,59.59,60.39,60.39,8465700
"Mar 06, 2020",65.94,68.83,65.72,68.25,68.25,5189500
"Mar 05, 2020",69.93,70.58,68.63,68.96,68.96,4894700
"Mar 04, 2020",69.87,72.24,69.38,72.00,72.00,5576300
"Mar 03, 2020",70.23,73.04,68.55,68.91,68.91,8122400
"Mar 02, 2020",70.32,71.41,68.98,70.75,70.75,10651300
"Feb 28, 2020",70.08,70.96,68.42,70.45,70.45,11539000
"Feb 27, 2020",73.66,75.44,72.18,72.27,72.27,8697200
"Feb 27, 2020",0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend
"Feb 26, 2020",76.13,76.74,74.73,75.31,75.05,6862500
"Feb 25, 2020",78.13,78.64,75.40,75.57,75.31,8901100
"Feb 24, 2020",77.97,78.59,77.60,78.06,77.79,7515900
"Feb 21, 2020",79.89,80.44,79.46,79.56,79.29,3853400
"Feb 20, 2020",80.08,80.62,79.60,80.45,80.17,2241900
"Feb 19, 2020",79.80,80.25,79.60,80.17,79.89,2251800
"Feb 18, 2020",79.36,80.09,78.98,79.51,79.24,2735000
"Feb 14, 2020",79.67,79.95,79.14,79.59,79.32,2341700
"Feb 13, 2020",79.30,79.97,78.90,79.84,79.56,2443800
"Feb 12, 2020",79.09,79.50,78.46,79.49,79.22,2761600
"Feb 11, 2020",78.97,79.44,78.41,78.52,78.25,2978400
"Feb 10, 2020",77.39,78.91,77.31,78.88,78.61,3284600
"Feb 07, 2020",78.92,79.19,77.67,77.87,77.60,3097700
"Feb 06, 2020",78.52,78.65,77.79,78.32,78.05,2262100
"Feb 05, 2020",78.81,78.81,77.90,78.17,77.90,3599000
"Feb 04, 2020",78.25,78.55,77.55,77.77,77.50,2937800
"Feb 03, 2020",77.18,77.59,76.67,77.10,76.83,3439700
"Jan 31, 2020",77.28,77.37,75.88,76.34,76.08,4649000
"Jan 30, 2020",76.41,77.85,76.35,77.78,77.51,3225800
"Jan 29, 2020",76.73,78.40,76.50,77.53,77.26,4943700
"Jan 28, 2020",75.72,76.63,75.30,76.22,75.96,3653400
"Jan 27, 2020",75.00,75.83,74.61,75.17,74.91,3677900
"Jan 24, 2020",76.68,77.04,76.04,76.70,76.44,3604100
"Jan 23, 2020",74.54,76.72,73.94,76.64,76.38,4368600
"Jan 22, 2020",75.12,75.19,74.22,74.61,74.35,4259900
"Jan 21, 2020",75.72,76.06,74.65,74.83,74.57,4927100
"Jan 17, 2020",75.50,77.19,75.19,76.40,76.14,10446600
"Jan 16, 2020",75.65,76.85,75.65,76.74,76.48,7035500
"Jan 15, 2020",74.51,75.58,74.38,74.99,74.73,4785200
"Jan 14, 2020",74.48,75.32,74.21,74.66,74.40,3083200
"Jan 13, 2020",73.37,74.77,73.15,74.69,74.43,3552100
"Jan 10, 2020",73.72,73.86,73.27,73.36,73.11,2036500
"Jan 09, 2020",73.40,73.75,73.22,73.74,73.49,2154300
"Jan 08, 2020",73.47,73.83,73.07,73.38,73.13,2870900
"Jan 07, 2020",72.70,73.53,72.16,73.00,72.75,4786900
"Jan 06, 2020",72.18,72.75,71.74,72.51,72.26,4878800
"Jan 03, 2020",72.00,72.94,71.63,72.89,72.64,3326300
"Jan 02, 2020",72.82,73.19,72.25,73.19,72.94,2830100
"Dec 31, 2019",72.18,72.78,72.09,72.36,72.11,2079500
"Dec 30, 2019",72.83,72.99,72.09,72.34,72.09,1892200
"Dec 27, 2019",72.94,73.11,72.61,72.85,72.60,2050900
"Dec 26, 2019",73.00,73.23,72.39,72.87,72.62,1678000
"Dec 24, 2019",72.86,73.10,72.77,72.98,72.73,862300
"Dec 23, 2019",72.90,73.22,72.49,72.72,72.47,3807200
"Dec 20, 2019",72.58,73.24,72.14,73.18,72.93,11847200
"Dec 19, 2019",72.87,73.19,72.31,72.59,72.34,3143800
"Dec 18, 2019",72.30,73.58,72.11,72.94,72.69,4703600
"Dec 17, 2019",72.71,73.48,71.71,72.10,71.85,7769200
