Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",138.48,139.35,132.13,135.52,135.52,2053100
"Apr 02, 2020",133.31,139.91,132.86,139.38,139.38,2863800
"Apr 01, 2020",132.18,134.73,129.68,133.67,133.67,2040600
"Mar 31, 2020",141.99,145.00,137.25,138.16,138.16,2240100
"Mar 30, 2020",136.72,141.70,134.56,141.23,141.23,2251100
"Mar 30, 2020",0.76 Dividend,0.76 Dividend,0.76 Dividend,0.76 Dividend,0.76 Dividend,0.76 Dividend
"Mar 27, 2020",135.00,139.17,132.16,135.11,134.35,2302600
"Mar 26, 2020",129.35,140.15,127.14,139.09,138.31,2227500
"Mar 25, 2020",125.88,136.73,121.84,128.49,127.77,3962200
"Mar 24, 2020",117.37,126.66,112.70,126.00,125.29,3488000
"Mar 23, 2020",110.27,115.57,106.52,111.15,110.52,3130900
"Mar 20, 2020",119.66,120.61,110.34,111.63,111.00,4155200
"Mar 19, 2020",112.90,120.74,106.25,119.66,118.99,2455700
"Mar 18, 2020",117.82,120.55,106.14,114.21,113.57,2635000
"Mar 17, 2020",122.80,129.46,119.07,126.71,126.00,2909600
"Mar 16, 2020",123.90,132.87,119.84,120.05,119.37,2617700
"Mar 13, 2020",137.93,139.29,130.53,138.96,138.18,2525500
"Mar 12, 2020",135.00,136.54,128.09,130.39,129.66,3288700
"Mar 11, 2020",150.85,151.16,143.85,145.88,145.06,2397300
"Mar 10, 2020",155.62,156.33,148.01,154.99,154.12,2797700
"Mar 09, 2020",152.01,158.25,147.13,150.00,149.16,2886400
"Mar 06, 2020",154.20,164.94,153.67,164.04,163.12,2973400
"Mar 05, 2020",158.83,162.19,157.92,159.07,158.18,1878400
"Mar 04, 2020",161.24,163.29,160.52,163.07,162.15,2513800
"Mar 03, 2020",164.34,167.87,157.00,157.78,156.89,2443100
"Mar 02, 2020",157.92,164.00,156.55,163.92,163.00,2532100
"Feb 28, 2020",155.29,158.92,152.66,156.48,155.60,3053900
"Feb 27, 2020",164.40,166.55,159.96,159.99,159.09,2957500
"Feb 26, 2020",168.28,169.38,165.61,166.92,165.98,2545200
"Feb 25, 2020",172.18,172.95,165.80,166.65,165.71,2358500
"Feb 24, 2020",172.51,176.36,171.50,171.86,170.89,2292900
"Feb 21, 2020",177.91,181.99,176.00,177.43,176.43,5917100
"Feb 20, 2020",164.76,166.75,164.50,165.83,164.90,2048500
"Feb 19, 2020",166.50,167.24,164.85,164.93,164.00,1244600
"Feb 18, 2020",167.40,167.44,164.21,166.30,165.36,1177400
"Feb 14, 2020",170.83,172.31,167.18,168.07,167.12,1152400
"Feb 13, 2020",170.86,171.91,169.86,170.76,169.80,831100
"Feb 12, 2020",172.00,173.20,170.21,171.83,170.86,1008200
"Feb 11, 2020",169.10,171.06,168.60,170.26,169.30,1315700
