Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",127.24,128.59,124.70,125.68,125.68,1206700
"Apr 02, 2020",125.90,130.26,124.90,127.92,127.92,1426300
"Apr 01, 2020",126.71,129.00,125.19,127.40,127.40,1439100
"Mar 31, 2020",132.50,134.57,131.13,132.31,132.31,1701200
"Mar 30, 2020",130.00,134.46,127.08,133.60,133.60,1880700
"Mar 27, 2020",129.48,133.59,128.00,130.07,130.07,2431300
"Mar 26, 2020",124.47,134.88,124.14,133.16,133.16,2842400
"Mar 25, 2020",116.50,125.71,114.52,122.00,122.00,3310200
"Mar 24, 2020",112.21,116.03,110.58,114.21,114.21,3280800
"Mar 23, 2020",112.16,113.00,100.55,106.60,106.60,3724400
"Mar 20, 2020",118.19,121.84,113.28,113.99,113.99,3390300
"Mar 19, 2020",120.01,120.01,110.02,118.03,118.03,3248100
"Mar 18, 2020",123.39,126.32,115.71,121.11,121.11,2780000
"Mar 17, 2020",128.17,131.94,125.40,131.59,131.59,3327300
"Mar 16, 2020",126.26,137.10,126.26,126.70,126.70,3951400
"Mar 13, 2020",139.14,141.57,131.62,139.64,139.64,4187600
"Mar 12, 2020",137.64,139.46,128.53,132.23,132.23,5116200
"Mar 11, 2020",150.63,154.30,147.14,148.45,148.45,2753300
"Mar 10, 2020",155.01,155.64,149.61,155.30,155.30,2606800
"Mar 09, 2020",152.04,157.12,146.59,150.02,150.02,3241700
"Mar 06, 2020",159.35,164.19,157.11,163.03,163.03,1879300
"Mar 05, 2020",164.66,167.93,161.64,163.36,163.36,2951400
"Mar 04, 2020",163.44,169.72,161.21,168.28,168.28,2694600
"Mar 03, 2020",164.89,170.19,160.73,161.05,161.05,2418200
"Mar 02, 2020",160.56,165.23,157.60,165.03,165.03,2233200
"Feb 28, 2020",160.58,163.69,155.47,159.69,159.69,3829100
"Feb 27, 2020",169.18,172.69,165.53,166.14,166.14,2809100
"Feb 26, 2020",175.25,176.84,171.22,171.55,171.55,2737400
"Feb 25, 2020",184.95,185.64,173.27,173.92,173.92,2780100
"Feb 24, 2020",183.11,185.65,182.08,184.61,184.61,1857900
"Feb 21, 2020",184.91,187.86,183.61,187.60,187.60,1416900
"Feb 20, 2020",186.07,187.35,184.43,185.95,185.95,1247900
"Feb 19, 2020",188.23,188.69,186.33,186.55,186.55,1191200
"Feb 18, 2020",187.16,188.73,186.69,188.14,188.14,1139900
"Feb 14, 2020",189.36,189.40,186.62,188.06,188.06,1351800
"Feb 13, 2020",187.82,190.08,187.58,189.43,189.43,1546000
"Feb 12, 2020",187.36,188.75,186.44,188.75,188.75,1447900
"Feb 11, 2020",186.93,188.38,185.38,186.94,186.94,1599100
"Feb 10, 2020",186.51,188.47,185.34,186.25,186.25,1239900
"Feb 07, 2020",185.78,188.30,185.59,186.74,186.74,1715400
"Feb 06, 2020",185.65,187.31,185.20,186.13,186.13,1319600
"Feb 05, 2020",181.01,184.46,180.08,183.97,183.97,1273300
"Feb 04, 2020",179.24,180.66,179.00,179.53,179.53,1882500
"Feb 03, 2020",177.16,178.62,175.19,176.62,176.62,1605300
"Jan 31, 2020",180.24,180.91,174.79,175.44,175.44,2365700
"Jan 30, 2020",182.30,183.49,179.72,181.23,181.23,1842500
"Jan 29, 2020",183.92,184.42,179.61,183.47,183.47,2033200
"Jan 28, 2020",183.08,184.68,180.76,183.63,183.63,1533900
"Jan 27, 2020",182.36,183.73,181.59,182.57,182.57,1132300
"Jan 24, 2020",185.23,185.81,184.33,185.07,185.07,925500
