Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",7.03,7.05,6.58,6.73,6.73,97730200
"Apr 02, 2020",7.02,7.39,6.77,6.90,6.90,97498400
"Apr 01, 2020",7.52,7.55,7.00,7.04,7.04,99556900
"Mar 31, 2020",7.87,8.18,7.82,7.94,7.94,121149900
"Mar 30, 2020",7.54,7.94,7.35,7.89,7.89,86850200
"Mar 27, 2020",7.68,7.87,7.54,7.62,7.62,93299000
"Mar 26, 2020",7.63,8.30,7.51,8.12,8.12,123180900
"Mar 25, 2020",7.45,8.00,6.96,7.56,7.56,137886500
"Mar 24, 2020",6.66,7.06,6.47,7.01,7.01,119493800
"Mar 23, 2020",6.45,6.63,6.03,6.11,6.11,105631100
"Mar 20, 2020",7.01,7.05,6.45,6.52,6.52,126128700
"Mar 19, 2020",6.40,6.91,6.15,6.48,6.48,98993700
"Mar 18, 2020",6.51,6.80,5.90,6.60,6.60,138927000
"Mar 17, 2020",6.91,7.33,6.30,7.08,7.08,120226000
"Mar 16, 2020",6.99,7.15,6.65,6.66,6.66,115910700
"Mar 13, 2020",7.80,8.04,7.19,7.85,7.85,110144600
"Mar 12, 2020",7.23,7.78,6.83,7.23,7.23,157416100
"Mar 11, 2020",8.62,8.66,8.16,8.21,8.21,103402500
"Mar 10, 2020",8.78,8.85,8.16,8.85,8.85,98938900
"Mar 09, 2020",8.33,8.66,8.11,8.21,8.21,122400700
"Mar 06, 2020",9.74,9.76,9.18,9.40,9.40,148463500
"Mar 06, 2020",0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend
"Mar 05, 2020",10.60,10.73,9.95,10.08,10.07,108087200
"Mar 04, 2020",11.06,11.12,10.70,10.95,10.94,83063100
"Mar 03, 2020",11.25,11.38,10.67,10.88,10.87,109249200
"Mar 02, 2020",11.21,11.34,10.76,11.21,11.20,124802200
"Feb 28, 2020",9.95,11.19,9.86,10.88,10.87,151373200
"Feb 27, 2020",10.62,10.95,10.31,10.39,10.38,94250500
"Feb 26, 2020",11.37,11.54,10.80,10.95,10.94,93118000
"Feb 25, 2020",11.97,12.00,11.18,11.32,11.31,81087400
"Feb 24, 2020",11.69,12.06,11.60,11.86,11.85,70978000
"Feb 21, 2020",12.45,12.46,12.22,12.25,12.24,42921200
