Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",129.00,131.20,124.55,126.30,126.30,2220800
"Apr 02, 2020",131.94,135.56,127.30,130.69,130.69,2833500
"Apr 01, 2020",135.98,138.00,130.00,133.11,133.11,2490700
"Mar 31, 2020",148.66,150.03,142.72,144.23,144.23,3551000
"Mar 30, 2020",144.69,152.42,142.29,151.23,151.23,2651700
"Mar 27, 2020",145.02,150.48,143.15,144.96,144.96,2576800
"Mar 26, 2020",149.51,155.85,145.07,152.87,152.87,3185200
"Mar 25, 2020",141.90,154.17,139.56,146.70,146.70,3411000
"Mar 24, 2020",121.91,142.80,121.48,141.23,141.23,4652600
"Mar 23, 2020",116.68,118.69,105.54,116.07,116.07,5084600
"Mar 20, 2020",132.87,135.31,117.38,119.00,119.00,5212000
"Mar 19, 2020",132.97,137.09,122.67,130.52,130.52,5356300
"Mar 18, 2020",135.96,139.55,116.24,134.56,134.56,4864700
"Mar 17, 2020",141.97,148.35,134.27,147.81,147.81,5254800
"Mar 16, 2020",150.01,155.07,136.73,139.83,139.83,5461600
"Mar 13, 2020",165.56,173.53,156.01,172.99,172.99,2972000
"Mar 12, 2020",160.00,170.00,151.73,157.11,157.11,3537500
"Mar 12, 2020",0.195 Dividend,0.195 Dividend,0.195 Dividend,0.195 Dividend,0.195 Dividend,0.195 Dividend
"Mar 11, 2020",176.53,179.00,168.77,172.15,171.96,3240100
"Mar 10, 2020",170.31,183.65,165.50,181.77,181.56,4335500
"Mar 09, 2020",166.75,170.69,161.35,164.75,164.56,3144700
"Mar 06, 2020",179.43,181.06,173.84,179.56,179.36,2589100
"Mar 05, 2020",189.34,190.51,182.85,185.73,185.52,2415700
"Mar 04, 2020",190.19,194.22,188.05,193.92,193.70,1490100
"Mar 03, 2020",192.40,195.31,184.82,187.58,187.37,2378800
"Mar 02, 2020",185.05,192.42,183.15,192.39,192.17,3027200
"Feb 28, 2020",176.75,184.04,175.00,183.97,183.76,4061400
"Feb 27, 2020",185.38,189.24,182.36,183.75,183.54,3416400
"Feb 26, 2020",190.91,196.43,188.77,189.65,189.44,2089600
"Feb 25, 2020",201.13,202.24,190.82,191.20,190.98,2814100
"Feb 24, 2020",197.61,201.55,195.53,200.42,200.19,2083700
