Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",132.50,132.84,126.53,127.45,127.45,4031500
"Apr 02, 2020",128.60,133.15,127.14,132.81,132.81,3504200
"Apr 01, 2020",128.28,131.28,125.50,129.71,129.71,4246100
"Mar 31, 2020",131.84,136.11,130.00,133.79,133.79,5296000
"Mar 30, 2020",130.75,133.76,130.13,131.75,131.75,5035700
"Mar 27, 2020",131.42,135.21,128.14,131.27,131.27,3924900
"Mar 26, 2020",131.83,139.39,131.16,137.40,137.40,5594400
"Mar 25, 2020",120.29,135.34,119.80,129.65,129.65,7159100
"Mar 24, 2020",110.00,119.53,109.25,119.51,119.51,5799100
"Mar 23, 2020",107.49,111.08,101.08,103.86,103.86,8200400
"Mar 20, 2020",120.89,121.16,110.78,112.50,112.50,6801200
"Mar 19, 2020",117.75,122.42,112.02,118.96,118.96,6814100
"Mar 18, 2020",121.92,124.13,101.10,119.61,119.61,7633900
"Mar 17, 2020",136.23,141.97,130.19,131.80,131.80,8524800
"Mar 16, 2020",128.00,143.23,124.01,135.27,135.27,5891000
"Mar 13, 2020",142.15,149.68,138.02,149.41,149.41,6324800
"Mar 12, 2020",143.39,145.48,134.44,134.85,134.85,7170500
"Mar 11, 2020",156.83,157.48,151.56,153.39,153.39,4826900
"Mar 10, 2020",155.85,161.94,153.35,161.69,161.69,5477600
"Mar 09, 2020",152.50,157.26,149.74,152.86,152.86,5849000
"Mar 06, 2020",158.81,165.12,157.58,164.03,164.03,5021600
"Mar 05, 2020",166.50,167.91,163.22,164.92,164.92,5394700
"Mar 04, 2020",164.90,171.93,164.26,171.19,171.19,4532500
"Mar 03, 2020",164.28,168.18,160.56,161.89,161.89,6108500
"Mar 02, 2020",163.09,165.48,157.59,164.24,164.24,6744900
"Feb 28, 2020",153.75,162.17,150.62,162.17,162.17,9558100
"Feb 27, 2020",163.01,166.83,159.52,159.55,159.55,3951300
"Feb 27, 2020",0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend
"Feb 26, 2020",168.59,172.08,166.77,167.18,166.28,3411700
"Feb 25, 2020",175.64,176.55,166.83,167.80,166.90,4092200
"Feb 24, 2020",174.44,177.37,173.46,175.27,174.33,3204300
"Feb 21, 2020",179.61,180.99,178.75,179.88,178.91,1940400
"Feb 20, 2020",180.93,182.21,179.01,180.70,179.73,2336800
"Feb 19, 2020",179.83,181.68,179.50,180.86,179.89,2464500
"Feb 18, 2020",180.10,180.49,178.95,179.42,178.45,1818600
"Feb 14, 2020",180.51,181.86,179.98,180.81,179.84,2489000
"Feb 13, 2020",180.33,180.95,178.69,180.12,179.15,1985700
"Feb 12, 2020",179.48,181.64,179.05,181.18,180.20,2950800
"Feb 11, 2020",178.25,179.94,177.20,179.15,178.19,2948500
"Feb 10, 2020",174.92,177.12,174.11,176.95,176.00,2399700
"Feb 07, 2020",175.85,176.72,174.70,175.28,174.34,3254500
"Feb 06, 2020",178.00,178.00,176.16,176.35,175.40,2427500
"Feb 05, 2020",176.91,177.63,175.40,176.90,175.95,2818100
"Feb 04, 2020",174.08,176.06,174.00,175.21,174.27,2992500
"Feb 03, 2020",174.46,175.62,170.67,171.32,170.40,3542700
"Jan 31, 2020",177.91,177.91,171.34,173.22,172.29,5500000
"Jan 30, 2020",173.80,178.77,173.80,178.34,177.38,3076100
"Jan 29, 2020",177.00,177.74,175.63,175.67,174.72,2199000
"Jan 28, 2020",174.12,176.75,173.24,175.46,174.52,2178400
"Jan 27, 2020",174.27,175.34,173.47,173.54,172.61,2491500
"Jan 24, 2020",179.92,180.26,176.49,177.13,176.18,2737000
"Jan 23, 2020",179.81,180.54,179.03,179.58,178.61,2434000
"Jan 22, 2020",181.56,181.88,179.81,180.05,179.08,1881700
"Jan 21, 2020",183.04,183.30,180.47,180.93,179.96,2188600
"Jan 17, 2020",182.86,184.06,182.53,183.23,182.24,2608000
"Jan 16, 2020",181.50,182.49,180.79,182.26,181.28,2215400
"Jan 15, 2020",181.29,182.44,179.85,180.73,179.76,2600800
"Jan 14, 2020",180.49,181.22,179.51,180.45,179.48,2191200
"Jan 13, 2020",179.25,181.34,178.69,181.27,180.29,2261900
"Jan 10, 2020",179.90,179.90,178.14,178.68,177.72,1671700
"Jan 09, 2020",178.70,179.43,178.06,179.07,178.11,1789500
"Jan 08, 2020",177.67,179.10,176.73,177.76,176.80,2545500
"Jan 07, 2020",177.37,178.07,175.59,177.61,176.65,3002800
"Jan 06, 2020",177.84,178.38,176.93,177.51,176.55,3277900
"Jan 03, 2020",178.34,179.83,177.41,178.86,177.90,2805200
"Jan 02, 2020",177.50,180.80,177.14,180.79,179.82,2857400
"Dec 31, 2019",176.46,177.08,175.46,177.00,176.05,1728900
"Dec 30, 2019",176.56,177.00,175.76,176.42,175.47,1670100
"Dec 27, 2019",177.08,177.24,176.29,176.48,175.53,1303900
"Dec 26, 2019",176.56,176.90,175.72,176.88,175.93,1269700
"Dec 24, 2019",176.44,176.85,175.73,176.31,175.36,625500
"Dec 23, 2019",177.38,177.38,175.81,176.43,175.48,2577700
"Dec 20, 2019",177.15,177.69,176.15,176.41,175.46,4351900
"Dec 19, 2019",175.01,176.62,174.49,176.50,175.55,2680600
"Dec 18, 2019",176.56,177.03,174.41,174.64,173.70,3614700
"Dec 17, 2019",176.25,177.24,175.81,176.70,175.75,3039800
"Dec 16, 2019",177.27,178.00,176.14,176.40,175.45,3207600
"Dec 13, 2019",177.39,178.79,176.83,176.98,176.03,2050200
"Dec 12, 2019",176.34,178.16,175.20,177.39,176.44,2277600
