Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",141.85,144.00,137.64,140.41,140.41,1503500
"Apr 02, 2020",136.92,142.48,135.85,141.60,141.60,1428800
"Apr 01, 2020",135.38,137.83,133.23,137.27,137.27,1962800
"Mar 31, 2020",140.05,145.43,138.85,142.12,142.12,3034500
"Mar 30, 2020",141.81,145.36,138.40,142.35,142.35,2262800
"Mar 30, 2020",1.07 Dividend,1.07 Dividend,1.07 Dividend,1.07 Dividend,1.07 Dividend,1.07 Dividend
"Mar 27, 2020",142.72,148.52,139.15,143.30,142.23,1818300
"Mar 26, 2020",147.58,151.78,142.88,150.49,149.37,2097900
"Mar 25, 2020",138.05,149.90,137.60,143.53,142.46,3272400
"Mar 24, 2020",122.57,138.82,122.28,137.70,136.67,3077700
"Mar 23, 2020",122.12,125.38,115.94,118.09,117.21,2777000
"Mar 20, 2020",138.87,138.87,123.89,125.78,124.84,2794200
"Mar 19, 2020",140.17,140.69,131.38,136.33,135.31,2662700
"Mar 18, 2020",149.15,153.21,134.58,141.76,140.70,3671500
"Mar 17, 2020",152.06,159.96,149.69,159.50,158.31,2965600
"Mar 16, 2020",139.27,165.30,139.27,149.22,148.11,3752300
"Mar 13, 2020",147.02,156.45,143.30,156.45,155.28,2994200
"Mar 12, 2020",148.00,151.78,139.49,140.19,139.14,3807900
"Mar 11, 2020",159.18,162.63,156.58,158.43,157.25,2290200
"Mar 10, 2020",160.04,165.08,154.86,164.62,163.39,1957800
"Mar 09, 2020",151.66,158.37,150.00,154.52,153.37,3172300
"Mar 06, 2020",162.71,166.83,160.88,164.11,162.88,2953000
"Mar 05, 2020",171.56,173.28,166.74,167.71,166.46,2368700
"Mar 04, 2020",171.66,177.56,170.36,177.40,176.08,1722900
"Mar 03, 2020",172.97,177.53,168.16,168.86,167.60,1978300
"Mar 02, 2020",168.92,173.79,164.96,173.28,171.99,1950800
"Feb 28, 2020",163.85,167.92,162.39,167.78,166.53,2842000
"Feb 27, 2020",172.25,176.97,169.64,170.13,168.86,2031000
"Feb 26, 2020",179.53,180.00,175.68,175.99,174.68,1673100
"Feb 25, 2020",184.02,184.23,176.62,177.59,176.26,1871700
"Feb 24, 2020",183.79,185.22,181.97,183.06,181.69,1656200
"Feb 21, 2020",188.76,189.90,188.14,189.58,188.16,1133800
"Feb 20, 2020",187.22,190.85,187.09,190.00,188.58,1047000
"Feb 19, 2020",186.92,188.19,186.27,187.53,186.13,974100
"Feb 18, 2020",187.50,187.54,185.27,186.48,185.09,778700
"Feb 14, 2020",189.00,189.00,186.11,187.86,186.46,765100
"Feb 13, 2020",188.63,189.61,187.88,189.07,187.66,659200
"Feb 12, 2020",187.76,190.05,187.16,189.67,188.25,979100
"Feb 11, 2020",184.79,187.70,184.55,187.13,185.73,1027000
"Feb 10, 2020",183.06,183.96,182.19,183.84,182.47,908500
"Feb 07, 2020",184.68,185.24,182.94,183.54,182.17,996600
"Feb 06, 2020",186.14,186.49,184.45,186.07,184.68,1073000
"Feb 05, 2020",184.80,185.76,183.54,185.76,184.37,1584700
"Feb 04, 2020",179.37,182.69,178.78,182.03,180.67,1178200
"Feb 03, 2020",175.58,180.15,174.58,176.46,175.14,1898000
"Jan 31, 2020",177.90,179.47,174.90,174.98,173.67,3070500
"Jan 30, 2020",173.97,177.99,173.92,177.90,176.57,1647600
"Jan 29, 2020",176.82,177.98,175.30,175.81,174.50,1228200
"Jan 28, 2020",174.22,176.77,172.92,175.86,174.55,1138400
"Jan 27, 2020",173.02,174.74,170.38,173.37,172.08,1226300
"Jan 24, 2020",180.00,180.00,175.26,176.30,174.98,1093800
"Jan 23, 2020",176.37,179.78,175.05,179.60,178.26,1431600
"Jan 22, 2020",179.09,179.43,176.98,177.51,176.18,1151000
"Jan 21, 2020",179.22,179.72,177.42,177.88,176.55,1175900
"Jan 17, 2020",180.14,180.72,179.13,180.43,179.08,2144900
"Jan 16, 2020",179.53,180.00,178.36,179.79,178.45,1104200
"Jan 15, 2020",178.41,179.29,177.02,178.41,177.08,1262200
"Jan 14, 2020",179.70,180.33,178.21,178.64,177.31,1127000
"Jan 13, 2020",178.59,179.87,178.20,179.82,178.48,698500
"Jan 10, 2020",179.51,180.66,178.01,178.24,176.91,1157500
"Jan 09, 2020",179.45,179.80,178.11,179.63,178.29,1264400
"Jan 08, 2020",178.26,179.46,177.40,178.74,177.41,1168400
"Jan 07, 2020",177.66,178.39,176.19,177.81,176.48,1144100
"Jan 06, 2020",178.04,178.59,176.80,178.54,177.21,1587300
"Jan 03, 2020",178.71,180.07,177.51,179.11,177.77,1400800
"Jan 02, 2020",180.15,181.70,178.98,181.68,180.32,1257500
"Dec 31, 2019",179.40,180.10,178.91,179.63,178.29,816100
