Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",183.43,184.76,177.35,178.50,178.50,1395500
"Apr 02, 2020",176.13,183.96,175.22,183.52,183.52,1898500
"Apr 01, 2020",171.99,177.91,170.23,177.17,177.17,1498700
"Mar 31, 2020",180.83,183.56,177.01,180.12,180.12,2767400
"Mar 30, 2020",186.91,187.49,179.24,181.96,181.96,1925000
"Mar 27, 2020",183.64,190.54,178.46,185.00,185.00,2163100
"Mar 26, 2020",175.67,191.19,174.83,190.50,190.50,2310900
"Mar 25, 2020",160.74,179.77,160.00,173.46,173.46,1775700
"Mar 24, 2020",153.48,162.56,152.95,162.07,162.07,1814200
"Mar 23, 2020",153.03,154.54,142.01,150.22,150.22,2303300
"Mar 20, 2020",160.48,160.48,150.80,154.04,154.04,2684600
"Mar 19, 2020",166.34,167.37,153.45,160.14,160.14,2507600
"Mar 18, 2020",154.94,175.10,152.17,167.99,167.99,2801800
"Mar 17, 2020",155.32,170.68,151.40,168.95,168.95,2130400
"Mar 16, 2020",155.00,166.47,149.21,152.23,152.23,1992100
"Mar 13, 2020",174.63,178.64,164.48,177.63,177.63,2287300
"Mar 12, 2020",174.62,181.55,164.12,166.02,166.02,3092700
"Mar 12, 2020",0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend,0.85 Dividend
"Mar 11, 2020",190.80,193.56,184.36,188.36,187.51,2323600
"Mar 10, 2020",193.50,196.30,186.31,196.12,195.23,1826200
"Mar 09, 2020",186.77,192.99,182.00,186.58,185.74,1918500
"Mar 06, 2020",195.00,201.59,192.40,199.93,199.03,1615100
"Mar 05, 2020",208.65,208.87,199.00,200.57,199.66,1761000
"Mar 04, 2020",202.35,212.00,200.29,211.64,210.68,1677300
"Mar 03, 2020",203.87,209.50,197.88,198.68,197.78,1772600
"Mar 02, 2020",197.90,202.99,194.71,202.05,201.14,2246600
"Feb 28, 2020",195.52,198.11,190.61,197.73,196.84,2997800
"Feb 27, 2020",208.52,210.02,201.41,201.94,201.03,2314500
"Feb 26, 2020",209.82,215.74,209.78,210.32,209.37,2240700
"Feb 25, 2020",219.33,220.78,208.90,209.76,208.81,1907300
"Feb 24, 2020",218.18,220.75,216.83,219.06,218.07,1185500
"Feb 21, 2020",222.99,224.23,221.56,222.80,221.79,1198700
"Feb 20, 2020",226.43,227.22,221.49,223.80,222.79,957700
"Feb 19, 2020",228.61,229.71,225.51,225.98,224.96,1450300
"Feb 18, 2020",228.00,229.86,226.56,228.73,227.70,912300
"Feb 14, 2020",227.16,229.47,226.48,228.55,227.52,1177100
"Feb 13, 2020",229.19,230.98,226.96,227.01,225.99,1187900
"Feb 12, 2020",228.49,230.23,224.76,230.04,229.00,1433500
"Feb 11, 2020",229.27,229.44,226.83,228.00,226.97,1283700
"Feb 10, 2020",229.87,230.99,227.23,229.60,228.56,1053400
"Feb 07, 2020",227.22,230.58,226.00,229.86,228.82,1229800
"Feb 06, 2020",223.65,227.58,222.98,225.98,224.96,1458500
"Feb 05, 2020",224.61,225.89,221.91,223.47,222.46,1316400
"Feb 04, 2020",225.36,228.50,222.29,223.74,222.73,1802600
"Feb 03, 2020",221.75,223.27,220.34,220.89,219.89,1244700
"Jan 31, 2020",223.74,224.69,219.41,221.33,220.33,1390100
"Jan 30, 2020",222.01,225.06,221.81,224.74,223.73,1038000
"Jan 29, 2020",224.00,225.85,222.79,223.57,222.56,925000
"Jan 28, 2020",223.12,224.25,220.63,223.14,222.13,1334800
"Jan 27, 2020",220.99,223.57,219.76,222.32,221.32,1231700
"Jan 24, 2020",223.23,224.50,222.04,222.98,221.97,1154200
"Jan 23, 2020",220.13,223.82,219.61,222.81,221.80,1211600
"Jan 22, 2020",221.00,223.00,219.32,219.91,218.92,1411400
"Jan 21, 2020",219.40,221.34,217.81,220.46,219.47,1527200
"Jan 17, 2020",215.30,219.47,214.01,219.38,218.39,1934500
"Jan 16, 2020",214.02,214.99,213.20,214.35,213.38,876600
"Jan 15, 2020",212.40,215.67,211.85,213.16,212.20,882700
"Jan 14, 2020",212.57,213.09,211.62,212.78,211.82,1265400
"Jan 13, 2020",211.44,212.75,208.72,212.60,211.64,1306900
"Jan 10, 2020",212.07,212.34,209.71,210.37,209.42,1186500
"Jan 09, 2020",210.39,212.94,210.26,212.29,211.33,980000
"Jan 08, 2020",212.75,214.89,210.41,211.29,210.34,1683300
"Jan 07, 2020",212.02,214.24,211.00,212.73,211.77,1538100
"Jan 06, 2020",212.22,214.00,209.14,211.72,210.76,1968100
"Jan 03, 2020",206.17,210.83,206.17,210.47,209.52,2182200
"Jan 02, 2020",198.43,203.37,198.06,203.31,202.39,1214700
"Dec 31, 2019",199.92,200.56,197.04,197.87,196.98,1010900
"Dec 30, 2019",201.77,201.78,199.00,200.08,199.18,838100
"Dec 27, 2019",202.08,203.23,201.25,201.71,200.80,881500
"Dec 26, 2019",201.23,202.00,200.62,201.61,200.70,637700
"Dec 24, 2019",202.89,203.02,200.60,201.22,200.31,330600
"Dec 23, 2019",200.77,203.19,199.06,201.73,200.82,1129400
"Dec 20, 2019",199.60,200.77,197.11,199.99,199.09,2304900
"Dec 19, 2019",198.22,198.97,196.15,197.41,196.52,1288700
"Dec 18, 2019",199.21,199.94,196.55,197.72,196.83,1306700
"Dec 17, 2019",200.97,201.98,196.28,199.08,198.18,1240100
"Dec 16, 2019",200.59,202.45,199.10,201.34,200.43,1322700
"Dec 13, 2019",195.78,200.35,195.78,200.18,199.28,1515900
"Dec 12, 2019",198.39,199.99,195.23,196.28,195.39,1102100
"Dec 11, 2019",196.16,198.64,196.16,198.48,197.58,1085400
"Dec 10, 2019",198.07,199.48,196.55,196.96,196.07,1626500
"Dec 09, 2019",192.50,193.76,191.93,193.62,192.75,1239600
"Dec 06, 2019",193.55,195.39,192.24,192.49,191.62,1310800
"Dec 05, 2019",193.68,194.68,193.15,193.39,192.52,909900
"Dec 04, 2019",195.78,196.45,193.59,193.68,192.81,1062500
"Dec 03, 2019",194.00,195.56,193.32,194.94,194.06,1309300
"Dec 02, 2019",200.22,200.67,193.86,194.27,193.39,1364200
"Nov 29, 2019",201.11,201.66,199.36,201.09,200.18,485900
"Nov 27, 2019",199.51,200.91,198.53,200.50,199.60,802000
"Nov 26, 2019",197.58,200.28,196.54,199.71,198.81,1812000
"Nov 25, 2019",198.67,200.55,195.90,196.49,195.60,1709900
"Nov 22, 2019",200.68,201.21,197.65,198.64,197.74,900500
"Nov 21, 2019",204.00,205.09,198.63,199.06,198.16,1745500
"Nov 21, 2019",0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend,0.75 Dividend
"Nov 20, 2019",203.42,206.20,203.33,204.81,203.14,1112400
"Nov 19, 2019",203.94,204.99,202.28,203.15,201.49,1189100
"Nov 18, 2019",202.38,204.22,202.01,202.74,201.09,1172100
"Nov 15, 2019",201.63,202.98,200.95,202.52,200.87,1093000
"Nov 14, 2019",199.28,201.49,198.63,199.76,198.13,858500
"Nov 13, 2019",197.93,200.29,196.34,199.23,197.60,1190300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
