Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",352.00,355.84,349.61,350.50,350.50,2112300
"Apr 02, 2020",335.25,354.00,334.55,353.96,353.96,1896200
"Apr 01, 2020",324.83,340.99,322.01,338.52,338.52,2082300
"Mar 31, 2020",344.81,346.92,336.24,338.95,338.95,2169300
"Mar 30, 2020",351.49,356.48,342.28,348.85,348.85,1756300
"Mar 27, 2020",339.99,365.09,335.01,348.38,348.38,3562800
"Mar 26, 2020",326.00,352.10,324.01,350.33,350.33,2680900
"Mar 25, 2020",300.62,329.82,293.61,319.67,319.67,2950100
"Mar 24, 2020",287.97,294.99,280.24,288.91,288.91,3088400
"Mar 23, 2020",285.00,287.06,266.11,276.80,276.80,3172100
"Mar 20, 2020",314.20,315.84,288.21,291.22,291.22,3040100
"Mar 19, 2020",333.41,334.10,311.21,314.20,314.20,2836700
"Mar 18, 2020",296.92,339.23,296.04,333.41,333.41,3589400
"Mar 17, 2020",293.00,319.47,287.15,318.83,318.83,2626200
"Mar 16, 2020",295.01,311.56,285.00,287.94,287.94,2351500
"Mar 13, 2020",327.33,329.16,303.10,328.59,328.59,3877800
"Mar 12, 2020",322.00,339.42,310.08,311.38,311.38,3892600
"Mar 11, 2020",356.57,365.89,349.79,356.93,356.93,1950800
"Mar 10, 2020",363.01,367.67,350.60,367.17,367.17,2505600
"Mar 09, 2020",359.98,369.47,351.27,352.03,352.03,3086700
"Mar 06, 2020",372.09,384.95,368.46,382.47,382.47,2161000
"Mar 05, 2020",393.92,397.85,382.22,384.70,384.70,1967200
"Mar 04, 2020",385.42,402.96,383.19,402.03,402.03,2025800
"Mar 03, 2020",384.84,396.90,376.59,377.40,377.40,2531400
"Mar 02, 2020",371.35,383.10,360.57,381.35,381.35,2859900
"Feb 28, 2020",369.86,373.82,360.34,369.87,369.87,3364300
"Feb 28, 2020",2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend
"Feb 27, 2020",393.52,399.01,384.33,384.60,382.20,1894100
"Feb 26, 2020",400.31,410.52,399.34,400.90,398.40,1678000
"Feb 25, 2020",420.10,421.73,397.53,400.36,397.86,1600100
"Feb 24, 2020",419.65,424.20,418.10,419.35,416.73,1117800
"Feb 21, 2020",425.12,428.72,422.66,427.80,425.13,1055500
"Feb 20, 2020",433.63,434.99,424.16,425.97,423.31,1190600
"Feb 19, 2020",437.00,438.27,434.40,434.48,431.77,787200
"Feb 18, 2020",437.00,438.95,434.01,435.55,432.83,776100
"Feb 14, 2020",434.98,438.47,434.31,437.85,435.12,948600
"Feb 13, 2020",435.80,439.29,434.30,434.70,431.99,800200
"Feb 12, 2020",439.01,439.69,434.60,436.60,433.88,1419200
"Feb 11, 2020",441.36,442.53,437.47,439.85,437.11,744600
"Feb 10, 2020",439.00,441.52,437.82,439.76,437.02,870400
"Feb 07, 2020",438.14,441.21,437.29,439.17,436.43,883800
"Feb 06, 2020",435.56,439.86,434.91,438.97,436.23,833500
"Feb 05, 2020",433.32,435.92,429.02,435.19,432.47,1251800
"Feb 04, 2020",425.46,431.99,425.46,430.78,428.09,1216300
"Feb 03, 2020",429.52,430.00,422.04,423.86,421.21,1795800
"Jan 31, 2020",434.93,435.57,426.10,428.12,425.45,1650100
"Jan 30, 2020",430.34,437.00,430.34,435.90,433.18,1210200
"Jan 29, 2020",437.72,437.99,431.02,433.84,431.13,1268500
"Jan 28, 2020",434.77,438.99,426.27,437.17,434.44,2063200
"Jan 27, 2020",425.86,434.45,425.86,432.38,429.68,1737900
"Jan 24, 2020",429.90,433.52,429.69,432.50,429.80,1086700
"Jan 23, 2020",424.06,429.56,424.00,428.78,426.10,978400
"Jan 22, 2020",427.50,428.50,424.36,424.42,421.77,918700
"Jan 21, 2020",424.42,427.78,423.01,426.15,423.49,1071400
"Jan 17, 2020",426.61,427.54,424.50,425.66,423.00,1195600
"Jan 16, 2020",423.13,425.74,420.67,425.70,423.04,1085200
"Jan 15, 2020",416.42,421.48,416.14,420.95,418.32,833000
"Jan 14, 2020",417.59,418.27,415.07,416.14,413.54,967200
"Jan 13, 2020",414.94,420.96,414.66,419.02,416.41,986800
"Jan 10, 2020",415.00,415.60,412.48,413.83,411.25,987800
"Jan 09, 2020",410.49,416.00,410.00,414.93,412.34,1064300
"Jan 08, 2020",417.06,418.18,409.72,411.03,408.47,1708100
"Jan 07, 2020",411.25,416.12,408.29,414.50,411.91,1059900
"Jan 06, 2020",417.99,417.99,407.69,413.11,410.53,2477800
"Jan 03, 2020",404.02,417.17,403.00,413.74,411.16,2990100
"Jan 02, 2020",392.86,399.37,390.95,399.37,396.88,1258400
"Dec 31, 2019",391.75,391.98,387.07,389.38,386.95,775400
"Dec 30, 2019",393.65,393.76,390.87,391.90,389.45,776900
"Dec 27, 2019",393.99,394.50,391.94,393.60,391.14,728800
"Dec 26, 2019",390.90,392.45,390.48,392.30,389.85,711600
"Dec 24, 2019",392.35,392.35,389.53,390.17,387.74,516300
"Dec 23, 2019",387.66,394.69,387.59,391.90,389.45,1050400
"Dec 20, 2019",385.03,386.64,383.00,386.47,384.06,1599600
"Dec 19, 2019",380.99,384.68,380.23,383.15,380.76,766300
"Dec 18, 2019",387.40,387.64,379.66,380.57,378.20,1526000
"Dec 17, 2019",385.00,388.00,385.00,386.89,384.48,730000
"Dec 16, 2019",387.90,388.35,384.05,385.95,383.54,847500
"Dec 13, 2019",384.00,387.78,384.00,386.47,384.06,658000
"Dec 12, 2019",386.00,387.79,383.45,384.05,381.65,736100
"Dec 11, 2019",385.51,386.61,384.03,386.24,383.83,578900
"Dec 10, 2019",383.50,386.77,383.25,384.44,382.04,862100
"Dec 09, 2019",386.22,387.42,383.23,383.34,380.95,821600
"Dec 06, 2019",387.17,388.90,385.10,386.86,384.45,709600
"Dec 05, 2019",386.06,386.50,383.01,385.94,383.53,1203700
"Dec 04, 2019",383.53,387.95,382.28,384.58,382.18,1081100
"Dec 03, 2019",381.43,384.64,380.14,381.62,379.24,1384300
"Dec 02, 2019",390.71,391.53,383.44,383.62,381.23,1283400
"Nov 29, 2019",392.00,392.20,390.04,391.03,388.59,401500
"Nov 29, 2019",2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend,2.4 Dividend
"Nov 27, 2019",393.63,394.48,391.62,394.24,389.39,770300
"Nov 26, 2019",390.60,395.95,389.98,392.50,387.68,1206600
"Nov 25, 2019",391.60,393.10,387.49,389.98,385.19,801400
"Nov 22, 2019",390.19,391.39,387.82,390.74,385.94,758600
"Nov 21, 2019",390.86,392.25,389.32,390.26,385.46,1416900
"Nov 20, 2019",391.06,393.54,390.25,392.70,387.87,907700
"Nov 19, 2019",394.00,395.82,390.53,390.81,386.01,800300
"Nov 18, 2019",393.00,395.68,391.95,392.76,387.93,827700
"Nov 15, 2019",392.27,394.49,390.28,393.55,388.71,1533600
"Nov 14, 2019",387.28,392.30,387.28,390.16,385.36,915600
"Nov 13, 2019",385.94,390.52,385.09,387.69,382.93,956100
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
