Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",136.01,137.44,132.90,133.79,133.79,3586400
"Apr 02, 2020",132.36,138.21,132.10,137.91,137.91,3990300
"Apr 01, 2020",132.00,135.84,131.01,133.14,133.14,3777600
"Mar 31, 2020",135.69,139.44,135.68,136.51,136.51,3613700
"Mar 30, 2020",132.25,138.01,131.06,137.74,137.74,3869500
"Mar 27, 2020",132.83,137.07,130.91,133.24,133.24,4262300
"Mar 26, 2020",131.79,136.38,130.61,136.18,136.18,6717000
"Mar 25, 2020",133.15,134.69,126.80,131.54,131.54,7742500
"Mar 24, 2020",122.29,133.45,121.00,132.72,132.72,9311700
"Mar 23, 2020",128.16,128.40,114.04,117.87,117.87,7934300
"Mar 20, 2020",138.07,139.24,122.71,124.89,124.89,9589200
"Mar 19, 2020",137.71,140.18,132.93,137.51,137.51,6365700
"Mar 18, 2020",128.46,139.37,128.39,137.02,137.02,6860400
"Mar 17, 2020",131.94,136.77,129.61,134.44,134.44,6535400
"Mar 16, 2020",129.86,135.50,128.01,130.91,130.91,7440800
"Mar 13, 2020",141.01,141.69,131.00,141.68,141.68,6580300
"Mar 12, 2020",139.96,141.71,130.34,133.58,133.58,8215800
"Mar 11, 2020",149.73,149.73,146.47,147.24,147.24,4748200
"Mar 10, 2020",149.02,153.38,144.88,153.30,153.30,5651700
"Mar 09, 2020",146.59,149.46,143.55,144.06,144.06,8194400
"Mar 06, 2020",149.59,154.74,147.87,153.65,153.65,7155100
"Mar 05, 2020",150.80,154.35,149.55,151.41,151.41,5887000
"Mar 04, 2020",147.02,154.00,145.99,153.98,153.98,5773800
"Mar 03, 2020",152.44,154.00,144.44,145.24,145.24,8296500
"Mar 02, 2020",151.34,153.43,148.37,153.02,153.02,8026300
"Feb 28, 2020",154.09,156.72,146.00,149.24,149.24,11508700
"Feb 27, 2020",151.23,155.43,149.00,150.16,150.16,8241600
"Feb 26, 2020",149.57,151.82,148.09,148.96,148.96,5152100
"Feb 25, 2020",153.31,153.44,145.97,146.85,146.85,5263400
"Feb 24, 2020",154.45,154.71,152.22,152.55,152.55,3635600
"Feb 21, 2020",158.33,158.59,156.12,156.93,156.93,3535300
"Feb 20, 2020",159.00,161.39,158.50,158.56,158.56,3275100
"Feb 19, 2020",159.08,160.47,158.36,159.34,159.34,2296400
"Feb 18, 2020",160.36,160.53,158.04,158.88,158.88,2478900
"Feb 14, 2020",159.85,161.14,158.82,161.01,161.01,2233500
"Feb 13, 2020",161.76,161.87,159.00,159.76,159.76,3413900
"Feb 13, 2020",1.47 Dividend,1.47 Dividend,1.47 Dividend,1.47 Dividend,1.47 Dividend,1.47 Dividend
"Feb 12, 2020",164.24,165.04,163.57,163.80,162.33,2736400
"Feb 11, 2020",161.00,162.52,160.02,162.45,160.99,2275100
"Feb 10, 2020",160.21,161.26,158.87,160.15,158.71,2754800
"Feb 07, 2020",161.41,161.92,159.63,160.08,158.64,2736200
"Feb 06, 2020",164.49,165.00,162.47,162.89,161.43,3413800
"Feb 05, 2020",159.12,162.33,158.70,162.33,160.87,3118200
"Feb 04, 2020",159.77,159.96,157.00,157.24,155.83,4363900
"Feb 03, 2020",160.03,160.31,156.38,156.59,155.18,3927100
"Jan 31, 2020",162.00,162.65,158.23,158.66,157.24,5740300
"Jan 30, 2020",161.00,162.64,158.76,162.51,161.05,4357100
"Jan 29, 2020",166.35,166.47,161.53,162.00,160.55,5343900
"Jan 28, 2020",171.90,172.34,165.05,165.58,164.09,8920700
"Jan 27, 2020",179.86,180.59,175.54,175.63,174.05,4361400
"Jan 24, 2020",178.49,179.81,177.53,178.15,176.55,2643100
"Jan 23, 2020",177.07,178.44,176.39,177.74,176.14,2358400
"Jan 22, 2020",179.51,180.57,177.88,178.03,176.43,2420200
"Jan 21, 2020",181.85,181.91,178.63,179.39,177.78,3367700
"Jan 17, 2020",181.00,182.15,180.70,181.35,179.72,3690100
"Jan 16, 2020",180.68,181.20,179.69,181.01,179.39,2149900
"Jan 15, 2020",181.42,181.86,179.18,179.78,178.17,2482200
"Jan 14, 2020",180.92,182.55,180.21,181.37,179.74,2911200
"Jan 13, 2020",180.94,182.23,180.36,180.92,179.30,2090800
"Jan 10, 2020",181.61,182.18,180.14,180.47,178.85,2103800
"Jan 09, 2020",181.51,181.59,179.76,181.20,179.57,2746300
"Jan 08, 2020",178.00,181.50,177.65,180.63,179.01,2758300
"Jan 07, 2020",178.28,178.51,176.82,177.90,176.30,2173000
"Jan 06, 2020",177.15,178.71,176.35,178.62,177.02,1998000
"Jan 03, 2020",177.02,178.66,175.63,178.45,176.85,2466900
"Jan 02, 2020",177.68,180.01,177.14,180.00,178.38,3601700
"Dec 31, 2019",175.23,176.59,175.07,176.42,174.84,1573500
"Dec 30, 2019",177.26,178.96,175.59,175.83,174.25,1715100
"Dec 27, 2019",176.65,177.54,175.62,177.26,175.67,1472900
"Dec 26, 2019",176.45,176.66,175.50,176.59,175.01,1435200
"Dec 24, 2019",178.27,178.67,176.04,176.68,175.09,1259500
"Dec 23, 2019",176.71,179.18,176.56,178.47,176.87,4876300
"Dec 20, 2019",174.79,175.47,172.20,175.37,173.80,7513000
"Dec 19, 2019",169.62,172.58,169.15,172.15,170.61,2757600
"Dec 18, 2019",169.78,170.00,168.19,169.03,167.51,2270400
"Dec 17, 2019",170.35,171.79,169.21,169.93,168.40,2672600
"Dec 16, 2019",168.94,170.83,168.19,170.75,169.22,2917200
"Dec 13, 2019",169.62,171.12,168.08,168.79,167.28,2098000
"Dec 12, 2019",166.73,170.85,166.33,168.56,167.05,2872400
"Dec 11, 2019",168.38,168.84,167.33,168.74,167.23,1859000
"Dec 10, 2019",169.13,169.39,166.97,167.66,166.16,2670500
"Dec 09, 2019",169.40,171.26,168.79,169.83,168.31,2058200
"Dec 06, 2019",167.25,171.99,167.25,171.47,169.93,3880000
"Dec 05, 2019",167.22,167.87,162.72,164.37,162.89,3309300
"Dec 04, 2019",166.42,168.87,166.00,167.14,165.64,2139200
"Dec 03, 2019",166.50,166.60,164.40,165.17,163.69,2702000
"Dec 02, 2019",170.16,171.70,168.24,168.27,166.76,2342200
"Nov 29, 2019",170.43,170.58,169.26,169.77,168.25,942500
"Nov 27, 2019",170.00,171.37,169.51,170.61,169.08,1331500
"Nov 26, 2019",169.80,170.25,168.71,169.23,167.71,2610900
"Nov 25, 2019",168.47,170.36,167.87,170.24,168.71,2761900
"Nov 22, 2019",165.50,167.75,165.00,167.60,166.10,3268300
"Nov 21, 2019",166.88,167.00,164.51,165.14,163.66,3605700
"Nov 21, 2019",1.44 Dividend,1.44 Dividend,1.44 Dividend,1.44 Dividend,1.44 Dividend,1.44 Dividend
"Nov 20, 2019",169.79,170.00,167.15,167.77,164.84,2689500
"Nov 19, 2019",171.72,171.72,169.53,170.68,167.70,1791800
"Nov 18, 2019",170.79,171.20,169.17,170.54,167.56,2364600
"Nov 15, 2019",171.66,172.69,171.04,171.88,168.88,2616900
"Nov 14, 2019",169.98,172.32,169.93,170.93,167.94,1613900
"Nov 13, 2019",170.11,171.39,169.58,170.55,167.57,1638800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
