Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",313.90,315.55,310.31,313.61,313.61,834900
"Apr 02, 2020",301.90,314.73,301.69,314.29,314.29,1061900
"Apr 01, 2020",293.85,309.99,290.62,306.99,306.99,1226500
"Mar 31, 2020",309.17,311.00,300.38,302.55,302.55,1980200
"Mar 30, 2020",317.41,322.92,308.86,313.72,313.72,1261700
"Mar 27, 2020",311.89,318.77,301.60,312.15,312.15,1504800
"Mar 26, 2020",290.63,321.92,290.63,321.19,321.19,1425500
"Mar 25, 2020",281.79,301.98,279.00,288.36,288.36,1615600
"Mar 24, 2020",280.25,284.00,272.63,281.28,281.28,1655100
"Mar 23, 2020",280.85,283.25,263.31,269.86,269.86,1497400
"Mar 20, 2020",300.94,301.17,274.77,284.02,284.02,1768500
"Mar 19, 2020",321.15,322.99,289.51,296.91,296.91,1711600
"Mar 18, 2020",301.01,325.85,298.61,323.00,323.00,1779400
"Mar 17, 2020",288.36,319.89,287.58,319.33,319.33,2113200
"Mar 16, 2020",274.59,300.44,274.59,282.59,282.59,1520200
"Mar 13, 2020",303.66,315.65,289.59,314.50,314.50,2307500
"Mar 12, 2020",296.99,308.96,289.26,290.50,290.50,2525900
"Mar 11, 2020",325.45,330.36,311.87,317.85,317.85,1484400
"Mar 10, 2020",324.69,335.14,321.63,334.89,334.89,1826700
"Mar 09, 2020",306.94,320.74,280.00,313.28,313.28,1355400
"Mar 06, 2020",319.32,331.90,315.84,328.96,328.96,1361200
"Mar 05, 2020",339.48,342.03,325.86,327.78,327.78,1214100
"Mar 04, 2020",335.57,347.99,330.52,346.97,346.97,1193700
"Mar 03, 2020",335.99,347.90,329.01,329.38,329.38,1207900
"Mar 02, 2020",330.46,336.93,321.86,335.99,335.99,1547000
"Feb 28, 2020",320.00,329.82,313.98,328.84,328.84,2921200
"Feb 27, 2020",329.49,337.79,325.00,331.57,331.57,2054500
"Feb 26, 2020",342.50,347.15,334.31,334.32,334.32,934400
"Feb 25, 2020",361.07,361.44,338.78,339.97,339.97,1458800
"Feb 24, 2020",357.99,365.85,357.72,359.39,359.39,997500
"Feb 21, 2020",360.66,365.93,358.03,365.01,365.01,880000
"Feb 21, 2020",1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend
"Feb 20, 2020",365.28,367.62,360.53,363.25,361.93,995200
"Feb 19, 2020",373.22,374.39,365.96,366.15,364.82,864600
"Feb 18, 2020",367.70,372.64,365.75,372.42,371.07,810900
"Feb 14, 2020",368.82,371.64,367.01,370.94,369.59,635100
"Feb 13, 2020",366.70,370.47,365.04,368.00,366.66,848600
"Feb 12, 2020",367.61,369.23,363.98,367.73,366.39,935400
"Feb 11, 2020",364.56,371.98,363.81,368.04,366.70,697600
"Feb 10, 2020",361.05,364.03,357.62,363.29,361.97,716400
"Feb 07, 2020",363.38,366.17,361.12,361.42,360.11,790300
"Feb 06, 2020",366.72,366.72,362.50,363.75,362.43,860000
"Feb 05, 2020",362.58,368.89,358.80,367.80,366.46,815200
"Feb 04, 2020",366.63,367.90,360.00,361.81,360.50,1054400
"Feb 03, 2020",367.33,370.00,362.76,363.75,362.43,1316200
"Jan 31, 2020",383.33,384.33,372.08,374.57,373.21,1086400
"Jan 30, 2020",373.10,385.01,369.18,384.87,383.47,1397400
"Jan 29, 2020",384.48,384.48,378.14,382.65,381.26,639600
"Jan 28, 2020",380.50,383.98,374.22,381.84,380.45,674500
"Jan 27, 2020",378.36,380.99,375.78,379.07,377.69,665200
"Jan 24, 2020",383.02,384.18,380.20,381.64,380.25,738000
"Jan 23, 2020",375.80,381.64,374.76,381.50,380.11,1099400
"Jan 22, 2020",378.50,380.34,375.26,375.32,373.96,864300
"Jan 21, 2020",379.38,381.19,373.96,378.13,376.76,1420900
"Jan 17, 2020",384.68,384.68,378.29,379.97,378.59,1237700
"Jan 16, 2020",381.61,384.61,379.57,383.78,382.39,839100
"Jan 15, 2020",374.68,381.78,374.68,380.26,378.88,650500
"Jan 14, 2020",375.80,376.18,373.08,374.67,373.31,740600
"Jan 13, 2020",375.73,377.76,374.81,376.83,375.46,667400
"Jan 10, 2020",372.37,375.00,369.76,374.39,373.03,1178200
"Jan 09, 2020",370.56,373.50,369.17,372.36,371.01,741500
"Jan 08, 2020",376.20,379.27,367.10,370.29,368.94,1312400
"Jan 07, 2020",373.62,376.71,371.09,374.97,373.61,863600
"Jan 06, 2020",379.95,382.26,372.58,375.83,374.46,2130000
"Jan 03, 2020",368.15,375.82,366.37,375.01,373.65,2600300
"Jan 02, 2020",344.44,355.70,343.62,355.70,354.41,941900
"Dec 31, 2019",348.27,348.98,342.73,343.97,342.72,907800
"Dec 30, 2019",347.70,350.75,346.89,349.07,347.80,575500
"Dec 27, 2019",348.50,349.00,345.42,346.44,345.18,356900
"Dec 26, 2019",347.63,348.98,346.02,347.96,346.70,432700
"Dec 24, 2019",348.82,349.08,345.82,347.08,345.82,229400
"Dec 23, 2019",348.54,350.90,346.50,348.12,346.85,652300
"Dec 20, 2019",343.94,346.22,340.43,345.91,344.65,1534600
"Dec 19, 2019",338.79,343.49,338.01,342.21,340.97,1418600
"Dec 18, 2019",345.56,346.56,338.40,338.70,337.47,1145400
"Dec 17, 2019",345.40,347.27,343.53,345.84,344.58,753700
"Dec 16, 2019",344.33,345.69,342.84,344.69,343.44,972900
"Dec 13, 2019",344.56,347.50,342.79,344.65,343.40,865800
"Dec 12, 2019",348.77,349.84,344.01,345.90,344.64,737600
"Dec 11, 2019",345.73,348.87,344.61,348.71,347.44,574500
"Dec 10, 2019",343.06,347.01,343.06,344.48,343.23,1041100
"Dec 09, 2019",344.76,345.61,338.63,343.05,341.80,1137200
"Dec 06, 2019",346.10,348.15,344.32,344.76,343.51,931400
"Dec 05, 2019",344.67,345.11,341.91,344.41,343.16,803900
"Dec 04, 2019",344.75,347.87,343.15,343.21,341.96,708900
"Dec 03, 2019",340.18,344.12,338.73,343.15,341.90,1320500
"Dec 02, 2019",351.97,352.99,341.61,341.73,340.49,886600
"Nov 29, 2019",351.00,351.92,348.91,351.77,350.49,311200
"Nov 29, 2019",1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend,1.32 Dividend
"Nov 27, 2019",352.33,355.15,350.64,352.88,350.28,619700
"Nov 26, 2019",350.28,356.62,349.17,353.85,351.25,1294500
"Nov 25, 2019",350.33,350.97,348.86,349.75,347.18,988300
"Nov 22, 2019",349.18,350.04,346.79,349.16,346.59,583300
"Nov 21, 2019",352.77,354.03,348.10,348.22,345.66,785100
"Nov 20, 2019",353.53,356.98,352.43,353.00,350.40,777600
"Nov 19, 2019",357.73,358.56,352.61,353.54,350.94,790900
"Nov 18, 2019",355.88,358.18,355.46,356.70,354.07,891400
"Nov 15, 2019",358.46,359.83,356.21,356.66,354.03,871300
"Nov 14, 2019",353.16,357.62,353.16,355.69,353.07,610000
"Nov 13, 2019",352.46,355.75,350.52,353.72,351.12,517200
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
