Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",143.30,144.38,140.68,142.32,142.32,2285900
"Apr 02, 2020",138.09,144.11,136.65,143.72,143.72,2982400
"Apr 01, 2020",138.69,142.42,137.81,140.01,140.01,2067700
"Mar 31, 2020",147.03,149.89,144.72,146.00,146.00,2316800
"Mar 30, 2020",143.34,149.92,142.04,148.29,148.29,2010000
"Mar 27, 2020",140.82,146.62,138.71,143.36,143.36,1565300
"Mar 26, 2020",143.19,149.10,140.30,146.92,146.92,2522600
"Mar 25, 2020",137.00,150.74,135.95,140.40,140.40,2947700
"Mar 24, 2020",127.02,141.12,125.81,140.23,140.23,2723000
"Mar 23, 2020",121.83,123.84,112.62,118.88,118.88,3417400
"Mar 20, 2020",138.77,138.77,123.51,123.71,123.71,2712100
"Mar 19, 2020",128.33,139.31,125.84,136.33,136.33,2349100
"Mar 18, 2020",129.07,132.71,119.29,130.84,130.84,2745000
"Mar 17, 2020",128.56,142.13,125.53,139.59,139.59,2662000
"Mar 16, 2020",132.52,141.86,126.34,126.44,126.44,2617600
"Mar 13, 2020",141.24,147.35,136.27,146.86,146.86,3268500
"Mar 12, 2020",137.33,141.93,129.24,133.50,133.50,3940400
"Mar 11, 2020",155.67,156.97,148.63,151.36,151.36,2527800
"Mar 10, 2020",160.89,161.89,152.41,160.51,160.51,2673400
"Mar 09, 2020",159.46,164.25,151.37,154.50,154.50,3101100
"Mar 06, 2020",168.86,175.25,168.04,174.60,174.60,2163600
"Mar 05, 2020",177.48,179.52,174.00,175.35,175.35,1912400
"Mar 04, 2020",179.48,184.48,177.64,184.24,184.24,1832100
"Mar 03, 2020",182.32,187.63,175.09,176.86,176.86,2129600
"Mar 02, 2020",183.74,184.62,177.49,182.59,182.59,2540600
"Feb 28, 2020",179.21,182.58,176.40,182.35,182.35,3173500
"Feb 27, 2020",185.84,193.05,183.26,184.28,184.28,4335700
"Feb 26, 2020",195.44,196.99,189.42,190.07,190.07,1956000
"Feb 25, 2020",203.57,203.83,193.93,194.85,194.85,2171000
"Feb 24, 2020",201.28,203.66,200.00,203.00,203.00,1557300
"Feb 21, 2020",210.79,211.61,206.80,208.05,208.05,1363400
"Feb 20, 2020",209.15,211.09,208.14,210.81,210.81,949100
"Feb 19, 2020",208.67,210.45,208.25,209.17,209.17,703400
"Feb 18, 2020",208.61,210.39,207.03,208.02,208.02,977600
"Feb 14, 2020",210.44,211.21,208.79,209.35,209.35,711400
"Feb 13, 2020",209.70,211.38,209.00,210.49,210.49,848600
"Feb 12, 2020",210.77,212.73,209.88,210.92,210.92,891700
"Feb 11, 2020",210.63,213.31,209.07,209.17,209.17,1425200
"Feb 10, 2020",208.92,209.79,207.66,209.25,209.25,2338300
"Feb 07, 2020",211.34,212.10,208.98,210.18,210.18,2260000
"Feb 06, 2020",213.46,214.54,212.02,212.68,212.68,1001800
"Feb 06, 2020",0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend
"Feb 05, 2020",214.87,214.95,213.17,213.80,212.86,1409800
"Feb 04, 2020",209.44,213.27,209.20,211.87,210.94,2551200
"Feb 03, 2020",209.92,210.40,206.73,206.99,206.08,1971800
"Jan 31, 2020",212.26,212.75,207.52,208.21,207.29,2163300
"Jan 30, 2020",212.19,215.10,211.54,214.50,213.56,1917100
"Jan 29, 2020",217.20,219.88,214.83,214.83,213.89,3193400
"Jan 28, 2020",203.00,205.72,202.56,204.76,203.86,1456600
"Jan 27, 2020",203.26,205.83,202.60,202.66,201.77,1314100
