Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",304.74,308.00,293.02,299.68,299.68,458800
"Apr 02, 2020",290.42,305.07,290.42,305.07,305.07,479100
"Apr 01, 2020",298.16,302.80,290.00,293.66,293.66,556100
"Mar 31, 2020",314.00,317.88,308.77,311.81,311.81,704200
"Mar 30, 2020",308.14,319.68,305.30,317.46,317.46,741200
"Mar 27, 2020",291.98,313.19,289.59,305.79,305.79,1191900
"Mar 26, 2020",293.79,306.32,288.03,306.32,306.32,820100
"Mar 25, 2020",283.61,296.90,271.52,285.18,285.18,1003500
"Mar 24, 2020",263.01,287.10,263.01,282.88,282.88,1257000
"Mar 23, 2020",280.31,281.77,245.86,254.30,254.30,979400
"Mar 20, 2020",304.01,304.11,280.83,283.15,283.15,934800
"Mar 19, 2020",284.39,309.44,276.65,300.01,300.01,645600
"Mar 18, 2020",289.19,299.05,265.94,287.27,287.27,683000
"Mar 17, 2020",288.18,311.84,288.18,309.39,309.39,776900
"Mar 16, 2020",240.00,303.96,240.00,283.26,283.26,868100
"Mar 13, 2020",307.79,313.52,292.01,313.52,313.52,756400
"Mar 12, 2020",300.05,310.54,290.48,290.94,290.94,973800
"Mar 11, 2020",331.54,333.44,319.38,323.09,323.09,751200
"Mar 10, 2020",324.78,341.97,323.95,341.55,341.55,1103500
"Mar 09, 2020",327.32,329.68,300.01,315.32,315.32,1142400
"Mar 06, 2020",342.47,352.22,341.00,350.33,350.33,670700
"Mar 05, 2020",359.59,365.27,349.96,351.54,351.54,554300
"Mar 04, 2020",359.08,367.40,354.00,366.96,366.96,552500
"Mar 03, 2020",361.26,371.10,348.70,352.55,352.55,631300
"Mar 02, 2020",354.09,361.66,346.97,361.02,361.02,781500
"Feb 28, 2020",346.55,354.06,341.13,351.70,351.70,1086400
"Feb 27, 2020",358.65,365.79,354.49,355.00,355.00,786500
"Feb 26, 2020",368.58,374.67,363.84,365.00,365.00,528100
"Feb 25, 2020",375.79,375.79,363.92,365.91,365.91,478700
