Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 02, 2020",120.65,126.85,115.00,116.96,116.96,9332558
"Apr 01, 2020",123.94,125.38,120.18,122.43,122.43,5086116
"Mar 31, 2020",140.80,140.96,130.03,131.15,131.15,4404051
"Mar 30, 2020",140.02,142.54,133.43,141.21,141.21,3766313
"Mar 27, 2020",146.90,149.75,140.27,142.02,142.02,3553000
"Mar 26, 2020",150.16,157.97,146.42,155.20,155.20,3665500
"Mar 25, 2020",135.99,152.99,131.10,144.78,144.78,5191800
"Mar 24, 2020",124.50,134.92,123.04,133.57,133.57,3597700
"Mar 23, 2020",120.35,121.99,110.33,115.54,115.54,6284100
"Mar 20, 2020",124.16,135.76,120.50,124.14,124.14,5141100
"Mar 19, 2020",111.65,123.22,103.05,121.34,121.34,4839100
"Mar 18, 2020",119.80,121.80,103.00,112.61,112.61,10717400
"Mar 17, 2020",131.37,133.00,115.98,128.95,128.95,6540500
"Mar 16, 2020",131.33,137.53,129.51,129.58,129.58,5099400
"Mar 13, 2020",153.30,156.00,140.21,149.85,149.85,4592500
"Mar 12, 2020",135.39,161.89,135.00,144.11,144.11,7874100
"Mar 11, 2020",167.72,170.23,152.53,156.75,156.75,4255000
"Mar 10, 2020",173.43,176.73,165.21,173.22,173.22,3604200
"Mar 09, 2020",170.74,177.63,167.28,168.33,168.33,3239300
"Mar 06, 2020",179.04,184.59,175.99,183.16,183.16,3930100
"Mar 05, 2020",195.94,196.74,183.21,184.52,184.52,3496400
"Mar 04, 2020",195.67,203.08,192.53,201.34,201.34,3014400
"Mar 03, 2020",193.38,199.97,189.81,191.93,191.93,4828600
"Mar 02, 2020",189.41,193.71,184.00,192.46,192.46,3743800
"Feb 28, 2020",185.66,194.38,182.44,188.56,188.56,5071000
"Feb 27, 2020",197.40,200.81,189.06,193.26,193.26,3977900
"Feb 26, 2020",204.26,210.51,200.20,200.30,200.30,2736000
"Feb 25, 2020",217.45,217.69,201.18,203.41,203.41,3566700
"Feb 24, 2020",215.97,218.48,214.03,216.05,216.05,1965200
"Feb 21, 2020",219.32,222.28,218.81,222.18,222.18,1640600
"Feb 20, 2020",222.48,222.74,218.24,220.44,220.44,1982400
"Feb 19, 2020",224.44,224.73,221.87,222.47,222.47,1701700
"Feb 18, 2020",226.07,226.38,223.25,224.00,224.00,2038400
"Feb 14, 2020",226.64,227.64,225.28,227.18,227.18,1343900
"Feb 13, 2020",228.90,230.18,226.76,226.76,226.76,2504500
"Feb 12, 2020",229.31,230.20,227.01,229.76,229.76,2392700
"Feb 11, 2020",231.30,232.49,228.50,229.31,229.31,1992100
"Feb 10, 2020",230.11,230.95,227.02,230.57,230.57,1713500
"Feb 07, 2020",227.86,231.81,227.64,230.61,230.61,2770400
"Feb 06, 2020",227.10,231.71,227.01,228.53,228.53,2187500
"Feb 05, 2020",226.05,226.99,224.76,226.64,226.64,1670300
"Feb 04, 2020",221.08,224.71,221.03,224.21,224.21,1713200
"Feb 03, 2020",220.80,222.59,217.90,218.87,218.87,2027800
"Jan 31, 2020",225.27,225.70,218.60,220.94,220.94,2317100
"Jan 30, 2020",225.00,228.59,222.43,226.10,226.10,2997800
"Jan 29, 2020",228.71,229.32,224.25,227.32,227.32,1478300
"Jan 28, 2020",228.27,229.00,223.10,227.62,227.62,2330500
"Jan 27, 2020",227.50,230.00,226.79,228.46,228.46,1829500
"Jan 24, 2020",230.79,232.38,229.28,231.24,231.24,2673300
"Jan 23, 2020",229.32,231.36,228.33,230.23,230.23,2505000
"Jan 22, 2020",228.98,231.86,228.23,229.41,229.41,2204600
"Jan 21, 2020",230.77,232.41,226.32,228.99,228.99,2478500
"Jan 17, 2020",232.47,233.48,231.21,231.34,231.34,1877700
"Jan 16, 2020",230.18,232.42,229.97,232.31,232.31,1235300
"Jan 15, 2020",228.00,229.93,227.01,229.41,229.41,1340900
"Jan 14, 2020",226.48,227.88,226.12,227.40,227.40,1171900
"Jan 13, 2020",227.06,228.00,226.12,227.15,227.15,1391300
"Jan 10, 2020",228.22,229.79,226.28,226.48,226.48,1477700
"Jan 09, 2020",227.00,228.78,227.00,228.65,228.65,1039800
"Jan 08, 2020",227.95,228.69,226.12,227.40,227.40,1900100
"Jan 07, 2020",226.25,227.80,223.79,226.54,226.54,1359100
"Jan 07, 2020",0.9425 Dividend,0.9425 Dividend,0.9425 Dividend,0.9425 Dividend,0.9425 Dividend,0.9425 Dividend
"Jan 06, 2020",232.00,232.47,225.35,227.53,226.59,2080000
"Jan 03, 2020",226.90,230.00,225.17,227.81,226.87,2147700
"Jan 02, 2020",220.14,224.51,219.75,224.48,223.55,1090600
"Dec 31, 2019",220.55,221.20,218.92,219.74,218.83,824400
"Dec 30, 2019",221.00,221.89,219.93,220.19,219.28,680600
"Dec 27, 2019",221.28,222.06,220.54,220.96,220.04,660900
"Dec 26, 2019",219.47,221.11,219.38,221.02,220.10,926700
"Dec 24, 2019",220.53,220.66,219.26,219.35,218.44,336400
"Dec 23, 2019",217.45,221.26,217.01,219.87,218.96,1475300
"Dec 20, 2019",217.05,217.78,215.55,217.40,216.50,2162200
"Dec 19, 2019",214.66,216.37,213.77,216.11,215.21,1374800
"Dec 18, 2019",216.90,218.56,213.51,214.16,213.27,2590100
"Dec 17, 2019",218.74,219.65,216.23,217.79,216.89,1132300
"Dec 16, 2019",218.60,219.44,217.55,219.29,218.38,942400
"Dec 13, 2019",217.59,219.66,216.55,217.40,216.50,936900
"Dec 12, 2019",218.03,218.89,217.15,218.19,217.29,943700
"Dec 11, 2019",216.42,218.95,216.42,217.82,216.92,764000
"Dec 10, 2019",216.59,217.99,216.35,216.53,215.63,927000
"Dec 09, 2019",216.48,217.82,216.34,216.53,215.63,1050100
"Dec 06, 2019",216.98,218.47,216.15,217.21,216.31,1023200
"Dec 05, 2019",215.85,217.45,214.54,214.89,214.00,1246400
"Dec 04, 2019",214.50,217.75,214.02,214.86,213.97,1263000
"Dec 03, 2019",212.12,213.93,211.34,213.77,212.88,1734700
"Dec 02, 2019",217.22,218.30,214.06,214.06,213.17,1248600
"Nov 29, 2019",218.30,218.36,216.71,217.42,216.52,581500
"Nov 27, 2019",217.12,219.16,215.63,218.54,217.63,1224400
"Nov 26, 2019",216.50,217.84,215.63,217.11,216.21,1981700
"Nov 25, 2019",217.05,218.48,215.71,216.29,215.39,1071700
"Nov 22, 2019",215.46,216.59,214.45,216.40,215.50,1368200
"Nov 21, 2019",216.95,217.06,215.07,215.81,214.92,1050400
"Nov 20, 2019",218.18,218.57,216.31,217.07,216.17,929400
"Nov 19, 2019",219.99,220.00,216.97,218.09,217.19,1229400
"Nov 18, 2019",218.88,219.37,217.52,219.29,218.38,776600
"Nov 15, 2019",217.93,220.03,217.62,218.88,217.97,1239800
"Nov 14, 2019",216.05,216.82,214.72,216.70,215.80,1032200
"Nov 13, 2019",215.50,217.28,214.85,215.37,214.48,1116100
"Nov 12, 2019",215.70,217.32,214.23,216.88,215.98,875600
"Nov 11, 2019",215.09,217.20,214.78,216.00,215.11,624300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
