Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",66.28,67.46,65.58,66.25,66.25,428100
"Apr 02, 2020",64.97,66.92,63.69,66.73,66.73,718800
"Apr 01, 2020",66.30,67.97,65.19,65.51,65.51,1348300
"Mar 31, 2020",66.04,68.30,65.47,67.86,67.86,1119300
"Mar 30, 2020",63.65,66.88,63.09,66.57,66.57,1159600
"Mar 27, 2020",60.83,64.21,59.78,62.21,62.21,917200
"Mar 26, 2020",61.73,63.49,60.39,61.73,61.73,704100
"Mar 25, 2020",57.20,62.73,56.73,60.44,60.44,1134000
"Mar 24, 2020",54.45,57.17,53.67,56.80,56.80,1341600
"Mar 23, 2020",54.73,55.99,52.23,52.75,52.75,1003200
"Mar 20, 2020",59.03,59.78,54.62,55.33,55.33,752900
"Mar 19, 2020",57.34,59.07,55.81,58.02,58.02,847400
"Mar 18, 2020",55.39,57.35,53.54,57.08,57.08,1634300
"Mar 17, 2020",57.98,58.83,55.49,57.68,57.68,1349100
"Mar 16, 2020",55.00,60.09,53.83,57.41,57.41,1129500
"Mar 13, 2020",63.70,64.66,60.75,64.55,64.55,1131300
"Mar 12, 2020",65.39,65.39,59.40,61.44,61.44,2172100
"Mar 11, 2020",71.52,72.41,68.30,68.92,68.92,927500
"Mar 10, 2020",71.49,72.84,70.75,72.63,72.63,821500
"Mar 09, 2020",71.65,73.36,70.19,70.54,70.54,1033600
"Mar 06, 2020",74.49,75.91,73.28,74.87,74.87,540500
"Mar 05, 2020",76.85,77.86,75.51,75.94,75.94,493800
"Mar 05, 2020",0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend
"Mar 04, 2020",76.89,78.37,76.43,78.34,77.96,424300
"Mar 03, 2020",76.44,78.13,75.66,75.96,75.59,804400
"Mar 02, 2020",74.67,76.34,74.29,76.27,75.90,1059000
"Feb 28, 2020",74.97,76.34,73.26,74.48,74.12,1170700
"Feb 27, 2020",76.73,77.80,75.50,76.32,75.95,889200
"Feb 26, 2020",80.70,81.72,77.48,77.56,77.18,1155600
"Feb 25, 2020",81.33,82.50,79.59,80.65,80.26,1262300
"Feb 24, 2020",79.46,80.51,79.01,80.18,79.79,503400
"Feb 21, 2020",81.00,81.65,80.82,81.08,80.69,323600
"Feb 20, 2020",81.74,81.86,80.05,81.68,81.28,418400
"Feb 19, 2020",81.76,82.17,81.58,82.02,81.62,444700
"Feb 18, 2020",81.86,82.08,81.50,81.54,81.14,235100
"Feb 14, 2020",81.51,82.07,81.51,81.96,81.56,283600
"Feb 13, 2020",81.36,81.93,81.36,81.61,81.21,265200
"Feb 12, 2020",81.40,81.63,80.74,81.46,81.06,278500
"Feb 11, 2020",82.00,82.01,81.16,81.40,81.01,327300
"Feb 10, 2020",81.25,82.00,81.25,81.85,81.45,299200
"Feb 07, 2020",80.89,81.62,80.51,81.25,80.86,282900
"Feb 06, 2020",80.43,81.99,80.43,81.87,81.47,410100
"Feb 05, 2020",81.69,81.69,80.11,80.31,79.92,591800
"Feb 04, 2020",81.46,82.25,81.00,81.52,81.12,313000
"Feb 03, 2020",80.65,81.48,80.24,80.67,80.28,683200
"Jan 31, 2020",80.78,81.30,79.95,80.34,79.95,327900
"Jan 30, 2020",80.24,81.07,79.97,80.97,80.58,254600
"Jan 29, 2020",80.45,80.78,79.73,80.44,80.05,475000
"Jan 28, 2020",79.86,80.58,79.53,80.38,79.99,632600
"Jan 27, 2020",78.39,79.94,78.06,79.79,79.40,732700
"Jan 24, 2020",79.09,79.43,78.87,79.15,78.77,883900
"Jan 23, 2020",78.69,79.24,78.33,78.77,78.39,612600
"Jan 22, 2020",79.00,79.54,78.65,78.79,78.41,442100
"Jan 21, 2020",79.03,79.06,78.50,78.88,78.50,396000
"Jan 17, 2020",78.51,79.04,78.37,78.96,78.58,390600
"Jan 16, 2020",77.95,78.70,77.52,78.64,78.26,804200
"Jan 15, 2020",76.75,77.63,76.71,77.37,76.99,673500
"Jan 14, 2020",76.09,76.91,75.94,76.64,76.27,970400
"Jan 13, 2020",75.21,76.21,74.89,76.19,75.82,397900
