Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",140.87,142.55,136.59,138.57,138.57,4088000
"Apr 02, 2020",135.27,142.37,134.80,141.80,141.80,6009000
"Apr 01, 2020",134.03,137.97,132.50,136.49,136.49,5125600
"Mar 31, 2020",137.72,144.71,137.53,141.04,141.04,4247100
"Mar 30, 2020",137.54,143.31,136.32,140.20,140.20,3309200
"Mar 27, 2020",135.62,143.62,134.16,139.05,139.05,4962400
"Mar 26, 2020",137.03,143.39,134.02,142.49,142.49,6068600
"Mar 25, 2020",127.38,141.09,127.00,132.91,132.91,6923200
"Mar 24, 2020",121.36,130.11,118.80,128.87,128.87,7018900
"Mar 23, 2020",110.39,119.34,109.61,114.04,114.04,6011000
"Mar 20, 2020",124.10,125.75,113.46,117.84,117.84,6668100
"Mar 19, 2020",114.28,123.68,111.68,121.65,121.65,8514300
"Mar 18, 2020",120.77,123.31,105.08,115.08,115.08,10869900
"Mar 17, 2020",127.33,132.71,120.38,128.63,128.63,8021700
"Mar 16, 2020",128.05,135.87,122.30,125.10,125.10,7102700
"Mar 13, 2020",139.55,143.85,134.81,143.85,143.85,7886400
"Mar 12, 2020",130.15,142.18,125.00,132.05,132.05,8805200
"Mar 11, 2020",142.02,143.43,138.91,141.56,141.56,7074800
"Mar 10, 2020",141.83,147.00,139.17,146.82,146.82,8090300
"Mar 09, 2020",145.20,145.58,133.18,135.84,135.84,9400200
"Mar 06, 2020",149.52,156.93,148.88,156.09,156.09,4643300
"Mar 05, 2020",157.64,159.80,153.72,154.96,154.96,4901900
"Mar 04, 2020",159.85,162.98,158.22,162.17,162.17,4415000
"Mar 03, 2020",160.70,167.62,156.35,157.34,157.34,5654000
"Mar 02, 2020",160.59,161.97,155.32,160.34,160.34,7064800
"Feb 28, 2020",155.01,159.98,152.79,159.81,159.81,7060300
"Feb 27, 2020",160.46,165.14,156.32,159.62,159.62,7914700
"Feb 27, 2020",0.97 Dividend,0.97 Dividend,0.97 Dividend,0.97 Dividend,0.97 Dividend,0.97 Dividend
"Feb 26, 2020",169.63,172.82,165.54,165.75,164.78,4921400
"Feb 25, 2020",177.45,178.12,170.01,170.89,169.89,7631700
"Feb 24, 2020",176.19,177.81,174.40,176.80,175.77,6785100
"Feb 21, 2020",182.12,182.83,180.78,181.72,180.66,2890700
"Feb 20, 2020",183.33,184.52,181.66,183.40,182.33,2190900
"Feb 19, 2020",182.98,185.50,182.68,183.50,182.43,2807200
"Feb 18, 2020",183.46,184.49,181.66,182.10,181.03,3164400
"Feb 14, 2020",184.56,185.53,182.65,184.00,182.92,2134800
"Feb 13, 2020",183.96,185.55,183.31,184.64,183.56,1861500
"Feb 12, 2020",184.82,185.96,183.69,184.86,183.78,2612200
"Feb 11, 2020",185.67,185.68,183.10,183.30,182.23,1521700
