Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",92.17,93.40,88.82,90.00,90.00,4471000
"Apr 02, 2020",89.76,93.56,88.35,93.04,93.04,4039900
"Apr 01, 2020",90.91,92.88,89.08,90.39,90.39,5762800
"Mar 31, 2020",96.91,97.31,93.16,93.42,93.42,5391300
"Mar 30, 2020",98.13,98.81,95.91,97.84,97.84,3994200
"Mar 27, 2020",95.60,99.55,95.00,97.52,97.52,4671100
"Mar 26, 2020",94.50,100.03,93.53,99.78,99.78,6373900
"Mar 25, 2020",95.63,97.79,91.05,94.50,94.50,5682000
"Mar 24, 2020",93.93,96.69,92.16,95.26,95.26,6067100
"Mar 23, 2020",94.18,96.13,90.25,91.90,91.90,7117800
"Mar 20, 2020",96.15,97.73,90.91,93.46,93.46,7355300
"Mar 19, 2020",98.67,103.80,95.46,96.25,96.25,7690300
"Mar 18, 2020",91.00,101.85,90.31,99.26,99.26,11152100
"Mar 17, 2020",89.05,97.21,87.79,96.79,96.79,10476100
"Mar 16, 2020",85.86,94.21,85.50,87.06,87.06,9006300
"Mar 13, 2020",91.00,94.60,87.51,94.23,94.23,10918900
"Mar 12, 2020",82.22,92.44,82.00,86.17,86.17,9412800
"Mar 11, 2020",89.82,91.17,87.31,87.99,87.99,5557200
"Mar 10, 2020",90.48,92.95,87.19,92.82,92.82,8914200
"Mar 09, 2020",88.44,92.00,87.10,87.18,87.18,8648300
"Mar 06, 2020",90.27,94.48,90.14,94.00,94.00,5598400
"Mar 05, 2020",92.78,94.25,91.94,92.99,92.99,5277200
"Mar 04, 2020",92.29,95.88,91.43,95.82,95.82,6644800
"Mar 03, 2020",94.86,96.00,90.57,91.30,91.30,9263400
"Mar 02, 2020",92.05,93.14,89.41,92.75,92.75,8738800
"Feb 28, 2020",88.63,91.35,87.67,90.49,90.49,11517400
"Feb 27, 2020",91.51,93.14,89.89,90.24,90.24,9143800
"Feb 26, 2020",95.08,95.39,93.18,93.73,93.73,7411700
"Feb 25, 2020",99.07,99.22,93.22,93.90,93.90,7609100
"Feb 24, 2020",99.76,100.14,97.62,98.49,98.49,7300400
"Feb 24, 2020",1.01 Dividend,1.01 Dividend,1.01 Dividend,1.01 Dividend,1.01 Dividend,1.01 Dividend
"Feb 21, 2020",105.62,105.73,102.75,102.94,101.93,6034600
"Feb 20, 2020",106.48,107.61,105.95,106.48,105.44,3171200
"Feb 19, 2020",106.98,106.98,105.95,106.76,105.71,2663200
"Feb 18, 2020",105.95,106.92,105.70,106.42,105.38,3371600
"Feb 14, 2020",104.99,106.19,104.68,105.95,104.91,2694600
"Feb 13, 2020",104.99,106.13,104.37,105.24,104.21,2768300
"Feb 12, 2020",105.77,106.77,105.49,105.54,104.50,2493300
"Feb 11, 2020",103.42,105.45,103.22,104.87,103.84,2806300
"Feb 10, 2020",103.40,103.75,101.63,103.07,102.06,4669400
"Feb 07, 2020",106.05,106.37,103.00,103.12,102.11,5754400
"Feb 06, 2020",106.60,107.79,105.50,106.51,105.46,3861800
"Feb 05, 2020",104.63,106.59,104.34,106.04,105.00,4439900
"Feb 04, 2020",103.34,103.86,102.62,103.38,102.37,4858700
"Feb 03, 2020",104.16,104.48,101.66,102.03,101.03,5627100
"Jan 31, 2020",107.84,107.90,103.09,103.52,102.50,7234300
"Jan 30, 2020",112.26,113.07,107.34,108.00,106.94,9473000
"Jan 29, 2020",115.76,116.99,115.33,115.76,114.62,2845400
"Jan 28, 2020",115.45,116.36,114.44,115.37,114.24,2039600
"Jan 27, 2020",114.95,115.45,113.35,114.92,113.79,2903800
"Jan 24, 2020",117.04,117.11,115.93,116.66,115.52,2015400
"Jan 23, 2020",117.03,117.12,115.55,116.93,115.78,2493700
"Jan 22, 2020",117.79,119.24,117.25,117.26,116.11,2425300
"Jan 21, 2020",118.21,118.54,116.75,117.39,116.24,2960700
"Jan 17, 2020",118.74,119.24,118.17,118.60,117.44,3403400
"Jan 16, 2020",118.51,119.11,118.10,118.61,117.45,2426800
"Jan 15, 2020",117.51,118.70,117.27,117.93,116.77,3168400
"Jan 14, 2020",116.75,118.18,116.69,117.27,116.12,2598600
"Jan 13, 2020",116.12,117.22,115.90,116.75,115.60,1826200
"Jan 10, 2020",117.07,117.07,115.60,115.87,114.73,2545000
"Jan 09, 2020",117.03,117.83,116.38,116.93,115.78,2151500
"Jan 08, 2020",115.38,117.56,115.32,116.66,115.52,2016000
"Jan 07, 2020",115.86,116.44,115.07,116.00,114.86,1952300
"Jan 06, 2020",115.45,116.23,114.37,116.20,115.06,3381600
"Jan 03, 2020",114.97,116.86,114.84,116.72,115.57,2477800
"Jan 02, 2020",117.68,117.97,115.23,116.79,115.64,4158100
"Dec 31, 2019",116.04,117.09,115.57,117.06,115.91,2875100
"Dec 30, 2019",119.22,119.22,116.25,116.44,115.30,2430700
"Dec 27, 2019",119.45,119.49,118.57,118.94,117.77,1419500
"Dec 26, 2019",119.09,119.23,118.60,119.04,117.87,1274600
"Dec 24, 2019",117.43,118.36,117.34,118.33,117.17,872000
"Dec 23, 2019",118.23,119.42,117.56,118.94,117.77,2047500
"Dec 20, 2019",119.89,119.89,117.33,117.40,116.25,6945000
"Dec 19, 2019",118.36,119.56,118.27,118.56,117.40,3201000
"Dec 18, 2019",118.54,118.75,117.05,117.95,116.79,4957500
"Dec 17, 2019",120.03,121.32,119.55,120.29,119.11,2804800
"Dec 16, 2019",119.12,119.93,118.74,119.12,117.95,2978200
"Dec 13, 2019",118.03,119.63,117.80,118.62,117.46,2968100
"Dec 12, 2019",115.18,117.55,114.78,116.95,115.80,4320600
"Dec 11, 2019",118.54,118.54,116.76,116.79,115.64,3354200
"Dec 10, 2019",118.13,119.37,117.82,118.54,117.38,2438800
"Dec 09, 2019",117.00,118.36,116.56,118.14,116.98,1974100
"Dec 06, 2019",116.00,117.85,116.00,117.53,116.38,2762700
"Dec 05, 2019",116.08,116.40,114.25,115.01,113.88,4889400
"Dec 04, 2019",117.22,118.23,116.38,116.47,115.33,2202200
"Dec 03, 2019",116.83,117.40,115.72,116.93,115.78,2037000
"Dec 02, 2019",120.09,120.66,118.15,118.22,117.06,2438300
"Nov 29, 2019",120.02,120.25,119.62,119.73,118.56,1372000
"Nov 27, 2019",121.44,121.70,119.75,119.87,118.69,1862700
"Nov 26, 2019",120.37,121.68,119.91,121.20,120.01,2872800
"Nov 25, 2019",119.84,120.40,119.25,120.30,119.12,2460400
"Nov 22, 2019",119.96,121.11,119.06,119.32,118.15,2597800
"Nov 21, 2019",118.79,119.71,118.70,119.52,118.35,1994700
"Nov 20, 2019",120.20,120.32,118.83,119.01,117.84,2904600
"Nov 19, 2019",123.46,123.54,120.23,120.54,119.36,3642600
"Nov 18, 2019",123.53,123.75,122.56,122.77,121.57,1772700
"Nov 15, 2019",123.54,124.02,123.05,123.73,122.52,1891000
"Nov 15, 2019",0.96 Dividend,0.96 Dividend,0.96 Dividend,0.96 Dividend,0.96 Dividend,0.96 Dividend
"Nov 14, 2019",122.74,124.23,122.74,124.08,121.91,1580400
"Nov 13, 2019",122.62,123.46,122.03,123.02,120.87,1613600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
