Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 02, 2020",89.63,92.25,85.11,86.01,86.01,13032615
"Apr 01, 2020",89.48,92.00,88.32,91.37,91.37,12371634
"Mar 31, 2020",97.28,99.20,93.87,94.33,94.33,7311350
"Mar 30, 2020",96.08,99.75,94.71,98.49,98.49,7564441
"Mar 27, 2020",98.00,101.73,96.52,97.15,97.15,10148800
"Mar 26, 2020",98.00,104.99,97.00,104.64,104.64,14524600
"Mar 25, 2020",87.88,100.18,86.28,96.19,96.19,12017700
"Mar 24, 2020",80.10,87.45,80.01,86.76,86.76,12845200
"Mar 23, 2020",80.01,80.09,72.30,74.95,74.95,12010400
"Mar 20, 2020",84.85,88.84,73.28,82.53,82.53,14426400
"Mar 19, 2020",79.23,85.50,72.18,83.76,83.76,15841200
"Mar 18, 2020",85.84,85.92,69.02,79.40,79.40,22840000
"Mar 17, 2020",91.06,93.45,82.81,92.84,92.84,16061900
"Mar 16, 2020",95.36,99.14,90.58,90.93,90.93,12326000
"Mar 13, 2020",109.05,110.77,98.55,105.40,105.40,16771300
"Mar 12, 2020",94.12,109.08,92.80,102.50,102.50,19285400
"Mar 11, 2020",115.82,116.83,106.78,107.51,107.51,10287400
"Mar 10, 2020",119.77,120.49,113.53,119.37,119.37,9297700
"Mar 09, 2020",115.42,119.06,112.51,115.36,115.36,8671100
"Mar 06, 2020",121.66,127.13,120.00,126.48,126.48,8568100
"Mar 05, 2020",135.09,135.49,125.21,126.44,126.44,8559800
"Mar 04, 2020",134.44,139.84,132.73,139.04,139.04,5712700
"Mar 03, 2020",133.94,138.19,131.36,132.53,132.53,9090000
"Mar 02, 2020",131.50,134.13,128.25,134.07,134.07,9083600
"Feb 28, 2020",127.14,131.02,125.84,130.59,130.59,12341100
"Feb 27, 2020",135.98,137.46,132.13,132.18,132.18,10197600
"Feb 26, 2020",140.20,143.18,138.09,138.38,138.38,8434100
"Feb 25, 2020",146.91,147.52,138.45,138.81,138.81,7608400
"Feb 24, 2020",147.39,148.17,145.54,146.58,146.58,6413000
"Feb 21, 2020",149.66,151.61,148.72,151.52,151.52,4277500
"Feb 20, 2020",150.39,150.74,147.93,149.90,149.90,3386300
"Feb 19, 2020",151.55,151.97,150.13,150.68,150.68,3360600
"Feb 18, 2020",152.20,152.24,150.36,151.28,151.28,2865500
"Feb 14, 2020",153.08,154.05,152.57,153.46,153.46,3886300
