Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",90.61,91.56,87.96,89.02,89.02,2702600
"Apr 02, 2020",87.60,91.88,87.35,91.14,91.14,3859600
"Apr 01, 2020",90.15,90.30,86.90,88.43,88.43,3437900
"Mar 31, 2020",93.58,93.74,90.82,92.56,92.56,4798600
"Mar 30, 2020",96.14,97.67,92.60,94.60,94.60,3812000
"Mar 27, 2020",95.30,98.35,93.57,95.30,95.30,4126100
"Mar 26, 2020",90.90,98.22,90.75,97.68,97.68,5056600
"Mar 25, 2020",91.86,93.70,85.34,90.94,90.94,6434400
"Mar 24, 2020",91.19,93.57,90.00,92.07,92.07,4782900
"Mar 23, 2020",98.69,99.50,87.08,87.87,87.87,6777400
"Mar 20, 2020",100.10,100.55,96.61,98.31,98.31,6880200
"Mar 19, 2020",101.86,102.64,97.92,99.85,99.85,4052100
"Mar 18, 2020",102.65,105.99,98.86,102.46,102.46,4560200
"Mar 17, 2020",100.72,110.85,100.72,108.93,108.93,5104000
"Mar 16, 2020",90.00,105.69,85.50,99.89,99.89,5165900
"Mar 13, 2020",101.11,105.32,97.36,105.32,105.32,5971400
"Mar 12, 2020",102.95,104.40,97.64,97.74,97.74,5118700
"Mar 11, 2020",110.54,113.70,108.74,109.97,109.97,2750400
"Mar 10, 2020",114.43,115.17,109.37,113.46,113.46,4783300
"Mar 09, 2020",110.16,115.29,109.27,112.07,112.07,3516200
"Mar 06, 2020",114.43,117.61,114.03,117.13,117.13,2701800
"Mar 05, 2020",117.96,120.10,116.81,117.71,117.71,3226100
"Mar 05, 2020",0.545 Dividend,0.545 Dividend,0.545 Dividend,0.545 Dividend,0.545 Dividend,0.545 Dividend
"Mar 04, 2020",116.98,120.55,116.12,120.29,119.75,3474800
"Mar 03, 2020",117.58,119.01,112.34,112.71,112.20,4321500
"Mar 02, 2020",111.84,117.20,111.82,117.03,116.50,4006600
"Feb 28, 2020",111.13,111.98,106.61,110.81,110.31,6445300
"Feb 27, 2020",120.21,121.26,113.52,113.62,113.11,4280200
"Feb 26, 2020",121.61,123.35,120.91,120.93,120.38,2694700
"Feb 25, 2020",124.38,125.76,121.80,121.95,121.40,3080300
"Feb 24, 2020",121.92,124.58,121.66,123.99,123.43,2324900
"Feb 21, 2020",123.96,124.85,123.67,124.56,124.00,2058000
"Feb 20, 2020",124.74,125.28,123.19,124.05,123.49,2352800
"Feb 19, 2020",126.25,126.79,125.22,125.23,124.66,1431500
"Feb 18, 2020",125.74,126.46,125.27,126.22,125.65,2094300
"Feb 14, 2020",124.60,125.75,124.01,125.75,125.18,1299900
"Feb 13, 2020",125.00,125.21,122.91,124.23,123.67,2107100
"Feb 12, 2020",124.55,125.64,123.28,125.61,125.04,2028500
"Feb 11, 2020",125.39,125.47,124.75,124.98,124.41,1504600
"Feb 10, 2020",124.24,125.29,124.11,125.04,124.47,1233900
"Feb 07, 2020",124.13,124.37,123.63,123.91,123.35,1292400
"Feb 06, 2020",123.33,124.14,123.21,123.74,123.18,1171700
"Feb 05, 2020",122.88,123.74,122.46,123.61,123.05,1601300
"Feb 04, 2020",123.31,123.77,122.79,122.86,122.30,1145300
"Feb 03, 2020",122.16,123.23,122.09,122.69,122.13,1246300
"Jan 31, 2020",122.46,123.20,121.09,121.70,121.15,1657500
"Jan 30, 2020",121.05,122.84,120.58,122.76,122.20,1155800
