Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",219.16,223.75,216.82,222.80,222.80,2858000
"Apr 02, 2020",207.00,221.09,205.59,220.75,220.75,3993100
"Apr 01, 2020",205.81,213.40,202.03,206.97,206.97,3772000
"Mar 31, 2020",228.46,230.00,215.92,217.75,217.75,4629900
"Mar 30, 2020",222.68,231.97,221.34,230.58,230.58,2581600
"Mar 27, 2020",216.19,222.04,211.73,218.48,218.48,3367100
"Mar 26, 2020",198.15,226.29,198.00,222.20,222.20,3413500
"Mar 25, 2020",188.90,208.54,186.03,199.26,199.26,3201500
"Mar 24, 2020",187.79,193.85,179.25,190.27,190.27,4221400
"Mar 23, 2020",196.00,196.27,174.32,179.09,179.09,3890100
"Mar 20, 2020",207.00,210.00,192.37,195.39,195.39,3940900
"Mar 19, 2020",217.57,219.78,201.52,209.00,209.00,3847800
"Mar 18, 2020",210.00,235.84,206.17,217.14,217.14,4210000
"Mar 17, 2020",210.17,234.90,203.63,227.53,227.53,4527100
"Mar 16, 2020",206.65,229.81,201.37,202.75,202.75,4093100
"Mar 13, 2020",225.53,241.56,220.02,238.99,238.99,4220300
"Mar 12, 2020",216.29,231.72,204.14,217.83,217.83,4734500
"Mar 11, 2020",237.37,239.19,228.68,232.90,232.90,3360600
"Mar 10, 2020",236.74,244.21,229.85,243.87,243.87,2658300
"Mar 09, 2020",231.43,239.61,225.00,231.86,231.86,3209200
"Mar 06, 2020",243.17,247.58,237.90,246.32,246.32,2693600
"Mar 05, 2020",248.55,250.89,243.53,246.94,246.94,1969400
"Mar 04, 2020",245.58,251.97,245.32,251.66,251.66,2350400
"Mar 03, 2020",240.75,246.84,238.84,242.65,242.65,3502600
"Mar 02, 2020",229.03,240.88,228.08,240.75,240.75,2718500
"Feb 28, 2020",226.70,228.71,218.03,226.80,226.80,5188100
"Feb 27, 2020",239.99,244.89,232.90,232.93,232.93,3168700
"Feb 26, 2020",246.14,248.36,240.00,242.67,242.67,2024600
"Feb 25, 2020",247.92,253.99,244.16,246.14,246.14,2268600
"Feb 24, 2020",244.82,248.77,243.61,245.11,245.11,2329800
"Feb 21, 2020",247.94,248.64,246.80,247.01,247.01,2570200
"Feb 20, 2020",247.98,248.53,244.72,247.54,247.54,2150300
"Feb 19, 2020",251.24,252.39,247.85,248.10,248.10,2618500
"Feb 18, 2020",255.30,255.60,252.68,252.93,252.93,1998500
"Feb 14, 2020",257.00,258.32,255.26,256.25,256.25,1600700
"Feb 13, 2020",255.62,257.43,254.43,256.90,256.90,1146600
"Feb 12, 2020",254.28,256.66,252.08,256.18,256.18,1625400
"Feb 11, 2020",246.55,258.62,246.55,254.27,254.27,3231900
"Feb 10, 2020",239.68,243.88,238.79,243.69,243.69,1576800
"Feb 07, 2020",238.44,239.52,237.81,238.75,238.75,1237500
"Feb 06, 2020",237.18,238.57,236.35,237.81,237.81,1257100
