Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",129.41,133.02,128.54,129.99,129.99,780900
"Apr 02, 2020",129.00,132.43,127.42,131.38,131.38,1229100
"Apr 01, 2020",131.67,133.21,127.57,131.24,131.24,979500
"Mar 31, 2020",140.00,142.74,133.02,137.06,137.06,1869300
"Mar 30, 2020",143.98,145.74,138.75,144.65,144.65,1095400
"Mar 30, 2020",1.03 Dividend,1.03 Dividend,1.03 Dividend,1.03 Dividend,1.03 Dividend,1.03 Dividend
"Mar 27, 2020",137.16,146.55,135.60,143.47,142.44,1533200
"Mar 26, 2020",134.40,142.39,130.80,141.80,140.78,2473900
"Mar 25, 2020",128.27,139.75,127.00,133.40,132.44,1356700
"Mar 24, 2020",119.66,129.70,117.23,129.51,128.58,1061800
"Mar 23, 2020",122.00,122.00,109.22,114.92,114.09,1195400
"Mar 20, 2020",133.58,134.65,121.09,123.31,122.42,2560000
"Mar 19, 2020",130.94,136.37,128.44,132.00,131.05,1116000
"Mar 18, 2020",126.70,134.30,124.03,132.95,132.00,1545000
"Mar 17, 2020",125.39,135.50,120.06,135.18,134.21,1442300
"Mar 16, 2020",134.33,134.33,121.75,122.31,121.43,1603900
"Mar 13, 2020",142.21,148.35,133.45,147.74,146.68,2054300
"Mar 12, 2020",141.72,145.67,136.13,136.39,135.41,1336900
"Mar 11, 2020",153.39,153.86,150.00,151.39,150.30,1048100
"Mar 10, 2020",151.50,157.25,147.97,157.12,155.99,1146800
"Mar 09, 2020",153.36,154.41,147.91,148.30,147.24,1064200
"Mar 06, 2020",158.38,159.94,154.48,159.06,157.92,934700
"Mar 05, 2020",160.76,162.72,158.99,160.94,159.78,834600
"Mar 04, 2020",159.79,163.44,159.33,163.44,162.27,1052700
"Mar 03, 2020",156.35,160.33,154.46,157.75,156.62,1153700
"Mar 02, 2020",152.89,155.95,151.39,155.58,154.46,1201500
"Feb 28, 2020",152.39,153.81,147.83,151.88,150.79,1578000
"Feb 27, 2020",161.44,162.73,154.57,154.68,153.57,1388700
"Feb 26, 2020",164.03,165.18,162.88,163.08,161.91,945800
"Feb 25, 2020",167.02,167.19,163.01,163.65,162.48,763000
"Feb 24, 2020",166.07,167.47,165.24,166.74,165.54,955500
"Feb 21, 2020",168.29,168.72,167.24,167.98,166.77,916200
"Feb 20, 2020",169.00,169.38,168.06,168.72,167.51,770400
