Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",133.66,138.06,130.27,132.22,132.22,1147600
"Apr 02, 2020",135.01,142.09,131.93,135.34,135.34,1555300
"Apr 01, 2020",139.65,140.45,130.79,138.02,138.02,2248000
"Mar 31, 2020",150.43,152.24,142.76,147.17,147.17,2165100
"Mar 30, 2020",160.23,161.64,144.18,152.10,152.10,2100300
"Mar 30, 2020",1.59 Dividend,1.59 Dividend,1.59 Dividend,1.59 Dividend,1.59 Dividend,1.59 Dividend
"Mar 27, 2020",146.01,164.93,145.68,160.27,158.68,1374300
"Mar 26, 2020",140.66,151.92,138.34,151.06,149.56,1761900
"Mar 25, 2020",125.58,149.27,123.70,140.78,139.38,1937900
"Mar 24, 2020",126.19,129.34,123.00,127.46,126.20,2236300
"Mar 23, 2020",131.62,131.62,118.17,121.08,119.88,2070100
"Mar 20, 2020",147.72,150.95,128.58,131.62,130.31,1569000
"Mar 19, 2020",153.49,155.57,145.31,146.57,145.12,1292700
"Mar 18, 2020",169.76,176.75,147.07,153.88,152.35,1562900
"Mar 17, 2020",167.25,182.42,162.06,181.59,179.79,1992200
"Mar 16, 2020",175.84,178.25,163.47,163.47,161.85,1463000
"Mar 13, 2020",189.90,193.93,179.15,193.16,191.24,1343500
"Mar 12, 2020",182.25,196.65,179.12,181.98,180.17,1766900
"Mar 11, 2020",203.22,203.25,195.00,195.85,193.91,1101600
"Mar 10, 2020",201.43,209.00,195.99,208.84,206.77,1354400
"Mar 09, 2020",200.49,203.61,197.17,197.17,195.21,1306000
"Mar 06, 2020",208.47,210.11,202.86,209.06,206.99,919000
"Mar 05, 2020",214.75,216.47,210.73,213.31,211.19,801400
"Mar 04, 2020",211.71,218.03,210.82,217.72,215.56,990200
"Mar 03, 2020",209.67,216.57,207.38,208.73,206.66,1099200
"Mar 02, 2020",201.76,209.67,199.81,209.67,207.59,1275700
"Feb 28, 2020",204.17,204.33,195.57,200.59,198.60,1702900
"Feb 27, 2020",218.83,219.85,207.51,207.67,205.61,1120900
"Feb 26, 2020",221.91,223.22,220.24,221.22,219.03,907500
"Feb 25, 2020",226.68,227.41,220.98,221.41,219.21,855900
"Feb 24, 2020",226.58,229.09,224.50,225.79,223.55,726700
"Feb 21, 2020",226.95,229.06,226.89,228.02,225.76,811800
"Feb 20, 2020",225.51,227.19,225.02,227.15,224.90,779200
"Feb 19, 2020",228.54,229.40,225.74,225.80,223.56,692400
"Feb 18, 2020",228.06,228.22,225.82,228.07,225.81,443500
"Feb 14, 2020",226.18,228.01,225.67,227.53,225.27,456900
"Feb 13, 2020",224.00,226.32,224.00,225.59,223.35,730500
"Feb 12, 2020",222.82,225.22,222.32,224.39,222.16,851500
"Feb 11, 2020",221.50,223.91,221.37,222.88,220.67,814700
"Feb 10, 2020",220.99,221.75,219.11,221.75,219.55,884700
"Feb 07, 2020",219.76,220.12,218.05,219.17,217.00,471500
"Feb 06, 2020",217.61,219.27,215.68,219.13,216.96,569000
"Feb 05, 2020",218.63,219.77,217.45,217.61,215.45,464500
"Feb 04, 2020",216.94,219.67,216.19,218.77,216.60,655700
"Feb 03, 2020",217.32,218.69,216.10,216.69,214.54,499900
"Jan 31, 2020",217.94,219.13,216.04,216.69,214.54,609600
"Jan 30, 2020",215.99,218.35,215.36,218.01,215.85,536500
"Jan 29, 2020",220.03,220.03,216.30,216.62,214.47,734400
"Jan 28, 2020",218.65,220.88,218.04,219.27,217.09,516200
"Jan 27, 2020",218.44,219.42,217.14,218.86,216.69,786500
"Jan 24, 2020",218.83,219.40,217.66,219.33,217.15,566900
"Jan 23, 2020",216.86,218.71,216.01,218.49,216.32,554300
"Jan 22, 2020",219.85,220.70,215.81,216.64,214.49,718900
"Jan 21, 2020",216.42,219.41,216.29,219.30,217.12,730100
"Jan 17, 2020",215.26,216.85,214.66,216.07,213.93,1213300
"Jan 16, 2020",212.20,214.94,211.34,214.89,212.76,545200
"Jan 15, 2020",211.60,212.45,210.53,211.90,209.80,796600
"Jan 14, 2020",210.21,210.21,207.83,209.51,207.43,550600
"Jan 13, 2020",208.23,211.03,208.23,211.02,208.93,490200
"Jan 10, 2020",206.78,208.87,206.26,208.45,206.38,736100
"Jan 09, 2020",205.48,206.88,204.91,206.35,204.30,738800
"Jan 08, 2020",205.29,206.83,204.56,205.87,203.83,872300
"Jan 07, 2020",208.19,208.58,204.78,205.02,202.99,850500
"Jan 06, 2020",209.06,209.87,208.24,209.58,207.50,602000
"Jan 03, 2020",206.38,209.57,206.31,209.23,207.15,672100
"Jan 02, 2020",210.46,210.91,206.07,207.24,205.18,817400
"Dec 31, 2019",207.47,209.73,207.19,209.70,207.62,576000
"Dec 30, 2019",206.66,208.71,206.51,207.62,205.56,492200
"Dec 30, 2019",1.52 Dividend,1.52 Dividend,1.52 Dividend,1.52 Dividend,1.52 Dividend,1.52 Dividend
"Dec 27, 2019",209.31,209.86,207.93,208.84,205.26,356700
"Dec 26, 2019",208.49,208.89,207.09,208.32,204.75,275600
"Dec 24, 2019",207.52,208.21,206.74,207.94,204.38,112700
"Dec 23, 2019",208.96,209.08,206.66,207.09,203.54,413000
"Dec 20, 2019",208.05,209.40,207.66,208.01,204.45,1481400
"Dec 19, 2019",207.66,208.82,207.15,207.74,204.18,798200
"Dec 18, 2019",207.60,208.22,206.08,207.47,203.92,669100
"Dec 17, 2019",209.56,210.00,206.30,206.64,203.10,561900
"Dec 16, 2019",208.73,209.96,207.04,209.37,205.78,723200
"Dec 13, 2019",209.33,210.83,206.29,208.64,205.07,599100
"Dec 12, 2019",211.72,212.80,208.13,209.16,205.58,763300
"Dec 11, 2019",215.57,215.98,211.56,212.07,208.44,406700
"Dec 10, 2019",215.91,216.84,213.32,215.28,211.59,388900
"Dec 09, 2019",216.16,216.16,213.98,215.91,212.21,370400
"Dec 06, 2019",215.96,216.67,214.82,215.94,212.24,468700
"Dec 05, 2019",214.65,216.07,213.57,215.91,212.21,699600
"Dec 04, 2019",212.75,215.88,212.75,215.32,211.63,618200
"Dec 03, 2019",210.95,213.78,210.50,213.50,209.84,766900
"Dec 02, 2019",214.42,214.94,210.96,211.20,207.58,578300
"Nov 29, 2019",215.27,217.21,213.90,214.41,210.74,292500
"Nov 27, 2019",215.61,215.63,214.00,215.57,211.88,556300
"Nov 26, 2019",212.51,215.61,212.16,215.61,211.92,1026300
"Nov 25, 2019",212.11,213.95,211.49,212.15,208.52,583600
"Nov 22, 2019",212.86,213.73,210.53,211.28,207.66,397100
"Nov 21, 2019",215.86,215.86,212.43,212.69,209.05,349500
"Nov 20, 2019",217.58,218.22,215.97,216.36,212.65,432200
"Nov 19, 2019",216.60,217.61,215.20,217.06,213.34,421600
"Nov 18, 2019",215.12,216.82,214.80,215.27,211.58,335400
"Nov 15, 2019",212.65,214.53,212.12,214.53,210.86,530900
"Nov 14, 2019",212.12,213.15,211.53,212.62,208.98,471500
"Nov 13, 2019",209.67,212.56,208.74,211.59,207.97,474500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
