Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",81.91,85.23,80.73,83.04,83.04,1855300
"Apr 02, 2020",83.81,87.47,79.91,82.69,82.69,1902000
"Apr 01, 2020",87.54,88.76,82.59,85.25,85.25,1626300
"Mar 31, 2020",92.04,93.87,89.05,92.23,92.23,1526900
"Mar 30, 2020",93.92,96.08,89.00,92.96,92.96,1625700
"Mar 30, 2020",0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend
"Mar 27, 2020",89.46,96.88,87.01,93.82,92.84,1689200
"Mar 26, 2020",91.96,93.42,89.25,92.90,91.93,1698900
"Mar 25, 2020",87.99,97.77,86.64,90.86,89.91,2039300
"Mar 24, 2020",81.00,88.34,78.27,87.59,86.68,1897500
"Mar 23, 2020",82.00,83.94,77.21,77.93,77.12,2675400
"Mar 20, 2020",86.84,95.84,80.63,82.00,81.14,2424000
"Mar 19, 2020",86.21,88.83,82.72,85.57,84.68,1519100
"Mar 18, 2020",97.06,99.77,85.53,88.21,87.29,1498100
"Mar 17, 2020",99.30,109.40,94.24,105.84,104.73,1623400
"Mar 16, 2020",106.53,110.67,96.69,96.93,95.92,1617000
"Mar 13, 2020",118.09,118.24,111.69,117.06,115.84,1659000
"Mar 12, 2020",112.69,117.45,108.11,111.89,110.72,1870500
"Mar 11, 2020",126.72,127.18,120.17,121.29,120.02,1314000
"Mar 10, 2020",126.64,130.38,123.14,130.27,128.91,1588500
"Mar 09, 2020",124.22,127.27,121.27,122.86,121.58,1695300
"Mar 06, 2020",133.15,134.17,128.23,132.58,131.20,1041900
"Mar 05, 2020",135.94,137.82,134.08,136.73,135.30,857100
"Mar 04, 2020",134.77,138.38,134.08,138.12,136.68,834600
"Mar 03, 2020",134.42,137.42,131.86,132.90,131.51,1148400
"Mar 02, 2020",129.63,134.55,128.43,134.54,133.13,1327900
"Feb 28, 2020",125.78,128.95,123.10,128.94,127.59,2158400
"Feb 27, 2020",134.49,135.29,128.24,128.25,126.91,1186500
"Feb 26, 2020",137.24,137.79,135.38,135.41,134.00,1230600
"Feb 25, 2020",144.46,144.51,136.46,136.75,135.32,1064700
"Feb 24, 2020",144.17,145.35,143.69,144.35,142.84,792800
"Feb 21, 2020",146.47,146.95,145.27,145.78,144.26,811600
"Feb 20, 2020",144.97,147.01,144.70,146.92,145.39,527200
"Feb 19, 2020",147.79,147.83,144.88,144.90,143.39,680300
"Feb 18, 2020",147.50,147.51,146.00,147.51,145.97,524900
"Feb 14, 2020",145.78,147.28,145.37,147.23,145.69,616800
"Feb 13, 2020",144.72,146.04,144.72,145.58,144.06,492500
"Feb 12, 2020",144.43,145.72,143.82,145.02,143.51,563600
"Feb 11, 2020",143.39,144.49,143.39,144.22,142.71,517700
"Feb 10, 2020",142.96,143.56,142.21,143.16,141.66,844800
"Feb 07, 2020",144.28,144.30,142.20,142.71,141.22,641300
"Feb 06, 2020",145.39,146.00,143.93,144.38,142.87,897900
"Feb 05, 2020",144.93,146.07,144.29,145.06,143.54,595800
"Feb 04, 2020",143.61,145.44,143.37,144.56,143.05,939000
"Feb 03, 2020",144.00,144.79,143.04,143.17,141.67,771400
"Jan 31, 2020",143.33,144.34,142.89,143.35,141.85,917000
"Jan 30, 2020",142.53,143.64,141.86,143.59,142.09,753900
"Jan 29, 2020",141.93,143.93,139.72,142.93,141.44,913400
"Jan 28, 2020",141.36,142.52,141.02,141.18,139.71,786000
"Jan 27, 2020",141.21,141.74,140.70,141.04,139.57,600700
"Jan 24, 2020",142.10,142.24,141.16,142.01,140.53,449600
"Jan 23, 2020",139.81,142.20,138.85,142.14,140.66,559800
"Jan 22, 2020",141.00,141.15,139.37,139.90,138.44,481100
"Jan 21, 2020",139.56,140.81,138.92,140.36,138.89,609000
"Jan 17, 2020",139.63,140.73,139.09,139.56,138.10,791800
"Jan 16, 2020",137.69,139.29,137.45,139.28,137.83,430200
"Jan 15, 2020",136.82,137.73,135.92,137.33,135.90,540800
"Jan 14, 2020",136.68,136.68,135.20,136.40,134.98,468400
"Jan 13, 2020",135.20,136.96,135.00,136.77,135.34,523800
"Jan 10, 2020",134.69,135.55,134.30,135.08,133.67,498600
"Jan 09, 2020",134.55,135.42,134.16,134.56,133.15,652300
"Jan 08, 2020",135.52,135.82,133.71,134.49,133.09,628600
"Jan 07, 2020",136.72,137.21,134.62,135.21,133.80,619800
"Jan 06, 2020",137.06,138.15,135.79,137.60,136.16,587100
"Jan 03, 2020",134.42,136.87,134.42,136.64,135.21,456800
"Jan 02, 2020",138.30,138.54,135.13,135.58,134.16,605700
"Dec 31, 2019",136.42,137.86,136.42,137.86,136.42,458700
"Dec 30, 2019",136.75,137.17,136.15,136.67,135.24,277600
"Dec 30, 2019",0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend,0.98 Dividend
"Dec 27, 2019",137.57,137.68,136.68,137.68,135.27,325800
"Dec 26, 2019",136.41,137.16,135.81,137.14,134.74,222800
"Dec 24, 2019",136.07,136.88,135.72,135.94,133.56,132900
"Dec 23, 2019",136.16,136.54,135.22,135.81,133.43,565200
"Dec 20, 2019",136.47,136.68,135.78,135.78,133.41,1230800
"Dec 19, 2019",135.28,136.58,134.91,135.69,133.32,656100
"Dec 18, 2019",134.27,136.10,133.60,135.46,133.09,956800
"Dec 17, 2019",136.25,136.32,134.05,134.47,132.12,731300
"Dec 16, 2019",135.69,135.92,134.28,135.65,133.28,530000
"Dec 13, 2019",135.63,136.16,133.78,135.11,132.75,841500
"Dec 12, 2019",137.50,137.63,134.49,135.13,132.77,927300
"Dec 11, 2019",139.98,139.98,136.74,137.29,134.89,653000
"Dec 10, 2019",140.04,140.12,138.73,139.61,137.17,451700
"Dec 09, 2019",139.36,140.16,138.82,139.87,137.42,519500
"Dec 06, 2019",139.28,140.30,139.06,139.28,136.84,579800
"Dec 05, 2019",137.83,139.14,137.67,139.12,136.69,436600
"Dec 04, 2019",138.39,139.89,137.97,138.00,135.59,493600
"Dec 03, 2019",136.56,138.63,136.56,138.47,136.05,379800
"Dec 02, 2019",138.44,138.47,136.73,136.87,134.48,507100
"Nov 29, 2019",138.76,139.38,138.46,138.54,136.12,343700
"Nov 27, 2019",138.45,139.11,137.68,139.01,136.58,348500
"Nov 26, 2019",137.43,138.86,137.25,138.51,136.09,532100
"Nov 25, 2019",138.45,139.64,137.49,137.54,135.13,348500
"Nov 22, 2019",137.27,138.57,135.90,137.59,135.18,448900
"Nov 21, 2019",137.71,137.71,136.10,136.75,134.36,335500
"Nov 20, 2019",138.25,138.25,136.96,138.05,135.64,336800
"Nov 19, 2019",139.41,139.41,137.22,138.27,135.85,386500
"Nov 18, 2019",137.89,138.75,137.00,138.70,136.27,489600
"Nov 15, 2019",138.07,138.72,137.40,137.56,135.15,490300
"Nov 14, 2019",136.96,137.86,136.61,137.81,135.40,579100
"Nov 13, 2019",135.43,137.01,135.42,136.71,134.32,559900
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
