Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",144.85,147.53,142.61,145.62,145.62,2116200
"Apr 02, 2020",137.50,146.97,136.06,146.37,146.37,3240000
"Apr 01, 2020",137.67,140.23,133.80,137.59,137.59,2519000
"Mar 31, 2020",145.95,147.81,141.79,144.40,144.40,3078400
"Mar 30, 2020",140.50,148.66,139.30,148.06,148.06,2934600
"Mar 27, 2020",139.42,141.80,135.17,136.89,136.89,3220000
"Mar 26, 2020",128.00,143.74,128.00,142.47,142.47,4092400
"Mar 25, 2020",122.97,134.98,121.67,127.96,127.96,3121700
"Mar 24, 2020",121.83,124.40,114.18,123.71,123.71,4397100
"Mar 23, 2020",126.80,128.69,115.65,116.98,116.98,4029300
"Mar 20, 2020",129.31,136.50,125.60,128.06,128.06,5346100
"Mar 19, 2020",137.91,138.12,127.25,130.75,130.75,4548200
"Mar 18, 2020",141.16,148.68,131.11,138.31,138.31,4357000
"Mar 17, 2020",138.70,153.26,138.21,146.87,146.87,4441300
"Mar 16, 2020",138.93,147.36,135.03,135.82,135.82,3833900
"Mar 13, 2020",149.63,158.00,143.17,155.09,155.09,3769000
"Mar 12, 2020",143.19,150.35,132.69,142.51,142.51,3854100
"Mar 12, 2020",1.2 Dividend,1.2 Dividend,1.2 Dividend,1.2 Dividend,1.2 Dividend,1.2 Dividend
"Mar 11, 2020",155.08,156.11,151.29,153.85,152.65,3287100
"Mar 10, 2020",153.61,159.43,148.64,159.35,158.11,2944400
"Mar 09, 2020",152.98,155.26,148.82,150.28,149.11,3291300
"Mar 06, 2020",159.26,161.59,154.73,160.82,159.57,3109400
"Mar 05, 2020",160.81,164.12,160.10,162.24,160.97,2513900
"Mar 04, 2020",160.62,164.22,158.45,163.56,162.28,2384700
"Mar 03, 2020",156.83,162.49,155.67,158.13,156.90,4248500
"Mar 02, 2020",143.93,156.52,143.82,156.24,155.02,4077800
"Feb 28, 2020",145.13,147.97,140.71,143.29,142.17,6204100
"Feb 27, 2020",148.74,156.25,147.00,148.40,147.24,5822200
"Feb 26, 2020",163.74,165.17,162.33,162.69,161.42,2293700
"Feb 25, 2020",167.05,167.92,162.43,163.02,161.75,2038500
"Feb 24, 2020",165.35,168.49,163.50,166.36,165.06,2092400
"Feb 21, 2020",166.66,168.75,165.91,168.06,166.75,3006000
"Feb 20, 2020",165.87,167.94,165.41,166.99,165.69,2180300
"Feb 19, 2020",166.27,166.85,164.52,165.60,164.31,1211500
"Feb 18, 2020",166.05,166.26,164.88,166.21,164.91,1275300
"Feb 14, 2020",164.47,166.40,164.01,165.97,164.68,1424600
"Feb 13, 2020",163.06,164.22,162.33,163.92,162.64,1202800
"Feb 12, 2020",160.83,163.44,158.80,163.21,161.94,1969900
"Feb 11, 2020",154.34,163.51,153.37,161.03,159.77,3488200
"Feb 10, 2020",151.06,153.00,150.89,152.92,151.73,1583600
"Feb 07, 2020",151.06,151.06,150.43,150.49,149.32,1119300
"Feb 06, 2020",150.13,151.21,149.41,150.50,149.33,1005100
"Feb 05, 2020",150.27,150.76,149.31,149.96,148.79,1257900
"Feb 04, 2020",149.63,151.86,148.90,150.45,149.28,1264700
"Feb 03, 2020",150.68,150.93,148.94,149.19,148.03,1225000
"Jan 31, 2020",151.06,151.79,148.72,149.84,148.67,1293900
"Jan 30, 2020",148.63,151.24,148.58,151.13,149.95,968300
"Jan 29, 2020",151.80,151.97,148.91,149.05,147.89,1519400
"Jan 28, 2020",150.15,151.78,149.73,151.73,150.55,1539100
"Jan 27, 2020",149.33,150.41,148.59,150.30,149.13,1363900
"Jan 24, 2020",150.00,150.71,149.26,149.90,148.73,868100
