Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",533.40,548.16,520.17,526.75,526.75,250100
"Apr 02, 2020",528.58,541.46,520.30,537.70,537.70,468800
"Apr 01, 2020",568.79,580.10,536.52,539.60,539.60,466400
"Mar 31, 2020",593.97,606.99,580.11,587.21,587.21,345800
"Mar 30, 2020",590.41,608.98,588.22,599.99,599.99,311800
"Mar 27, 2020",568.05,597.12,552.80,580.99,580.99,264400
"Mar 26, 2020",547.76,585.75,537.76,583.18,583.18,311600
"Mar 25, 2020",546.84,555.98,517.16,540.24,540.24,453000
"Mar 24, 2020",544.92,548.78,519.48,540.65,540.65,372500
"Mar 23, 2020",552.44,566.48,500.24,523.37,523.37,386100
"Mar 20, 2020",577.17,594.70,536.02,550.96,550.96,386900
"Mar 19, 2020",553.12,577.80,540.00,560.01,560.01,260900
"Mar 18, 2020",558.24,572.67,531.23,558.80,558.80,571000
"Mar 17, 2020",598.06,611.19,561.66,594.71,594.71,448800
"Mar 16, 2020",596.72,629.65,583.94,587.58,587.58,404000
"Mar 13, 2020",639.86,667.56,614.69,663.93,663.93,495000
"Mar 12, 2020",625.00,670.00,600.35,612.93,612.93,534300
"Mar 11, 2020",672.90,687.84,644.30,651.35,651.35,266900
"Mar 10, 2020",685.92,695.34,663.63,694.01,694.01,270200
"Mar 09, 2020",660.94,691.14,649.17,666.91,666.91,318600
"Mar 06, 2020",692.47,710.90,684.04,707.24,707.24,258800
"Mar 05, 2020",716.58,731.53,710.14,717.39,717.39,279100
"Mar 04, 2020",700.31,735.93,697.36,735.00,735.00,402600
"Mar 03, 2020",703.20,712.75,680.88,690.09,690.09,208700
"Mar 02, 2020",662.43,711.27,650.86,705.80,705.80,426200
"Feb 28, 2020",647.30,669.86,643.02,667.59,667.59,455700
"Feb 27, 2020",670.26,697.34,667.35,669.11,669.11,370600
"Feb 26, 2020",706.57,715.70,676.81,682.34,682.34,723500
"Feb 25, 2020",711.31,715.91,692.27,698.25,698.25,494100
"Feb 24, 2020",702.50,714.79,684.91,706.94,706.94,287200
"Feb 21, 2020",719.03,723.15,709.70,716.24,716.24,248500
"Feb 20, 2020",735.59,740.73,708.74,721.51,721.51,312500
"Feb 19, 2020",739.64,744.95,733.68,737.86,737.86,300900
"Feb 18, 2020",732.37,736.36,729.04,735.83,735.83,291000
"Feb 14, 2020",733.27,734.49,721.88,731.37,731.37,214800
"Feb 13, 2020",739.71,739.87,727.40,729.80,729.80,363400
"Feb 12, 2020",704.99,746.70,695.01,740.12,740.12,735100
"Feb 11, 2020",674.00,679.25,663.98,668.29,668.29,150200
"Feb 10, 2020",665.89,673.42,663.45,672.51,672.51,158900
"Feb 07, 2020",666.67,672.00,659.12,666.49,666.49,113600
"Feb 06, 2020",667.90,680.99,664.68,666.52,666.52,255800
"Feb 05, 2020",693.90,699.23,663.62,665.46,665.46,322400
"Feb 04, 2020",665.93,685.76,663.05,685.65,685.65,358700
"Feb 03, 2020",658.48,668.93,657.04,659.81,659.81,404200
"Jan 31, 2020",656.80,661.26,650.11,652.99,652.99,174600
"Jan 30, 2020",652.60,661.95,652.60,660.02,660.02,93900
"Jan 29, 2020",661.97,666.14,654.48,657.59,657.59,113800
"Jan 28, 2020",655.80,663.73,650.32,659.93,659.93,186100
"Jan 27, 2020",641.40,654.75,639.46,652.48,652.48,224100
"Jan 24, 2020",650.16,658.71,646.57,650.65,650.65,168700
"Jan 23, 2020",663.33,663.75,644.48,646.41,646.41,357900
"Jan 22, 2020",664.00,670.60,663.65,669.59,669.59,267900
"Jan 21, 2020",648.31,661.49,648.12,660.38,660.38,276100
"Jan 17, 2020",659.00,659.00,646.14,649.63,649.63,250500
"Jan 16, 2020",650.00,655.47,647.09,651.96,651.96,194800
"Jan 15, 2020",639.88,654.62,639.88,648.99,648.99,196500
"Jan 14, 2020",642.70,644.53,633.10,639.91,639.91,147400
"Jan 13, 2020",645.50,648.91,641.02,642.74,642.74,199300
"Jan 10, 2020",634.62,647.32,629.90,645.13,645.13,251300
"Jan 09, 2020",629.43,637.01,627.00,629.69,629.69,209000
"Jan 08, 2020",621.31,628.65,618.70,625.38,625.38,230500
"Jan 07, 2020",625.65,627.36,618.31,620.03,620.03,233000
"Jan 06, 2020",623.44,625.63,616.03,624.50,624.50,188000
"Jan 03, 2020",615.42,626.78,613.62,626.20,626.20,209600
"Jan 02, 2020",605.04,621.13,603.54,620.66,620.66,316200
"Dec 31, 2019",594.26,600.88,590.17,598.30,598.30,189200
"Dec 30, 2019",600.75,600.75,588.78,596.88,596.88,152600
"Dec 27, 2019",602.90,607.42,595.02,598.59,598.59,137900
"Dec 26, 2019",599.80,604.04,596.66,601.49,601.49,140800
"Dec 24, 2019",601.43,601.57,592.58,600.27,600.27,64100
"Dec 23, 2019",606.53,608.29,597.91,601.84,601.84,185100
"Dec 20, 2019",593.18,606.22,589.76,604.37,604.37,1366600
"Dec 19, 2019",585.19,599.78,580.01,591.53,591.53,329400
"Dec 18, 2019",596.26,598.85,579.37,585.80,585.80,249700
"Dec 17, 2019",589.80,595.57,586.92,594.00,594.00,223700
"Dec 16, 2019",580.50,595.01,580.50,589.37,589.37,292900
"Dec 13, 2019",568.21,581.49,568.21,580.56,580.56,314000
"Dec 12, 2019",580.00,585.03,566.63,568.24,568.24,384700
"Dec 11, 2019",580.74,585.22,572.34,580.57,580.57,216800
"Dec 10, 2019",594.37,598.99,579.91,581.69,581.69,218700
"Dec 09, 2019",589.53,596.09,588.92,594.92,594.92,261700
"Dec 06, 2019",596.89,603.87,589.00,590.88,590.88,519800
"Dec 05, 2019",587.09,594.75,587.09,591.29,591.29,253100
"Dec 04, 2019",593.04,598.48,585.81,585.98,585.98,243500
