Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.60,24.89,24.60,24.89,24.89,414365
"Apr 02, 2020",24.68,24.91,24.50,24.81,24.81,21386
"Apr 01, 2020",24.85,25.02,24.61,24.90,24.90,24975
"Mar 31, 2020",25.16,25.34,24.98,25.19,25.19,25296
"Mar 30, 2020",24.71,25.16,24.50,24.98,24.98,62038
"Mar 27, 2020",24.50,24.89,24.34,24.71,24.71,71629
"Mar 26, 2020",25.80,25.80,24.85,24.86,24.86,98641
"Mar 25, 2020",24.25,25.85,24.21,25.45,25.45,28976
"Mar 24, 2020",22.50,24.33,22.50,24.25,24.25,48402
"Mar 23, 2020",22.62,22.85,21.03,21.50,21.50,34829
"Mar 20, 2020",22.44,24.80,22.44,22.61,22.61,19367
"Mar 19, 2020",19.89,22.45,19.05,22.23,22.23,50263
"Mar 18, 2020",24.65,24.84,17.70,20.08,20.08,49680
"Mar 17, 2020",24.35,25.13,23.94,25.10,25.10,117749
"Mar 16, 2020",24.50,25.32,24.18,24.35,24.35,47220
"Mar 16, 2020",0.414063 Dividend,0.414063 Dividend,0.414063 Dividend,0.414063 Dividend,0.414063 Dividend,0.414063 Dividend
"Mar 13, 2020",25.12,25.83,24.76,25.83,25.42,29618
"Mar 12, 2020",25.35,25.55,24.41,24.58,24.19,115917
"Mar 11, 2020",25.56,25.71,25.40,25.61,25.20,10220
"Mar 10, 2020",25.65,26.09,25.38,25.61,25.20,44176
"Mar 09, 2020",26.00,26.08,24.74,25.28,24.87,36233
"Mar 06, 2020",26.40,26.41,26.15,26.21,25.79,85090
"Mar 05, 2020",26.98,27.09,26.88,26.90,26.47,10885
"Mar 04, 2020",26.52,26.98,26.52,26.97,26.54,2951
"Mar 03, 2020",26.63,26.95,26.50,26.64,26.21,9128
"Mar 02, 2020",26.50,26.99,26.42,26.99,26.56,9851
"Feb 28, 2020",26.07,26.77,25.95,26.73,26.30,120167
"Feb 27, 2020",25.90,26.74,25.90,26.50,26.08,4189
"Feb 26, 2020",26.49,26.65,26.45,26.65,26.22,11932
"Feb 25, 2020",26.70,26.79,26.30,26.45,26.03,23437
"Feb 24, 2020",26.73,26.86,26.72,26.72,26.29,9858
"Feb 21, 2020",26.84,26.94,26.81,26.90,26.47,5812
"Feb 20, 2020",26.89,27.00,26.84,26.97,26.54,25907
"Feb 19, 2020",27.15,27.15,26.79,26.79,26.36,16102
"Feb 18, 2020",26.88,26.99,26.88,26.96,26.53,5715
"Feb 14, 2020",26.87,27.15,26.87,26.98,26.54,5202
"Feb 13, 2020",27.09,27.09,26.90,26.94,26.51,5041
"Feb 12, 2020",26.91,27.15,26.91,26.94,26.51,44488
"Feb 11, 2020",27.01,27.11,27.01,27.03,26.59,17107
"Feb 10, 2020",27.06,27.17,27.05,27.06,26.63,7502
"Feb 07, 2020",27.23,27.23,27.08,27.11,26.68,11924
"Feb 06, 2020",27.07,27.17,27.05,27.10,26.67,4028
"Feb 05, 2020",27.18,27.26,27.14,27.14,26.70,5884
"Feb 04, 2020",27.09,27.17,27.05,27.13,26.70,4845
"Feb 03, 2020",26.77,27.28,26.77,27.09,26.66,4784
"Jan 31, 2020",26.72,27.00,26.72,26.86,26.43,10337
"Jan 30, 2020",26.67,26.82,26.67,26.82,26.39,3232
"Jan 29, 2020",26.69,26.76,26.65,26.72,26.29,6371
"Jan 28, 2020",26.73,26.79,26.68,26.68,26.25,7259
"Jan 27, 2020",26.66,26.81,26.65,26.80,26.37,8218
"Jan 24, 2020",26.71,26.79,26.69,26.72,26.29,6548
"Jan 23, 2020",26.79,26.79,26.63,26.63,26.20,6713
"Jan 22, 2020",26.65,26.79,26.65,26.79,26.36,4462
"Jan 21, 2020",26.78,26.78,26.64,26.64,26.21,6838
"Jan 17, 2020",26.79,26.79,26.68,26.71,26.29,5154
"Jan 16, 2020",26.63,26.77,26.63,26.66,26.23,5980
"Jan 15, 2020",26.65,26.80,26.65,26.74,26.31,9030
"Jan 14, 2020",26.80,26.80,26.62,26.78,26.35,4153
"Jan 13, 2020",26.74,26.80,26.72,26.75,26.32,9015
"Jan 10, 2020",26.74,26.74,26.67,26.72,26.29,7027
"Jan 09, 2020",26.86,26.86,26.68,26.74,26.31,9348
"Jan 08, 2020",26.77,26.85,26.74,26.83,26.40,20793
"Jan 07, 2020",26.73,26.73,26.66,26.68,26.25,7116
"Jan 06, 2020",26.74,26.74,26.68,26.73,26.30,5925
"Jan 03, 2020",26.68,26.79,26.68,26.72,26.29,10475
"Jan 02, 2020",26.42,26.65,26.40,26.62,26.19,23436
"Dec 31, 2019",26.55,26.55,26.34,26.34,25.92,20133
"Dec 30, 2019",26.59,26.59,26.45,26.50,26.08,10197
"Dec 27, 2019",26.80,26.80,26.56,26.56,26.13,11952
"Dec 26, 2019",26.62,26.79,26.62,26.79,26.36,3054
"Dec 24, 2019",26.67,26.80,26.67,26.77,26.34,3215
"Dec 23, 2019",26.72,26.80,26.67,26.78,26.35,7672
"Dec 20, 2019",26.76,26.76,26.58,26.58,26.15,12787
"Dec 19, 2019",26.63,26.70,26.62,26.69,26.26,6320
"Dec 18, 2019",26.63,26.63,26.53,26.60,26.18,16504
"Dec 17, 2019",26.60,26.63,26.52,26.58,26.15,4880
"Dec 16, 2019",26.44,26.70,26.39,26.60,26.18,101831
