Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",23.65,23.95,23.26,23.50,23.50,21911
"Apr 02, 2020",23.95,24.01,23.45,23.85,23.85,24066
"Apr 01, 2020",24.04,24.04,23.40,24.00,24.00,34374
"Mar 31, 2020",24.25,24.50,24.08,24.27,24.27,45022
"Mar 30, 2020",23.96,24.25,23.52,24.21,24.21,44762
"Mar 27, 2020",24.17,24.30,23.71,24.08,24.08,34718
"Mar 26, 2020",23.69,24.40,23.51,24.40,24.40,65959
"Mar 25, 2020",22.28,23.97,21.70,23.50,23.50,79986
"Mar 24, 2020",20.05,21.89,20.05,21.29,21.29,39642
"Mar 23, 2020",20.33,21.20,18.80,19.55,19.55,90141
"Mar 20, 2020",21.00,23.86,20.56,21.23,21.23,83325
"Mar 19, 2020",17.34,20.50,17.20,20.27,20.27,157858
"Mar 18, 2020",21.73,21.80,15.29,17.35,17.35,77644
"Mar 17, 2020",22.42,22.76,21.23,22.50,22.50,77457
"Mar 16, 2020",23.47,23.69,21.02,22.42,22.42,67433
"Mar 16, 2020",0.367188 Dividend,0.367188 Dividend,0.367188 Dividend,0.367188 Dividend,0.367188 Dividend,0.367188 Dividend
"Mar 13, 2020",24.08,24.39,23.75,24.36,23.99,39782
"Mar 12, 2020",24.86,24.97,22.92,23.75,23.39,68285
"Mar 11, 2020",25.28,25.40,25.16,25.20,24.82,24592
"Mar 10, 2020",25.40,25.67,25.30,25.32,24.94,18491
"Mar 09, 2020",25.18,25.40,24.78,25.30,24.91,48112
"Mar 06, 2020",25.49,25.79,25.41,25.41,25.03,13348
"Mar 05, 2020",25.52,25.67,25.45,25.60,25.21,6935
"Mar 04, 2020",25.48,25.79,25.48,25.79,25.40,8168
"Mar 03, 2020",25.61,25.82,25.41,25.50,25.11,16368
"Mar 02, 2020",25.37,25.62,25.31,25.53,25.15,23088
"Feb 28, 2020",25.52,25.64,25.35,25.35,24.97,30305
"Feb 27, 2020",25.44,25.88,25.28,25.70,25.31,21831
"Feb 26, 2020",25.73,25.81,25.50,25.74,25.35,13803
"Feb 25, 2020",25.87,25.87,25.50,25.50,25.12,19848
"Feb 24, 2020",25.79,25.84,25.70,25.70,25.31,9838
"Feb 21, 2020",25.80,25.95,25.80,25.81,25.42,8071
"Feb 20, 2020",25.73,25.88,25.73,25.88,25.49,8889
"Feb 19, 2020",25.86,25.92,25.72,25.72,25.33,21751
"Feb 18, 2020",25.92,25.99,25.92,25.97,25.58,3774
"Feb 14, 2020",25.95,26.08,25.95,26.00,25.60,6219
"Feb 13, 2020",26.03,26.05,26.01,26.01,25.62,3246
"Feb 12, 2020",25.93,26.04,25.93,25.93,25.54,14338
"Feb 11, 2020",26.02,26.09,25.97,26.02,25.63,6002
"Feb 10, 2020",25.99,26.13,25.90,25.95,25.56,63764
"Feb 07, 2020",25.93,26.02,25.91,25.97,25.58,8771
"Feb 06, 2020",25.93,25.93,25.92,25.93,25.54,8039
"Feb 05, 2020",25.80,25.93,25.80,25.93,25.54,9062
"Feb 04, 2020",25.80,25.92,25.80,25.92,25.53,8180
"Feb 03, 2020",25.74,25.87,25.74,25.83,25.44,5059
"Jan 31, 2020",25.88,25.88,25.80,25.80,25.41,15947
"Jan 30, 2020",25.61,25.85,25.61,25.85,25.46,11691
"Jan 29, 2020",25.59,25.75,25.59,25.75,25.36,6162
"Jan 28, 2020",25.69,25.69,25.59,25.59,25.20,6800
