Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.43,24.67,24.42,24.67,24.67,305267
"Apr 02, 2020",24.63,25.00,24.12,25.00,25.00,187812
"Apr 01, 2020",24.79,24.79,24.26,24.66,24.66,31094
"Mar 31, 2020",25.04,25.08,24.91,24.91,24.91,44461
"Mar 30, 2020",24.56,25.05,24.55,25.00,25.00,57146
"Mar 27, 2020",24.80,24.98,24.51,24.80,24.80,43276
"Mar 26, 2020",24.78,25.25,24.00,25.05,25.05,73183
"Mar 25, 2020",23.49,25.25,23.49,24.95,24.95,83584
"Mar 24, 2020",21.56,23.29,21.04,23.08,23.08,48301
"Mar 23, 2020",22.40,23.13,20.63,21.30,21.30,134717
"Mar 20, 2020",22.75,23.88,21.53,22.41,22.41,51001
"Mar 19, 2020",19.73,22.09,19.36,20.90,20.90,94409
"Mar 18, 2020",22.63,23.45,17.50,19.24,19.24,77609
"Mar 17, 2020",23.09,23.99,23.05,23.53,23.53,51271
"Mar 16, 2020",24.23,24.62,23.01,23.72,23.72,29053
"Mar 16, 2020",0.396875 Dividend,0.396875 Dividend,0.396875 Dividend,0.396875 Dividend,0.396875 Dividend,0.396875 Dividend
"Mar 13, 2020",24.71,25.09,24.50,25.09,24.69,37816
"Mar 12, 2020",25.00,25.00,24.00,24.33,23.95,110119
"Mar 11, 2020",25.35,25.45,25.25,25.45,25.05,23266
"Mar 10, 2020",25.64,25.66,25.40,25.48,25.08,12862
"Mar 09, 2020",25.23,25.55,25.01,25.45,25.05,47577
"Mar 06, 2020",25.70,25.71,25.09,25.65,25.24,15547
"Mar 05, 2020",26.01,26.01,25.79,25.91,25.50,3641
"Mar 04, 2020",26.08,26.08,25.94,26.01,25.60,5226
"Mar 03, 2020",25.93,26.10,25.73,26.09,25.68,8486
"Mar 02, 2020",25.80,25.93,25.71,25.93,25.52,14479
"Feb 28, 2020",25.60,25.80,25.53,25.80,25.39,49166
"Feb 27, 2020",25.71,25.89,25.42,25.63,25.22,20961
"Feb 26, 2020",25.51,25.87,25.51,25.75,25.34,26634
"Feb 25, 2020",25.63,25.69,25.50,25.50,25.10,48371
"Feb 24, 2020",25.69,25.75,25.68,25.70,25.29,20632
"Feb 21, 2020",25.77,25.82,25.69,25.73,25.32,13637
"Feb 20, 2020",25.71,25.86,25.70,25.77,25.36,16817
"Feb 19, 2020",25.76,25.79,25.69,25.69,25.28,21813
"Feb 18, 2020",25.82,25.82,25.73,25.77,25.36,30817
"Feb 14, 2020",25.86,25.86,25.78,25.78,25.37,24334
"Feb 13, 2020",25.81,25.89,25.81,25.89,25.48,3556
"Feb 12, 2020",25.88,25.91,25.79,25.79,25.38,15751
"Feb 11, 2020",25.84,25.90,25.84,25.88,25.47,5292
"Feb 10, 2020",25.85,25.85,25.83,25.85,25.44,13916
"Feb 07, 2020",25.91,25.91,25.85,25.85,25.44,10450
"Feb 06, 2020",25.88,25.97,25.85,25.93,25.52,6417
"Feb 05, 2020",25.82,26.02,25.82,25.93,25.52,12103
"Feb 04, 2020",25.76,25.90,25.76,25.83,25.42,7830
