Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",23.36,23.36,22.91,23.08,23.08,229437
"Apr 02, 2020",23.35,23.35,23.00,23.35,23.35,13285
"Apr 01, 2020",23.49,23.49,23.09,23.35,23.35,27614
"Mar 31, 2020",23.84,24.00,23.76,23.78,23.78,15417
"Mar 30, 2020",23.51,23.84,23.31,23.77,23.77,36712
"Mar 27, 2020",23.61,24.00,23.51,23.51,23.51,15979
"Mar 26, 2020",23.90,24.43,23.52,24.27,24.27,46572
"Mar 25, 2020",21.63,23.87,21.53,23.52,23.52,56115
"Mar 24, 2020",19.83,21.63,19.83,20.66,20.66,26905
"Mar 23, 2020",21.30,21.30,18.91,19.33,19.33,59537
"Mar 20, 2020",21.82,22.76,21.44,21.55,21.55,65065
"Mar 19, 2020",21.54,21.72,21.05,21.27,21.27,143157
"Mar 18, 2020",21.53,21.75,20.00,21.25,21.25,168583
"Mar 17, 2020",22.00,23.10,21.15,22.53,22.53,55404
"Mar 16, 2020",22.58,22.99,21.62,21.66,21.66,38929
"Mar 16, 2020",0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend
"Mar 13, 2020",23.97,24.23,23.50,23.90,23.57,35424
"Mar 12, 2020",24.76,24.76,23.11,23.75,23.42,67922
"Mar 11, 2020",25.25,25.45,25.06,25.15,24.80,21540
"Mar 10, 2020",25.58,25.58,25.01,25.39,25.04,21161
"Mar 09, 2020",25.35,25.35,25.00,25.07,24.73,29383
"Mar 06, 2020",25.69,25.80,25.28,25.65,25.30,30157
"Mar 05, 2020",25.66,25.85,25.64,25.75,25.40,27558
"Mar 04, 2020",25.73,25.85,25.64,25.75,25.40,24028
"Mar 03, 2020",25.69,25.99,25.40,25.64,25.29,18147
"Mar 02, 2020",25.32,25.63,25.32,25.54,25.19,23095
"Feb 28, 2020",25.65,25.65,25.20,25.27,24.92,36433
"Feb 27, 2020",25.70,25.70,25.27,25.48,25.13,5751
"Feb 26, 2020",25.70,25.76,25.52,25.60,25.25,11793
"Feb 25, 2020",26.06,26.10,25.65,25.68,25.33,14901
"Feb 24, 2020",26.36,26.36,26.08,26.08,25.72,7279
"Feb 21, 2020",26.58,26.58,26.30,26.43,26.07,21133
"Feb 20, 2020",26.40,26.50,26.40,26.46,26.10,16202
"Feb 19, 2020",26.65,26.65,26.44,26.44,26.08,45343
"Feb 18, 2020",26.70,26.70,26.56,26.59,26.23,16751
"Feb 14, 2020",26.70,26.70,26.62,26.62,26.25,5776
"Feb 13, 2020",26.72,26.72,26.60,26.70,26.33,1956
"Feb 12, 2020",26.70,26.70,26.59,26.59,26.22,4313
"Feb 11, 2020",26.69,26.84,26.69,26.75,26.38,18158
"Feb 10, 2020",26.68,26.75,26.68,26.72,26.35,38365
"Feb 07, 2020",26.59,26.68,26.56,26.66,26.29,8699
"Feb 06, 2020",26.50,26.59,26.48,26.58,26.22,6575
"Feb 05, 2020",26.58,26.58,26.43,26.50,26.14,5446
"Feb 04, 2020",26.41,26.54,26.41,26.50,26.14,6504
"Feb 03, 2020",26.45,26.49,26.29,26.49,26.13,3234
"Jan 31, 2020",26.39,26.45,26.30,26.45,26.09,12255
"Jan 30, 2020",26.25,26.39,26.24,26.39,26.03,28421
"Jan 29, 2020",26.29,26.30,26.22,26.25,25.89,8457
"Jan 28, 2020",26.03,26.30,26.03,26.30,25.94,12551
"Jan 27, 2020",26.11,26.18,26.11,26.17,25.81,1797
"Jan 24, 2020",26.25,26.26,26.22,26.22,25.86,1005
"Jan 23, 2020",26.21,26.27,26.15,26.22,25.86,4068
"Jan 22, 2020",26.23,26.23,26.12,26.12,25.76,1400
"Jan 21, 2020",26.22,26.22,26.12,26.12,25.76,2418
"Jan 17, 2020",26.24,26.24,26.11,26.22,25.86,3323
"Jan 16, 2020",26.05,26.23,26.02,26.17,25.81,9480
"Jan 15, 2020",26.01,26.10,26.01,26.05,25.69,10925
"Jan 14, 2020",26.10,26.10,26.07,26.09,25.73,5298
"Jan 13, 2020",26.05,26.10,26.05,26.10,25.74,7989
"Jan 10, 2020",26.05,26.05,25.95,26.02,25.66,6155
"Jan 09, 2020",26.16,26.16,25.91,26.05,25.69,7973
"Jan 08, 2020",26.11,26.21,26.10,26.16,25.80,9040
"Jan 07, 2020",26.16,26.16,26.03,26.10,25.74,7351
"Jan 06, 2020",26.10,26.14,26.07,26.08,25.72,14869
"Jan 03, 2020",25.97,26.12,25.97,26.10,25.74,8906
"Jan 02, 2020",25.77,26.04,25.76,25.97,25.61,18232
"Dec 31, 2019",25.72,25.78,25.68,25.77,25.42,5520
"Dec 30, 2019",25.76,25.85,25.61,25.67,25.32,12689
"Dec 27, 2019",25.74,25.83,25.71,25.78,25.43,3187
"Dec 26, 2019",25.60,25.75,25.60,25.71,25.36,4784
"Dec 24, 2019",25.57,25.59,25.53,25.59,25.24,5335
"Dec 23, 2019",25.54,25.56,25.49,25.49,25.14,14429
"Dec 20, 2019",25.57,25.60,25.50,25.53,25.18,17271
"Dec 19, 2019",25.57,25.57,25.51,25.56,25.21,6797
"Dec 18, 2019",25.44,25.57,25.44,25.57,25.22,4702
"Dec 17, 2019",25.51,25.54,25.41,25.49,25.14,4083
"Dec 16, 2019",25.45,25.50,25.37,25.49,25.14,4925
"Dec 13, 2019",25.19,25.40,25.15,25.38,25.03,18825
"Dec 12, 2019",25.25,25.25,25.07,25.19,24.84,12664
"Dec 12, 2019",0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend,0.328125 Dividend
"Dec 11, 2019",25.44,25.54,25.35,25.54,24.87,12414
"Dec 10, 2019",25.34,25.43,25.31,25.33,24.66,6982
"Dec 09, 2019",25.32,25.33,25.28,25.33,24.66,3995
"Dec 06, 2019",25.22,25.25,25.20,25.24,24.58,2746
"Dec 05, 2019",25.28,25.28,25.17,25.25,24.58,8201
"Dec 04, 2019",25.31,25.33,25.22,25.27,24.60,25468
"Dec 03, 2019",25.27,25.28,25.20,25.25,24.58,5818
"Dec 02, 2019",25.25,25.28,25.07,25.28,24.61,23114
"Nov 29, 2019",25.38,25.38,25.25,25.25,24.58,21703
"Nov 27, 2019",25.32,25.39,25.27,25.28,24.61,14971
"Nov 26, 2019",25.36,25.36,25.31,25.36,24.69,11292
"Nov 25, 2019",25.27,25.31,25.25,25.29,24.62,19602
"Nov 22, 2019",25.25,25.34,25.22,25.24,24.57,10010
"Nov 21, 2019",25.35,25.45,25.16,25.20,24.53,38915
"Nov 20, 2019",25.47,25.49,25.41,25.49,24.82,18763
"Nov 19, 2019",25.62,25.63,25.42,25.45,24.78,18463
"Nov 18, 2019",25.67,25.67,25.49,25.55,24.88,23356
"Nov 15, 2019",25.71,25.72,25.66,25.68,25.00,6368
"Nov 14, 2019",25.65,25.76,25.65,25.72,25.04,11749
"Nov 13, 2019",25.64,25.65,25.60,25.61,24.93,16130
