Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",24.25,24.43,24.08,24.26,24.26,24791
"Apr 02, 2020",24.30,24.78,24.30,24.78,24.78,29505
"Apr 01, 2020",24.65,24.75,24.34,24.68,24.68,50085
"Mar 31, 2020",24.76,25.00,24.60,24.96,24.96,40396
"Mar 30, 2020",24.50,24.75,23.81,24.60,24.60,37362
"Mar 27, 2020",24.90,25.01,24.45,24.56,24.56,37666
"Mar 26, 2020",24.95,25.61,24.57,24.98,24.98,76936
"Mar 25, 2020",23.37,24.87,22.73,24.60,24.60,57934
"Mar 24, 2020",22.17,23.48,21.98,22.61,22.61,53253
"Mar 23, 2020",23.40,23.40,19.81,20.27,20.27,58694
"Mar 20, 2020",22.93,24.21,21.73,22.75,22.75,51300
"Mar 19, 2020",20.80,21.93,18.90,21.93,21.93,83218
"Mar 18, 2020",23.04,23.08,17.09,19.40,19.40,86194
"Mar 17, 2020",23.43,24.07,22.66,23.33,23.33,47490
"Mar 16, 2020",24.21,24.70,22.71,23.20,23.20,83350
"Mar 16, 2020",0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend
"Mar 13, 2020",25.00,25.57,24.72,25.57,25.20,68629
"Mar 12, 2020",25.40,25.41,24.15,24.50,24.15,58153
"Mar 11, 2020",26.02,26.02,25.62,25.90,25.53,31905
"Mar 10, 2020",25.91,26.07,25.50,26.07,25.70,55362
"Mar 09, 2020",26.30,26.30,25.20,25.73,25.36,54280
"Mar 06, 2020",26.71,26.98,26.69,26.72,26.34,21831
"Mar 05, 2020",27.07,27.07,26.76,27.05,26.66,22877
"Mar 04, 2020",27.22,27.22,27.16,27.18,26.79,6839
"Mar 03, 2020",26.97,27.38,26.95,26.97,26.58,40298
"Mar 02, 2020",26.82,26.97,26.53,26.91,26.53,7312
"Feb 28, 2020",26.95,26.95,26.37,26.60,26.22,14520
"Feb 27, 2020",27.11,27.11,26.75,26.88,26.50,5315
"Feb 26, 2020",27.43,27.43,26.96,27.10,26.71,15757
"Feb 25, 2020",27.83,27.83,27.14,27.14,26.75,16626
"Feb 24, 2020",27.79,27.79,27.56,27.56,27.17,6962
"Feb 21, 2020",28.01,28.01,27.88,27.90,27.50,54760
"Feb 20, 2020",27.85,28.02,27.83,27.98,27.58,34838
"Feb 19, 2020",28.06,28.07,27.79,27.79,27.39,25680
"Feb 18, 2020",27.99,28.00,27.98,28.00,27.59,6177
"Feb 14, 2020",28.02,28.07,27.99,27.99,27.59,4575
"Feb 13, 2020",28.06,28.08,27.91,27.92,27.52,12544
"Feb 12, 2020",28.13,28.13,27.93,27.96,27.56,9534
"Feb 11, 2020",28.09,28.09,28.03,28.08,27.68,6648
"Feb 10, 2020",28.05,28.09,28.05,28.07,27.67,4772
"Feb 07, 2020",27.97,28.00,27.85,27.98,27.58,13853
"Feb 06, 2020",27.91,27.97,27.90,27.95,27.55,67978
"Feb 05, 2020",27.94,27.94,27.82,27.91,27.51,4398
"Feb 04, 2020",27.87,27.97,27.83,27.94,27.54,10397
"Feb 03, 2020",27.87,27.87,27.80,27.85,27.45,10539
"Jan 31, 2020",27.89,27.94,27.81,27.86,27.46,112294
"Jan 30, 2020",27.80,27.92,27.77,27.88,27.48,17424
"Jan 29, 2020",27.75,27.77,27.68,27.68,27.28,8983
"Jan 28, 2020",27.82,27.86,27.61,27.64,27.24,9833
"Jan 27, 2020",27.78,27.80,27.70,27.78,27.38,9000
"Jan 24, 2020",27.86,27.86,27.77,27.80,27.40,4234
"Jan 23, 2020",27.83,27.92,27.81,27.88,27.48,5173
"Jan 22, 2020",27.81,27.86,27.79,27.83,27.43,21475
"Jan 21, 2020",27.86,27.87,27.72,27.81,27.41,4151
"Jan 17, 2020",27.78,27.83,27.63,27.72,27.32,32159
"Jan 16, 2020",27.63,27.78,27.60,27.78,27.38,4540
"Jan 15, 2020",27.61,27.79,27.61,27.78,27.38,10688
"Jan 14, 2020",27.94,27.94,27.57,27.61,27.22,30523
"Jan 13, 2020",27.96,27.96,27.74,27.94,27.54,31407
"Jan 10, 2020",27.96,27.98,27.79,27.84,27.44,6251
"Jan 09, 2020",27.99,27.99,27.81,27.86,27.46,8849
"Jan 08, 2020",27.87,27.99,27.82,27.95,27.55,20202
"Jan 07, 2020",27.88,27.88,27.75,27.84,27.44,10647
"Jan 06, 2020",27.80,27.87,27.77,27.83,27.43,15815
"Jan 03, 2020",27.74,27.90,27.61,27.80,27.40,15863
"Jan 02, 2020",27.50,27.68,27.49,27.65,27.25,21545
"Dec 31, 2019",27.51,27.51,27.46,27.50,27.11,3535
"Dec 30, 2019",27.43,27.51,27.43,27.51,27.12,5006
"Dec 27, 2019",27.53,27.53,27.43,27.48,27.09,12704
"Dec 26, 2019",27.46,27.65,27.30,27.59,27.20,16763
"Dec 24, 2019",27.30,27.45,27.29,27.38,26.98,9408
"Dec 23, 2019",27.22,27.31,27.14,27.30,26.91,15839
"Dec 20, 2019",27.09,27.18,27.03,27.14,26.75,14072
"Dec 19, 2019",26.99,27.12,26.98,27.07,26.68,21403
"Dec 18, 2019",26.85,26.86,26.68,26.86,26.48,9988
"Dec 17, 2019",26.72,26.80,26.56,26.75,26.37,50463
"Dec 16, 2019",26.45,26.72,26.40,26.72,26.34,14753
"Dec 13, 2019",26.59,26.63,26.34,26.44,26.06,59985
"Dec 12, 2019",26.58,26.59,26.42,26.59,26.21,14437
"Dec 12, 2019",0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend,0.365625 Dividend
"Dec 11, 2019",26.79,26.93,26.72,26.92,26.18,9546
"Dec 10, 2019",26.72,26.79,26.61,26.79,26.05,8669
"Dec 09, 2019",26.72,26.72,26.62,26.66,25.92,15896
"Dec 06, 2019",26.75,26.75,26.58,26.68,25.94,11060
"Dec 05, 2019",26.64,26.75,26.57,26.75,26.01,19516
"Dec 04, 2019",26.56,26.64,26.52,26.62,25.88,29842
"Dec 03, 2019",26.55,26.58,26.43,26.50,25.77,17293
"Dec 02, 2019",26.89,26.89,26.37,26.51,25.78,35328
"Nov 29, 2019",27.08,27.08,26.71,26.71,25.97,25250
