Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",133.96,137.57,132.19,136.49,136.49,2819800
"Apr 02, 2020",132.30,136.28,131.06,135.01,135.01,2551500
"Apr 01, 2020",132.85,135.16,127.12,134.48,134.48,2542100
"Mar 31, 2020",139.17,139.53,130.02,138.91,138.91,3774200
"Mar 30, 2020",134.58,140.98,134.31,139.81,139.81,3774600
"Mar 27, 2020",130.33,135.94,129.64,132.85,132.85,3703000
"Mar 26, 2020",121.81,134.86,121.21,134.13,134.13,3885100
"Mar 25, 2020",116.98,128.99,116.98,121.43,121.43,3729600
"Mar 24, 2020",111.55,118.21,107.63,116.72,116.72,4666500
"Mar 23, 2020",120.48,120.48,105.00,107.90,107.90,3915400
"Mar 20, 2020",125.95,129.63,119.01,121.20,121.20,4732000
"Mar 19, 2020",137.20,137.35,121.39,125.27,125.27,4429300
"Mar 18, 2020",131.81,139.67,128.33,137.34,137.34,7986500
"Mar 17, 2020",131.68,139.75,128.94,138.24,138.24,8061000
"Mar 16, 2020",132.42,139.62,127.51,128.31,128.31,6914100
"Mar 16, 2020",1.12 Dividend,1.12 Dividend,1.12 Dividend,1.12 Dividend,1.12 Dividend,1.12 Dividend
"Mar 13, 2020",133.37,143.61,127.63,143.34,142.22,6545900
"Mar 12, 2020",127.99,130.72,124.62,128.37,127.37,9406200
"Mar 11, 2020",131.00,138.20,129.09,137.00,135.93,34673400
"Mar 10, 2020",124.36,135.71,123.41,134.45,133.40,9935000
"Mar 09, 2020",120.49,123.96,119.00,120.67,119.73,2708400
"Mar 06, 2020",126.22,129.13,124.06,128.24,127.24,3622100
"Mar 05, 2020",132.62,134.31,128.05,129.87,128.86,2408700
"Mar 04, 2020",131.69,135.03,130.55,134.98,133.93,2950400
"Mar 03, 2020",130.73,133.22,127.16,129.59,128.58,4144400
"Mar 02, 2020",120.90,130.77,120.61,130.49,129.47,6312700
"Feb 28, 2020",121.13,121.13,115.40,120.11,119.17,5045700
"Feb 27, 2020",129.22,129.36,122.98,123.19,122.23,2844900
"Feb 26, 2020",133.50,133.95,130.32,130.38,129.36,2665400
"Feb 25, 2020",136.38,137.18,132.92,133.54,132.50,5027100
"Feb 24, 2020",136.98,137.23,134.67,135.27,134.21,3314000
"Feb 21, 2020",136.53,138.46,136.03,138.13,137.05,3346800
"Feb 20, 2020",133.38,136.36,132.88,136.30,135.24,3939700
"Feb 19, 2020",133.04,133.73,132.05,132.41,131.38,2250500
"Feb 18, 2020",131.54,133.23,131.17,133.20,132.16,3167800
"Feb 14, 2020",125.91,131.83,125.20,131.50,130.47,3785900
"Feb 13, 2020",126.49,127.70,126.43,126.53,125.54,1610100
"Feb 12, 2020",125.36,127.89,125.29,127.05,126.06,1829700
"Feb 11, 2020",126.44,127.64,125.31,125.52,124.54,1869900
"Feb 10, 2020",123.79,126.11,123.10,126.08,125.09,1854200
"Feb 07, 2020",124.19,124.29,122.85,123.28,122.32,922800
"Feb 06, 2020",123.95,124.34,123.27,124.02,123.05,1127800
"Feb 05, 2020",125.12,125.15,123.46,123.86,122.89,1748300
"Feb 04, 2020",123.64,125.48,123.33,124.99,124.01,1222500
"Feb 03, 2020",123.37,124.51,122.72,123.14,122.18,1396000
"Jan 31, 2020",125.61,126.14,122.40,122.99,122.03,1923000
"Jan 30, 2020",127.21,128.30,125.52,125.74,124.76,1594700
"Jan 29, 2020",130.22,130.44,127.50,127.63,126.63,1895900
"Jan 28, 2020",129.13,130.31,129.13,129.82,128.81,1678100
"Jan 27, 2020",127.52,129.47,127.52,129.02,128.01,1527000
"Jan 24, 2020",127.44,129.16,126.97,128.26,127.26,1916300
"Jan 23, 2020",126.12,127.52,126.05,127.11,126.12,1258900
"Jan 22, 2020",126.10,127.17,125.81,126.28,125.29,1648000
"Jan 21, 2020",124.43,125.81,123.80,125.73,124.75,1286400
"Jan 17, 2020",123.82,124.78,123.15,124.44,123.47,1355000
"Jan 16, 2020",122.85,123.99,122.10,123.67,122.70,2232100
"Jan 15, 2020",120.96,121.92,120.62,120.99,120.04,1443700
"Jan 14, 2020",121.97,122.70,119.98,120.75,119.81,2408200
"Jan 13, 2020",120.61,122.20,119.76,121.97,121.02,2072100
"Jan 10, 2020",119.06,120.67,118.45,120.37,119.43,2048800
"Jan 09, 2020",118.30,119.67,118.07,118.72,117.79,980000
"Jan 08, 2020",117.84,118.95,117.24,118.71,117.78,2553900
"Jan 07, 2020",118.38,118.53,116.76,117.69,116.77,1006400
"Jan 06, 2020",119.47,119.65,118.05,118.86,117.93,1151000
"Jan 03, 2020",117.23,120.18,117.08,119.94,119.00,869400
"Jan 02, 2020",120.01,120.36,117.46,118.00,117.08,1071900
"Dec 31, 2019",118.41,119.78,118.05,119.74,118.80,1129600
"Dec 30, 2019",117.93,118.35,117.14,118.31,117.39,694400
"Dec 27, 2019",118.50,118.80,117.31,118.18,117.26,580300
"Dec 26, 2019",116.96,118.11,116.96,118.11,117.19,745100
"Dec 24, 2019",116.97,117.46,116.26,116.74,115.83,486700
"Dec 23, 2019",118.28,118.77,116.33,116.62,115.71,1099500
"Dec 20, 2019",120.65,120.92,117.53,118.02,117.10,2730600
"Dec 19, 2019",116.10,119.09,115.74,119.00,118.07,2011200
"Dec 18, 2019",113.81,116.64,113.77,116.42,115.51,1655000
