Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",53.97,55.42,52.79,54.26,54.26,2757900
"Apr 02, 2020",56.26,58.06,53.24,54.57,54.57,3175700
"Apr 01, 2020",59.07,59.96,54.88,57.70,57.70,2907300
"Mar 31, 2020",61.71,62.52,59.04,61.71,61.71,5240400
"Mar 30, 2020",63.49,63.89,59.34,62.58,62.58,3550300
"Mar 27, 2020",57.28,64.43,57.01,62.68,62.68,2830600
"Mar 26, 2020",54.57,59.38,53.34,59.23,59.23,3252400
"Mar 25, 2020",51.68,57.88,50.18,54.57,54.57,3843900
"Mar 24, 2020",53.09,54.45,50.64,52.15,52.15,3835100
"Mar 23, 2020",55.29,55.40,49.62,51.39,51.39,3682000
"Mar 20, 2020",60.29,61.21,54.62,55.29,55.29,3495100
"Mar 20, 2020",0.603 Dividend,0.603 Dividend,0.603 Dividend,0.603 Dividend,0.603 Dividend,0.603 Dividend
"Mar 19, 2020",60.50,62.93,59.01,60.61,60.01,3510900
"Mar 18, 2020",62.20,64.71,58.61,60.87,60.26,3663700
"Mar 17, 2020",63.06,66.88,60.85,66.46,65.80,3220800
"Mar 16, 2020",68.57,68.84,61.10,61.16,60.55,4111800
"Mar 13, 2020",74.00,74.22,69.29,73.61,72.88,4670800
"Mar 12, 2020",70.36,75.93,68.30,70.01,69.31,5119200
"Mar 11, 2020",78.01,78.03,74.67,75.10,74.35,3700900
"Mar 10, 2020",76.15,79.93,75.13,79.93,79.13,4259800
"Mar 09, 2020",73.15,75.58,73.10,74.47,73.73,3436000
"Mar 06, 2020",77.30,78.20,75.33,77.64,76.87,2233500
"Mar 05, 2020",79.92,80.46,78.22,79.37,78.58,1623600
"Mar 04, 2020",79.69,81.18,78.83,81.03,80.22,2379500
"Mar 03, 2020",79.09,81.07,78.00,78.56,77.78,2805400
"Mar 02, 2020",75.56,79.10,75.23,79.07,78.28,2325400
"Feb 28, 2020",77.16,77.16,73.30,75.10,74.35,3257500
"Feb 27, 2020",82.40,83.37,78.45,78.46,77.68,2179500
"Feb 26, 2020",83.92,84.58,83.35,83.36,82.53,1997300
"Feb 25, 2020",86.04,86.21,83.39,83.51,82.68,1270500
"Feb 24, 2020",86.37,87.19,85.73,85.79,84.94,1059000
"Feb 21, 2020",86.18,87.14,86.10,87.01,86.14,1517400
"Feb 20, 2020",85.40,86.47,85.08,86.40,85.54,1023800
"Feb 19, 2020",86.19,86.27,85.33,85.34,84.49,1068500
"Feb 18, 2020",86.68,86.86,85.44,86.27,85.41,879800
"Feb 14, 2020",85.57,86.46,85.45,86.46,85.60,939200
"Feb 13, 2020",84.62,85.42,84.62,85.22,84.37,1202500
"Feb 12, 2020",84.65,85.27,84.23,84.79,83.95,1418200
"Feb 11, 2020",84.85,85.29,84.50,84.79,83.95,1265200
"Feb 10, 2020",84.74,84.97,84.34,84.94,84.09,1477800
"Feb 07, 2020",84.12,84.45,83.82,84.20,83.36,1517500
"Feb 06, 2020",83.52,84.04,83.47,83.87,83.04,1141500
"Feb 05, 2020",83.56,84.21,83.03,83.31,82.48,976500
"Feb 04, 2020",83.00,83.99,82.96,83.64,82.81,815100
"Feb 03, 2020",83.35,83.87,82.66,82.84,82.02,1560500
"Jan 31, 2020",83.99,84.24,82.88,83.08,82.25,1514200
"Jan 30, 2020",81.96,83.99,81.83,83.97,83.13,1820300
"Jan 29, 2020",86.20,87.53,81.21,82.27,81.45,2311000
"Jan 28, 2020",82.48,83.07,82.23,82.72,81.90,1473500
"Jan 27, 2020",82.45,83.01,82.12,82.34,81.52,1198900
"Jan 24, 2020",83.25,83.28,82.27,82.76,81.94,1117900
"Jan 23, 2020",82.42,83.11,82.05,83.08,82.25,1308500
"Jan 22, 2020",83.63,83.78,82.10,82.39,81.57,1427400
"Jan 21, 2020",82.94,83.32,82.38,83.30,82.47,1577300
"Jan 17, 2020",82.45,82.79,81.99,82.50,81.68,1797400
"Jan 16, 2020",82.19,82.53,81.63,82.51,81.69,1021600
"Jan 15, 2020",81.63,82.25,81.24,82.07,81.25,1228100
"Jan 14, 2020",81.89,82.00,80.68,81.16,80.35,1223500
