Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",45.33,46.39,43.41,43.60,43.60,3801800
"Apr 02, 2020",45.25,47.11,44.38,45.62,45.62,4207200
"Apr 01, 2020",47.12,47.72,45.03,46.47,46.47,4586100
"Mar 31, 2020",52.43,52.79,48.87,49.86,49.86,6161000
"Mar 31, 2020",0.233 Dividend,0.233 Dividend,0.233 Dividend,0.233 Dividend,0.233 Dividend,0.233 Dividend
"Mar 30, 2020",57.03,57.62,51.25,53.13,52.90,6064200
"Mar 27, 2020",55.72,60.13,55.15,56.90,56.65,7891300
"Mar 26, 2020",56.58,58.63,54.23,58.36,58.10,4475800
"Mar 25, 2020",51.99,59.50,50.33,54.50,54.26,5399900
"Mar 24, 2020",46.02,50.85,45.19,50.67,50.45,4582800
"Mar 23, 2020",46.54,46.54,40.39,43.34,43.15,5345400
"Mar 20, 2020",50.07,52.56,46.89,47.42,47.21,4918200
"Mar 19, 2020",42.75,49.18,38.00,48.08,47.87,5643100
"Mar 18, 2020",51.98,52.48,40.00,42.50,42.31,6410800
"Mar 17, 2020",56.00,56.13,51.80,55.12,54.88,6053900
"Mar 16, 2020",63.80,66.50,53.94,53.99,53.75,6160400
"Mar 13, 2020",69.83,72.11,67.75,71.92,71.60,5208500
"Mar 12, 2020",68.53,73.62,66.06,67.74,67.44,4919500
"Mar 11, 2020",75.10,75.32,72.26,73.56,73.24,3661500
"Mar 10, 2020",74.79,76.68,72.70,76.59,76.25,3725100
"Mar 09, 2020",71.31,74.95,71.00,73.32,73.00,3874300
"Mar 06, 2020",76.01,76.90,74.20,76.65,76.31,2857300
"Mar 05, 2020",77.05,78.00,76.45,77.63,77.29,2285800
"Mar 04, 2020",76.06,78.33,75.77,78.15,77.81,3610400
"Mar 03, 2020",75.10,76.57,73.96,74.60,74.27,3513000
"Mar 02, 2020",72.99,75.06,71.66,74.99,74.66,4511600
"Feb 28, 2020",71.46,72.59,69.38,72.39,72.07,7018500
"Feb 28, 2020",0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend
"Feb 27, 2020",74.30,75.78,72.89,72.89,72.34,11871600
"Feb 26, 2020",81.02,81.74,79.44,79.76,79.16,5288700
"Feb 25, 2020",82.27,82.28,80.47,80.92,80.31,3899600
"Feb 24, 2020",82.12,83.40,82.00,82.17,81.55,2865100
"Feb 21, 2020",81.83,82.50,81.53,82.44,81.82,2222500
"Feb 20, 2020",84.29,84.92,80.38,81.91,81.29,3245900
"Feb 19, 2020",80.35,80.37,79.41,79.67,79.07,1254300
"Feb 18, 2020",80.50,80.55,79.78,80.40,79.79,1309200
"Feb 14, 2020",78.89,80.25,78.81,80.25,79.64,1641600
"Feb 13, 2020",78.43,79.28,78.43,78.79,78.19,1339800
"Feb 12, 2020",78.41,78.88,78.00,78.29,77.70,1942900
"Feb 11, 2020",80.01,80.35,78.50,78.68,78.09,1675000
"Feb 10, 2020",80.00,80.15,79.64,80.08,79.47,1361100
"Feb 07, 2020",79.44,79.80,79.19,79.51,78.91,1166700
"Feb 06, 2020",78.62,79.39,78.60,79.15,78.55,1015200
"Feb 05, 2020",77.88,78.75,77.40,78.50,77.91,1786700
"Feb 04, 2020",78.08,78.94,78.00,78.32,77.73,1251700
"Feb 03, 2020",78.45,78.97,78.04,78.20,77.61,2080100
"Jan 31, 2020",78.86,79.15,77.74,78.41,77.82,6703400
"Jan 31, 2020",0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend,0.2325 Dividend
"Jan 30, 2020",78.03,79.01,77.77,78.98,78.15,2671100
"Jan 29, 2020",78.20,78.66,77.93,78.14,77.32,2513600
"Jan 28, 2020",77.94,78.65,77.86,78.13,77.31,3249600
"Jan 27, 2020",76.90,77.91,76.75,77.40,76.59,1792800
"Jan 24, 2020",77.27,77.83,76.95,77.13,76.32,1001900
