Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",74.08,75.26,71.69,73.59,73.59,3882600
"Apr 02, 2020",71.36,76.30,71.06,75.51,75.51,5395900
"Apr 01, 2020",76.45,76.48,69.00,73.26,73.26,7994100
"Mar 31, 2020",81.19,82.37,75.22,80.37,80.37,11324400
"Mar 30, 2020",80.79,83.74,77.06,82.88,82.88,6295900
"Mar 27, 2020",74.64,82.00,74.24,79.17,79.17,4490800
"Mar 26, 2020",72.39,78.34,71.36,77.69,77.69,4965400
"Mar 25, 2020",68.78,75.33,68.23,72.19,72.19,6918200
"Mar 24, 2020",66.24,71.21,66.24,70.55,70.55,7893700
"Mar 23, 2020",63.00,65.03,59.82,63.37,63.37,5631200
"Mar 20, 2020",64.89,67.40,62.42,62.82,62.82,6826500
"Mar 19, 2020",66.95,67.95,63.25,63.91,63.91,5489800
"Mar 18, 2020",65.47,70.47,64.11,67.80,67.80,7302000
"Mar 17, 2020",66.47,73.04,64.56,70.69,70.69,7883800
"Mar 16, 2020",69.22,72.72,64.09,64.38,64.38,6663800
"Mar 13, 2020",74.16,78.36,71.40,77.82,77.82,6021800
"Mar 13, 2020",0.58 Dividend,0.58 Dividend,0.58 Dividend,0.58 Dividend,0.58 Dividend,0.58 Dividend
"Mar 12, 2020",68.16,73.39,62.01,70.18,69.60,7912600
"Mar 11, 2020",78.07,78.28,73.17,73.69,73.08,7836800
"Mar 10, 2020",80.36,81.02,76.20,80.86,80.19,6623400
"Mar 09, 2020",80.83,80.83,77.47,77.77,77.13,7291600
"Mar 06, 2020",86.35,86.40,82.28,85.88,85.17,5562100
"Mar 05, 2020",92.10,92.86,88.60,89.71,88.97,3135200
"Mar 04, 2020",90.23,94.47,90.19,94.37,93.59,4210300
"Mar 03, 2020",88.63,91.59,87.68,89.39,88.65,5843400
"Mar 02, 2020",84.70,88.27,83.50,88.27,87.54,5715300
"Feb 28, 2020",84.42,85.20,80.94,84.28,83.58,7287100
"Feb 27, 2020",90.60,90.81,86.67,86.71,85.99,6227400
"Feb 26, 2020",92.00,93.32,90.98,91.26,90.51,4662200
"Feb 25, 2020",96.24,96.61,91.62,91.70,90.94,5305900
"Feb 24, 2020",97.79,98.64,95.82,95.98,95.19,3688200
"Feb 21, 2020",98.93,99.79,98.92,99.23,98.41,6382300
"Feb 20, 2020",97.68,99.04,96.91,98.95,98.13,3992900
"Feb 19, 2020",98.61,98.83,97.62,97.77,96.96,4724300
"Feb 18, 2020",97.63,98.39,97.23,98.35,97.54,3742800
"Feb 14, 2020",96.85,97.64,96.62,97.55,96.74,3296000
"Feb 13, 2020",96.63,97.09,96.10,96.47,95.67,3652700
"Feb 12, 2020",96.65,97.35,96.14,96.79,95.99,2523300
"Feb 11, 2020",95.33,96.85,95.04,96.21,95.41,3740400
"Feb 10, 2020",93.73,95.00,93.37,94.66,93.88,5153300
"Feb 07, 2020",93.29,93.56,92.60,93.14,92.37,3643800
"Feb 06, 2020",92.74,93.44,92.54,93.11,92.34,3935200
"Feb 05, 2020",93.86,94.01,92.43,92.74,91.97,5736500
"Feb 04, 2020",91.98,94.13,91.52,93.42,92.65,4978000
"Feb 03, 2020",93.50,93.50,91.54,91.87,91.11,23204900
"Jan 31, 2020",95.87,95.97,92.51,92.88,92.11,5227600
"Jan 30, 2020",96.08,96.96,95.61,96.21,95.41,3455200
"Jan 29, 2020",95.82,96.62,95.25,96.50,95.70,2730100
"Jan 28, 2020",95.30,96.02,95.04,95.56,94.77,2245200
"Jan 27, 2020",95.39,96.06,94.84,94.99,94.20,2770800
"Jan 24, 2020",95.90,96.78,95.57,96.15,95.36,3201800
"Jan 23, 2020",93.54,95.75,93.12,95.70,94.91,3200900
"Jan 22, 2020",95.17,96.38,93.72,93.94,93.16,3434700
"Jan 21, 2020",94.15,95.61,94.06,95.57,94.78,3335500
"Jan 17, 2020",93.35,94.78,93.31,94.27,93.49,4292500
"Jan 16, 2020",92.54,93.37,92.31,93.35,92.58,2627500
"Jan 15, 2020",91.09,92.49,91.01,92.21,91.45,3309500
"Jan 14, 2020",91.55,91.84,90.32,90.63,89.88,3124500
"Jan 13, 2020",89.54,91.82,89.50,91.80,91.04,2833800
"Jan 10, 2020",89.07,89.73,89.01,89.44,88.70,2204300
"Jan 09, 2020",89.28,89.81,88.74,88.96,88.22,1688300
"Jan 08, 2020",88.46,89.23,88.15,88.95,88.21,2013700
"Jan 07, 2020",88.62,88.94,87.88,88.47,87.74,2054500
