Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.30,25.30,24.76,24.87,24.87,84894
"Apr 02, 2020",24.80,25.40,24.80,25.19,25.19,439227
"Apr 01, 2020",25.15,25.19,24.64,25.10,25.10,130221
"Mar 31, 2020",25.32,25.74,25.29,25.50,25.50,34499
"Mar 30, 2020",24.88,25.58,24.88,25.58,25.58,22054
"Mar 27, 2020",25.35,25.37,24.75,25.02,25.02,58864
"Mar 26, 2020",24.64,25.68,24.64,25.60,25.60,93378
"Mar 25, 2020",23.71,25.51,23.71,25.07,25.07,77324
"Mar 24, 2020",23.39,24.17,22.88,23.57,23.57,87140
"Mar 23, 2020",23.85,23.85,21.26,22.39,22.39,74997
"Mar 20, 2020",23.60,24.50,23.05,23.06,23.06,151547
"Mar 19, 2020",24.21,24.49,22.58,23.66,23.66,100691
"Mar 18, 2020",24.85,25.05,21.81,24.40,24.40,151030
"Mar 17, 2020",24.40,25.45,24.13,25.13,25.13,70402
"Mar 16, 2020",25.00,25.00,24.08,24.50,24.50,112667
"Mar 13, 2020",25.16,25.97,25.16,25.75,25.75,48240
"Mar 13, 2020",0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend
"Mar 12, 2020",25.60,26.00,25.21,25.62,25.27,109762
"Mar 11, 2020",26.66,26.72,26.20,26.60,26.24,47456
"Mar 10, 2020",26.51,26.71,26.35,26.71,26.35,28368
"Mar 09, 2020",26.25,26.67,26.06,26.37,26.01,55124
"Mar 06, 2020",27.07,27.16,26.61,26.86,26.49,33090
"Mar 05, 2020",27.21,27.49,27.07,27.16,26.79,33245
"Mar 04, 2020",27.51,27.55,27.33,27.46,27.08,32234
"Mar 03, 2020",27.31,27.85,27.30,27.41,27.04,18845
"Mar 02, 2020",27.08,27.49,27.03,27.49,27.11,56915
"Feb 28, 2020",27.00,27.78,26.93,27.03,26.66,62142
"Feb 27, 2020",27.34,27.63,27.20,27.51,27.13,18835
"Feb 26, 2020",27.68,28.31,27.39,27.64,27.26,35300
"Feb 25, 2020",28.37,28.40,27.51,27.53,27.15,36380
"Feb 24, 2020",28.39,28.41,28.02,28.02,27.64,13466
"Feb 21, 2020",28.42,28.58,28.42,28.50,28.11,17503
"Feb 20, 2020",28.16,28.59,28.16,28.55,28.16,26882
"Feb 19, 2020",28.57,28.65,26.50,28.26,27.87,71023
"Feb 18, 2020",28.63,28.63,28.51,28.52,28.13,67307
"Feb 14, 2020",28.35,28.64,28.33,28.63,28.24,22767
"Feb 13, 2020",28.48,28.48,28.35,28.38,27.99,23221
"Feb 12, 2020",28.33,28.46,28.28,28.40,28.01,28571
"Feb 11, 2020",28.34,28.52,28.34,28.49,28.10,23849
"Feb 10, 2020",28.18,28.30,28.03,28.30,27.91,17926
"Feb 07, 2020",28.35,28.41,28.10,28.25,27.87,292212
"Feb 06, 2020",27.98,28.19,27.98,28.19,27.80,16937
"Feb 05, 2020",28.08,28.19,27.90,28.09,27.71,14073
"Feb 04, 2020",27.87,28.04,27.87,27.95,27.57,25798
"Feb 03, 2020",28.20,28.20,27.77,27.94,27.56,28445
"Jan 31, 2020",27.97,28.15,27.97,28.02,27.64,17821
"Jan 30, 2020",28.07,28.13,28.01,28.07,27.68,21129
"Jan 29, 2020",28.00,28.16,27.95,28.10,27.72,23080
"Jan 28, 2020",27.97,28.08,27.97,28.00,27.62,8550
"Jan 27, 2020",27.91,28.08,27.91,28.03,27.64,10562
"Jan 24, 2020",28.05,28.13,28.00,28.06,27.67,10097
"Jan 23, 2020",28.17,28.17,27.95,27.99,27.61,17167
"Jan 22, 2020",28.01,28.19,28.01,28.09,27.71,22300
"Jan 21, 2020",27.92,28.19,27.92,28.19,27.80,13413
"Jan 17, 2020",28.10,28.20,27.88,28.20,27.81,19328
"Jan 16, 2020",28.00,28.13,28.00,28.11,27.73,19539
"Jan 15, 2020",27.91,28.14,27.91,28.12,27.74,17263
"Jan 14, 2020",27.94,28.08,27.89,28.05,27.67,14822
"Jan 13, 2020",27.99,28.00,27.92,28.00,27.62,7666
"Jan 10, 2020",27.73,27.95,27.73,27.90,27.52,8290
"Jan 09, 2020",27.99,27.99,27.70,27.86,27.48,22783
"Jan 08, 2020",27.80,28.06,27.80,27.90,27.52,27626
"Jan 07, 2020",27.94,27.94,27.72,27.83,27.45,46783
"Jan 06, 2020",28.14,28.14,27.91,28.04,27.66,10527
"Jan 03, 2020",27.71,28.17,27.71,28.01,27.63,18732
"Jan 02, 2020",27.69,28.06,27.69,28.06,27.68,19066
"Dec 31, 2019",27.76,27.88,27.69,27.69,27.31,20348
"Dec 30, 2019",27.84,27.93,27.76,27.83,27.45,10375
"Dec 27, 2019",27.86,27.86,27.63,27.83,27.45,8563
"Dec 26, 2019",27.86,27.86,27.72,27.86,27.48,2934
